"","x"
"1",-34062.179
"2",-33761.205
"3",-33349.887
"4",-33678.38
"5",-32855.497
"6",-33540.836
"7",-33970.843
"8",-33655.74
"9",-33224.967
"10",-33993.204
"11",-33630.05
"12",-33723.349
"13",-33372.99
"14",-33953.606
"15",-33138.316
"16",-33621.875
"17",-33817.137
"18",-33880.358
"19",-34032.17
"20",-33137.452
"21",-33511.586
"22",-34066.368
"23",-33819.238
"24",-33923.146
"25",-34119.065
"26",-33613.106
"27",-33522.978
"28",-33219.087
"29",-33807.092
"30",-33205.748
"31",-33998.381
"32",-33893.554
"33",-33421.57
"34",-34033.537
"35",-33586.633
"36",-34318.837
"37",-33705.353
"38",-33630.605
"39",-32790.666
"40",-33744.779
"41",-33166.493
"42",-34031.944
"43",-33426.878
"44",-33805.113
"45",-33427.897
"46",-33272.992
"47",-33733.718
"48",-33319.776
"49",-33043.555
"50",-33825.987
"51",-34180.227
"52",-34096.287
"53",-33536.719
"54",-33190.963
"55",-33433.334
"56",-33336.625
"57",-33291.874
"58",-34304.316
"59",-34344.474
"60",-33536.001
"61",-33733.26
"62",-34350.767
"63",-33215.895
"64",-33566.61
"65",-34071.295
"66",-33329.319
"67",-33464.528
"68",-33773.743
"69",-33482.32
"70",-33224.425
"71",-33510.408
"72",-33477.45
"73",-33533.419
"74",-33532.035
"75",-33976.272
"76",-33126.779
"77",-33629.648
"78",-33625.436
"79",-33542.954
"80",-33554.212
"81",-33080.319
"82",-33846.421
"83",-33759.835
"84",-33686.547
"85",-33562.072
"86",-33775.023
"87",-34306.291
"88",-33777.778
"89",-33305.676
"90",-33480.438
"91",-33275.806
"92",-33421.677
"93",-33053.362
"94",-33222.946
"95",-33656.03
"96",-34045.326
"97",-33438.091
"98",-33898.66
"99",-33159.28
"100",-33418.848
"101",-33409.785
"102",-33745.122
"103",-33627.834
"104",-34238.979
"105",-33829.189
"106",-33274.706
"107",-34231.493
"108",-33294.536
"109",-33618.017
"110",-33060.692
"111",-33719.878
"112",-33911.889
"113",-33375.549
"114",-33408.683
"115",-33195.573
"116",-33727.809
"117",-33402.712
"118",-32964.245
"119",-33869.883
"120",-33239.548
"121",-33567.425
"122",-33390.34
"123",-33792.222
"124",-33522.59
"125",-33615.287
"126",-33528.075
"127",-34031.096
"128",-33801.735
"129",-34295.827
"130",-33669.23
"131",-33526.027
"132",-33164.163
"133",-33602.914
"134",-33771.96
"135",-33257.183
"136",-33771.906
"137",-34150.199
"138",-34249.79
"139",-33715.303
"140",-33865.497
"141",-33597.769
"142",-33595.177
"143",-33443.222
"144",-33817.153
"145",-33844.659
"146",-33438.53
"147",-32917.053
"148",-33419.408
"149",-33590.251
"150",-32803.164
"151",-34044.953
"152",-33761.794
"153",-33723.965
"154",-33165.264
"155",-34356.505
"156",-33642.881
"157",-33669.423
"158",-34152.55
"159",-33414.909
"160",-33390.336
"161",-33483.064
"162",-33893.126
"163",-33464.915
"164",-33766.42
"165",-33691.826
"166",-33861.174
"167",-33843.869
"168",-33745.97
"169",-34010.843
"170",-33371.81
"171",-34031.41
"172",-33875.786
"173",-34377.874
"174",-33276.087
"175",-33812.581
"176",-32948.013
"177",-33878.272
"178",-33729.832
"179",-33895.079
"180",-33647.837
"181",-33558.156
"182",-33931.194
"183",-33451.129
"184",-33003.923
"185",-34112.96
"186",-33155.846
"187",-32978.751
"188",-33517.623
"189",-34069.647
"190",-33328.732
"191",-33692.364
"192",-33543.44
"193",-33763.114
"194",-33519.662
"195",-33535.926
"196",-33989.046
"197",-33845.903
"198",-33645.038
"199",-33442.364
"200",-33706.012
"201",-33102.647
"202",-33357.003
"203",-33569.759
"204",-33662.821
"205",-33220.566
"206",-33475.374
"207",-33301.635
"208",-33789.79
"209",-33546.93
"210",-33861.797
"211",-33979.537
"212",-33252.722
"213",-33399.401
"214",-33370.289
"215",-33173.769
"216",-33783.173
"217",-33719.427
"218",-33890.661
"219",-34049.799
"220",-33751.961
"221",-33321.431
"222",-33379.865
"223",-34063.824
"224",-33759.236
"225",-33570.071
"226",-34040.026
"227",-33815.685
"228",-33281.922
"229",-33459.382
"230",-33983.938
"231",-33758.102
"232",-33849.883
"233",-33398.709
"234",-33843.158
"235",-33958.392
"236",-33832.205
"237",-33825.632
"238",-33528.174
"239",-33660.063
"240",-33905.885
"241",-33557.06
"242",-33698.946
"243",-33488.922
"244",-33366.481
"245",-32860.063
"246",-33335.049
"247",-33701.677
"248",-33677.082
"249",-34349.981
"250",-34195.772
"251",-33813.291
"252",-33723.531
"253",-33770.276
"254",-33864.683
"255",-32989.812
"256",-33754.944
"257",-33722.608
"258",-33754.64
"259",-33461.538
"260",-33535.166
"261",-33794.624
"262",-34159.44
"263",-33965.687
"264",-33534.654
"265",-33362.711
"266",-33864.808
"267",-33470.106
"268",-33102.509
"269",-33397.687
"270",-33019.823
"271",-33141.215
"272",-33968.672
"273",-33378.052
"274",-33998.083
"275",-33893.247
"276",-32960.434
"277",-33673.759
"278",-33586.563
"279",-34064.365
"280",-33110.371
"281",-33864.624
"282",-33280.648
"283",-33898.548
"284",-33753.818
