"","x"
"1",-34177.433
"2",-34565.771
"3",-34382.644
"4",-34327.604
"5",-33143.547
"6",-32932.594
"7",-33713.149
"8",-32998.328
"9",-32704.55
"10",-33876.618
"11",-33450.236
"12",-34094.388
"13",-33315.47
"14",-33561.183
"15",-34043.397
"16",-33441.533
"17",-33578.199
"18",-33328.185
"19",-33723.773
"20",-34164.128
"21",-34074.169
"22",-33451.111
"23",-33417.848
"24",-33495.719
"25",-33846.376
"26",-32974.757
"27",-32965.884
"28",-33538.274
"29",-34228.023
"30",-33151.1
"31",-33368.968
"32",-34114.311
"33",-33786.767
"34",-33098.588
"35",-33739.175
"36",-34140.678
"37",-33728.723
"38",-33536.324
"39",-33199.731
"40",-33772.707
"41",-33319.785
"42",-33857.292
"43",-33980.331
"44",-33546.212
"45",-33326.361
"46",-33592.325
"47",-33616.125
"48",-33700.765
"49",-34284.695
"50",-33475.259
"51",-33929.283
"52",-34043.859
"53",-33946.132
"54",-33824.082
"55",-33542.402
"56",-33991.286
"57",-33670.363
"58",-34004.593
"59",-34001.939
"60",-33427.897
"61",-34092.253
"62",-33404.831
"63",-34047.534
"64",-33755.083
"65",-33731.808
"66",-33661.188
"67",-33494.397
"68",-33159.363
"69",-32856.627
"70",-33629.313
"71",-33768.135
"72",-32869.48
"73",-32961.268
"74",-34136.195
"75",-33442.262
"76",-34078.917
"77",-33611.001
"78",-33104.142
"79",-33500.409
"80",-33157.593
"81",-33316.005
"82",-32995.297
"83",-33299.589
"84",-33629.507
"85",-33943.131
"86",-34163.189
"87",-34121.77
"88",-33714.311
"89",-33686.184
"90",-33801.163
"91",-33930.905
"92",-33803.88
"93",-34133.996
"94",-33368.676
"95",-33078.372
"96",-33844.839
"97",-33539.974
"98",-34038.773
"99",-33825.558
"100",-33634.063
"101",-33514.531
"102",-33527.379
"103",-33265.658
"104",-33430.363
"105",-33553.49
"106",-33733.416
"107",-34122.424
"108",-33188.139
"109",-33413.933
"110",-33407.968
"111",-33342.511
"112",-33855.609
