"","x"
"1",-16889.604
"2",-16437.579
"3",-16877.78
"4",-16521.221
"5",-17114.92
"6",-16476.587
"7",-16627.85
"8",-16867.403
"9",-16985.921
"10",-16639.895
"11",-17095.29
"12",-17381.422
"13",-16433.922
"14",-16331.205
"15",-16858.764
"16",-16754.635
"17",-16496.441
"18",-16990.293
"19",-16593.051
"20",-17113.998
"21",-16659.771
"22",-16547.721
"23",-16750.876
"24",-17002.518
"25",-16718.189
"26",-16974.291
"27",-17049.03
"28",-16687.842
"29",-17154.204
"30",-17007.395
"31",-16680.737
"32",-17008.642
"33",-16896.795
"34",-16630.153
"35",-16834.019
"36",-16997.697
"37",-17046.024
"38",-16603.622
"39",-16703.661
"40",-16944.681
"41",-16618.721
"42",-16725.457
"43",-16003.248
"44",-16893.627
"45",-16545.281
"46",-16650.838
"47",-16661.428
"48",-17051.914
"49",-17306.562
"50",-16452.024
"51",-17044.599
"52",-16515.322
"53",-17420.937
"54",-16960.92
"55",-16762.843
"56",-16762.246
"57",-17475.795
"58",-16854.83
"59",-16564.462
"60",-16602.543
"61",-16987.816
"62",-16955.428
"63",-17053.232
"64",-16912.56
"65",-17044.266
"66",-16893.523
"67",-16868.624
"68",-16678.703
"69",-16739.055
"70",-17123.823
"71",-16878.536
"72",-17486.737
"73",-16656.577
"74",-16925.638
"75",-16591.397
"76",-17036.017
"77",-16559.511
"78",-16850.554
"79",-16885.405
"80",-16893.574
"81",-17260.317
"82",-16940.776
"83",-16776.168
"84",-17145.804
"85",-16889.984
"86",-16671.987
"87",-16818.22
"88",-16804.993
"89",-16430.767
"90",-16635.008
"91",-16424.49
"92",-16529.831
"93",-16998.025
"94",-17448.517
"95",-17431.481
"96",-16637.539
"97",-16451.2
"98",-16706.576
"99",-16765.05
"100",-16637.693
"101",-16547.426
"102",-16729.923
"103",-16831.361
"104",-17041.33
"105",-16476.053
"106",-16875.468
"107",-16395.243
"108",-16688.787
"109",-16597.087
"110",-17131.139
"111",-16443.248
"112",-16347.029
"113",-16976.944
"114",-16845.281
"115",-16748.776
"116",-16796.26
"117",-17250.044
"118",-17138.438
"119",-16614.694
"120",-16563.966
"121",-16812.89
"122",-16312.212
"123",-17246.656
"124",-16647.238
"125",-16925.756
"126",-17381.587
"127",-16470.995
"128",-17033.934
"129",-16983.907
"130",-16639.316
"131",-16822.578
"132",-16694.278
"133",-16640.007
"134",-16844.355
"135",-16613.846
"136",-16876.353
"137",-16502.087
"138",-16157.671
"139",-16796.751
"140",-16914.755
"141",-16585.093
"142",-17422.323
"143",-17059.132
"144",-16986.962
"145",-16336.612
"146",-16818.895
"147",-16749.254
"148",-16770.54
"149",-17014.701
"150",-16806.929
"151",-16796.801
"152",-16599.235
"153",-17515.12
"154",-17001.069
"155",-16872.214
"156",-16810.752
"157",-16745.554
"158",-16758.587
"159",-16701.734
"160",-16363.524
"161",-16471.648
"162",-16810.869
"163",-17220.346
