"","x"
"1",-16768.036
"2",-16877.803
"3",-16757.239
"4",-16885.553
"5",-16696.009
"6",-16797.356
"7",-16294.362
"8",-16825.253
"9",-16933.493
"10",-16615.817
"11",-16801.586
"12",-16310.443
"13",-16536.722
"14",-16903.073
"15",-16535.648
"16",-16856.267
"17",-16962.126
"18",-17351.257
"19",-17289.391
"20",-17301.369
"21",-16493.633
"22",-16697.253
"23",-16905.102
"24",-16924.565
"25",-17072.603
"26",-16894.592
"27",-17301.475
"28",-16958.451
"29",-16863.616
"30",-16624.943
"31",-16785.598
"32",-16951.191
"33",-16364.643
"34",-16248.774
"35",-16913.66
"36",-16855.554
"37",-16796.558
"38",-17147.307
"39",-17199.569
"40",-17248.114
"41",-17022.291
"42",-17163.894
"43",-16885.017
"44",-17041.009
"45",-17296.35
"46",-17105.42
"47",-16592.681
"48",-16581.269
"49",-16911.722
"50",-17151.797
"51",-16660.103
"52",-16892.402
"53",-17009.201
"54",-17020.9
"55",-17314.45
"56",-16563.295
"57",-17268.584
"58",-16746.559
"59",-16691.953
"60",-17069.446
"61",-16492.076
"62",-16928.701
"63",-16514.69
"64",-16881.703
"65",-16219.235
"66",-16646.02
"67",-16769.073
"68",-16787.46
"69",-17000.853
"70",-16709.75
"71",-17181.56
"72",-17147.217
"73",-17223.762
"74",-16807.825
"75",-16653.97
"76",-16607.179
"77",-16943.717
"78",-16994.38
"79",-16600.984
"80",-16900.589
"81",-17442.39
"82",-16625.394
"83",-17127.831
"84",-16646.227
"85",-16731.844
"86",-16993.176
"87",-17107.905
"88",-16991.392
"89",-17029.034
"90",-17057.432
"91",-16717.203
"92",-16615.754
"93",-17179.213
"94",-16433.576
"95",-16985.954
"96",-16923.882
"97",-16662.178
"98",-16764.902
"99",-16625.668
"100",-16482.658
"101",-16843.317
"102",-17124.803
"103",-17003.456
"104",-16989.266
"105",-16823.66
"106",-16658.092
"107",-16825.992
"108",-16455.907
"109",-17062.171
"110",-16793.257
"111",-16732.549
"112",-16836.971
"113",-17182.14
"114",-16573.111
"115",-17174.56
"116",-16652.309
"117",-16899.34
"118",-16624.152
"119",-16922.469
"120",-16849.192
"121",-17004.041
"122",-17019.544
"123",-17228.431
"124",-16808.251
"125",-17105.494
"126",-16744.293
"127",-17347.28
"128",-16664.847
"129",-16367.644
"130",-17125.941
"131",-16674.471
"132",-16930.565
"133",-16529.395
"134",-16632.83
"135",-16826.021
"136",-16952.151
"137",-16567.084
"138",-16623.123
"139",-16815.371
"140",-16880.134
"141",-17343.283
"142",-16669.221
"143",-16759.171
"144",-16940.564
"145",-17020.638
"146",-16735.279
"147",-16779.707
"148",-17325.068
"149",-16966.15
"150",-16952.906
"151",-16853.964
"152",-16427.307
"153",-16749.703
"154",-16590.982
"155",-16827.819
"156",-16843.637
"157",-16965.861
"158",-16217.824
"159",-17023.33
"160",-16920.21
"161",-17155.848
"162",-17134.162
"163",-16804.101
"164",-17389.179
"165",-16870.643
"166",-17212.509
"167",-16485.717
"168",-16679.4
"169",-16991.585
"170",-16889.568
"171",-16841.892
"172",-17109.884
"173",-17068.827
"174",-16783.767
"175",-16466.719
"176",-16835.378
"177",-17055.817
"178",-17085.63
"179",-17394.159
"180",-17172.545
"181",-16696.228
"182",-16851.08
"183",-16956.389
"184",-16670.882
"185",-16646.956
"186",-16397.936
"187",-16960.117
"188",-17006.305
"189",-17037.29
"190",-16802.707
"191",-16633.249
"192",-17110.989
"193",-16872.672
"194",-17328.084
"195",-16835.795
"196",-16866.899
"197",-16664.661
"198",-16896.26
"199",-17118.239
"200",-16404.749
"201",-16655.757
"202",-16798.527
"203",-16902.332
"204",-16778.146
"205",-16847.035
"206",-16646.295
"207",-17029.281
"208",-16778.852
"209",-16662.049
"210",-17101.903
"211",-16620.316
"212",-17255.401
"213",-16560.875
"214",-16952.688
"215",-17039.754
"216",-16805.238
"217",-16705.916
"218",-16320.612
"219",-16937.514
"220",-17389.72
"221",-17263.445
"222",-16766.078
"223",-17206.984
"224",-16532.591
"225",-16340.258
"226",-16926.839
"227",-16643.735
"228",-16447.61
"229",-16796.157
"230",-17187.296
"231",-16737.975
"232",-16823.296
"233",-17089.404
"234",-16703.878
"235",-16857.915
"236",-16990.565
"237",-16764.233
"238",-16797.674
"239",-16643.431
"240",-17374.722
