"","x"
"1",-16756.052
"2",-16876.641
"3",-16739.769
"4",-16873.461
"5",-16684.495
"6",-16777.193
"7",-16277.449
"8",-16819.88
"9",-16926.434
"10",-16614.87
"11",-16796.941
"12",-16284.304
"13",-16534.853
"14",-16900.288
"15",-16529.948
"16",-16849.958
"17",-16960.319
"18",-17347.137
"19",-17283.679
"20",-17294.322
"21",-16493.609
"22",-16690.619
"23",-16899.549
"24",-16916.465
"25",-17067.72
"26",-16884.651
"27",-17293.883
"28",-16956.659
"29",-16861.143
"30",-16615.589
"31",-16777.773
"32",-16944.775
"33",-16358.828
"34",-16246.756
"35",-16903.328
"36",-16838.4
"37",-16791.938
"38",-17140.26
"39",-17196.845
"40",-17241.881
"41",-17016.751
"42",-17155.728
"43",-16870.51
"44",-17033.621
"45",-17289.296
"46",-17099.276
"47",-16588.174
"48",-16577.091
"49",-16910.706
"50",-17144.905
"51",-16648.56
"52",-16885.908
"53",-16996.571
"54",-17016.445
"55",-17305.755
"56",-16557.789
"57",-17260.916
"58",-16738.078
"59",-16681.635
"60",-17062.182
"61",-16482.79
"62",-16925.785
"63",-16503.026
"64",-16876.597
"65",-16215.316
"66",-16643.507
"67",-16766.047
"68",-16785.201
"69",-16999.233
"70",-16701.279
"71",-17175.895
"72",-17141.15
"73",-17219.36
"74",-16797.253
"75",-16642.308
"76",-16602.335
"77",-16939.577
"78",-16990.147
"79",-16594.466
"80",-16897.497
"81",-17435.227
"82",-16619.197
"83",-17127.156
"84",-16640.984
"85",-16725.122
"86",-16991.883
"87",-17101.572
"88",-16989.589
"89",-17024.508
"90",-17048.754
"91",-16710.901
"92",-16611.598
"93",-17171.145
"94",-16430.62
"95",-16983.51
"96",-16919.561
"97",-16651.298
"98",-16761.792
"99",-16619.546
"100",-16474.87
"101",-16828.83
"102",-17116.139
"103",-16995.391
"104",-16986.235
"105",-16821.621
"106",-16653.445
"107",-16815.111
"108",-16454.998
"109",-17059.78
"110",-16783.861
"111",-16722.931
"112",-16833.854
"113",-17174.595
"114",-16562.538
"115",-17172.982
"116",-16648.749
"117",-16893.998
"118",-16616.106
"119",-16921.209
"120",-16845.775
"121",-16997.362
"122",-17010.584
"123",-17223.844
"124",-16806.407
"125",-17104.642
"126",-16740.871
"127",-17341.147
"128",-16663.667
"129",-16358.586
"130",-17123.617
"131",-16666.755
"132",-16922.797
"133",-16510.91
"134",-16628.3
"135",-16820.037
"136",-16945.648
"137",-16562.225
"138",-16617.751
"139",-16813.648
"140",-16874.992
"141",-17330.381
"142",-16663.149
"143",-16748.357
"144",-16933.338
"145",-17016.401
"146",-16720.703
"147",-16764.176
"148",-17321.433
"149",-16955.58
"150",-16951.588
"151",-16840.056
"152",-16422.616
"153",-16749.472
"154",-16579.866
"155",-16821.233
"156",-16839.482
"157",-16954.899
"158",-16216.488
"159",-17021.85
"160",-16912.668
"161",-17149.396
"162",-17130.523
"163",-16795.44
"164",-17383.158
"165",-16862.559
"166",-17210.035
"167",-16481.683
"168",-16676.99
"169",-16981.075
"170",-16874.991
"171",-16835.773
"172",-17101.255
"173",-17066.084
"174",-16776.674
"175",-16460.859
"176",-16830.113
"177",-17051.934
"178",-17080.897
"179",-17388.285
"180",-17167.206
"181",-16691.74
"182",-16849.234
"183",-16944.596
"184",-16659.77
"185",-16642.655
"186",-16391.534
"187",-16957.796
"188",-17003.656
"189",-17031.516
"190",-16795.826
"191",-16627.469
"192",-17103.147
"193",-16863.556
"194",-17325.562
"195",-16829.735
"196",-16861.278
"197",-16652.546
"198",-16885.44
"199",-17112.548
"200",-16398.775
"201",-16649.971
"202",-16789.944
"203",-16894.899
"204",-16776.208
"205",-16840.403
"206",-16643.946
"207",-17025.388
"208",-16775.299
"209",-16656.423
"210",-17100.47
"211",-16616.019
"212",-17250.331
"213",-16549.363
"214",-16946.989
"215",-17037.044
"216",-16802.987
"217",-16700.742
"218",-16313.359
"219",-16929.691
"220",-17378.099
"221",-17258.284
"222",-16764.957
"223",-17200.85
"224",-16529.074
"225",-16340.175
"226",-16921.132
"227",-16632.227
"228",-16444.974
"229",-16791.901
"230",-17182.991
"231",-16728.091
"232",-16818.725
"233",-17085.535
"234",-16700.468
"235",-16846.715
"236",-16987.43
"237",-16755.684
"238",-16784.629
"239",-16629.089
"240",-17372.27
"241",-16708.377
"242",-17239.189
"243",-16647.728
"244",-16664.452
"245",-16638.114
"246",-16877.952
"247",-16143.045
"248",-16785.044
"249",-16590.334
"250",-16673.071
"251",-16735.448
"252",-17211.561
"253",-16633.841
"254",-16660.439
"255",-16758.654
"256",-16483.186
"257",-16640.123
"258",-16700.101
"259",-17252.493
"260",-16975.171
"261",-17126.608
"262",-16526.633
"263",-16992.794
"264",-17113.647
"265",-16722.818
"266",-16945.146
"267",-16845.457
"268",-17073.37
"269",-16775.644
"270",-17081.115
"271",-16979.908
"272",-16858.051
"273",-16508.235
"274",-16562.475
"275",-17183.843
"276",-17023.48
"277",-16496.264
"278",-16901.941
"279",-16972.474
"280",-17164.05
"281",-16511.486
"282",-17179.429
"283",-17132.575
"284",-16625.967
"285",-17559.418
"286",-16751.716
"287",-17254.616
"288",-16451.665
"289",-16905.651
"290",-16518.03
"291",-17070.983
"292",-16712.918
"293",-16629.769
"294",-16684.643
"295",-16940.086
"296",-16877.387
"297",-17021.502
"298",-17001.216
"299",-16604.617
"300",-16759.931
"301",-17279.419
"302",-17219.694
"303",-16541.11
"304",-17300.522
"305",-16738.392
"306",-16991.798
"307",-16650.866
"308",-17146.187
"309",-17041.98
"310",-16806.833
"311",-16852.39
"312",-16886.873
"313",-17132.048
"314",-16757.233
"315",-16658.514
"316",-17018.154
"317",-16863.612
"318",-16561.301
"319",-17031.469
"320",-16744.486
"321",-17633.028
"322",-16994.544
"323",-17124.02
"324",-17084.879
"325",-16526.699
"326",-16982.944
"327",-17032.083
"328",-16657.575
"329",-16671.776
"330",-17086.972
"331",-17171.848
"332",-16802.291
"333",-16896.608
"334",-16363.365
"335",-16463.708
"336",-17123.183
"337",-16872.882
"338",-16669.216
"339",-16949.552
"340",-17194.798
"341",-16942.495
"342",-16892.829
"343",-17069.475
"344",-16894.085
"345",-16826.61
"346",-16752.959
"347",-16694.635
"348",-16440.642
"349",-16857.275
"350",-16175.958
"351",-17100.211
"352",-17095.764
"353",-17025.628
"354",-16964.332
"355",-16718.022
"356",-16450.867
"357",-16595.204
"358",-16640.536
"359",-16824.655
"360",-16178.588
"361",-16545.88
"362",-16513.089
"363",-17342.132
"364",-16897.092
"365",-16806.274
"366",-16434.108
"367",-16463.941
"368",-16964.649
"369",-16931.076
"370",-16918.472
"371",-16529.358
"372",-16645.743
"373",-17367.737
"374",-16525.137
"375",-16763.038
"376",-16753.903
"377",-17049.869
"378",-17001.471
"379",-16482.178
"380",-16588.867
"381",-16287.955
"382",-16910.95
"383",-17171.215
"384",-17147.133
"385",-16705.33
"386",-16992.12
"387",-17019.902
"388",-17117.108
"389",-16585.332
"390",-16793.422
"391",-16648.448
"392",-16801.732
"393",-16842.931
"394",-16904.072
"395",-16711.168
"396",-16954.688
"397",-17399.424
"398",-16678.859
"399",-16703.794
"400",-16949.506
"401",-16773.505
"402",-16892.005
