"","x"
"1",-16825.548
"2",-16780.78
"3",-17231.002
"4",-16328.803
"5",-16694.279
"6",-17132.808
"7",-16489.155
"8",-16813.583
"9",-16566.854
"10",-16565.023
"11",-16700.238
"12",-17219.054
"13",-16800.539
"14",-17213.085
"15",-16956.632
"16",-17105.318
"17",-17160.674
"18",-16655.474
"19",-16744.993
"20",-16871.156
"21",-16680.687
"22",-16954.163
"23",-17035.897
"24",-16394.756
"25",-17161.711
"26",-16300.58
"27",-16595.13
"28",-16767.817
"29",-17172.67
"30",-17531.25
"31",-16886.218
"32",-16910.241
"33",-16738.943
"34",-17056.716
"35",-16461.838
"36",-16968.616
"37",-16671.447
"38",-16842.857
"39",-16634.805
"40",-16870.208
"41",-17120.011
"42",-16596.721
"43",-17060.678
"44",-16885.583
"45",-17128.957
"46",-16808.362
"47",-17295.782
"48",-17182.418
"49",-16639.765
"50",-17128.97
"51",-17050.742
"52",-16760.225
"53",-16771.71
"54",-16730.165
"55",-16959.077
"56",-17114.437
"57",-16615.802
"58",-16931.603
"59",-16779.136
"60",-16709.884
"61",-16719.743
"62",-16766.585
"63",-16878.56
"64",-16721.512
"65",-16485.975
"66",-17185.017
"67",-16629.679
"68",-16791.245
"69",-16493.972
"70",-16783.243
"71",-17000.876
"72",-16617.844
"73",-16879.971
"74",-16586.179
"75",-16874.594
"76",-17083.784
"77",-17204.71
"78",-16845.59
"79",-16504.976
"80",-16812.904
"81",-17191.014
"82",-16650.373
"83",-16470.952
"84",-16982.898
"85",-16726.854
"86",-17175.21
"87",-17046.766
"88",-17116.008
"89",-17138.463
"90",-17020.198
"91",-17011.323
"92",-16774.917
"93",-16860.486
"94",-17142.003
"95",-16605.39
"96",-17091.448
"97",-17007.017
"98",-16938.796
"99",-16867.217
"100",-16788.777
"101",-16629.765
"102",-16833.383
"103",-16939.328
"104",-16922.571
"105",-17110.785
"106",-16280.453
"107",-16422.102
"108",-17057.768
"109",-16934.206
"110",-17109.049
"111",-16872.311
"112",-16995.763
"113",-17212.543
"114",-16840.511
"115",-16983.128
"116",-17021.772
"117",-17129.675
"118",-16765.705
"119",-16714.891
"120",-16971.542
"121",-16798.197
"122",-16886.912
"123",-16687.155
"124",-16533.457
"125",-16706.77
"126",-16467.374
"127",-17055.4
"128",-16522.916
"129",-16896.091
"130",-16527.772
"131",-16890.234
"132",-16832.633
"133",-16708.091
"134",-16566.35
"135",-16595.531
"136",-17150.871
"137",-16368.802
"138",-17007.976
"139",-16956.255
"140",-17097.696
"141",-16964.575
"142",-16181.504
"143",-16462.194
"144",-16966.443
"145",-16799.403
"146",-16290.082
"147",-16964.715
"148",-16747.283
"149",-16639.545
"150",-16797.279
"151",-16800.537
"152",-16794.227
"153",-16593.707
"154",-16691.718
"155",-16299.541
"156",-16777.265
"157",-16808.021
"158",-16868.673
"159",-16648.194
"160",-16861.874
"161",-16843.213
"162",-17124.782
"163",-17050.662
"164",-16918.696
"165",-17514.504
"166",-16547.999
"167",-17016.583
"168",-16734.499
"169",-17253.428
"170",-17037.158
"171",-17525.021
"172",-16579.034
"173",-16792.071
"174",-16957.615
"175",-17109.368
"176",-16534.674
"177",-16827.841
"178",-16901.162
"179",-16452.54
"180",-16393.066
"181",-17039.326
"182",-17447.137
"183",-17175.782
"184",-17216.814
"185",-16608.634
"186",-16588.217
"187",-16723.671
"188",-17102.362
"189",-16620.61
"190",-17362.563
"191",-16563.935
"192",-16725.89
"193",-16727.282
"194",-16683.078
"195",-16718.034
"196",-16717.184
"197",-16749.879
"198",-16814.424
"199",-16255.407
"200",-16594.664
"201",-17517.915
"202",-16899.763
"203",-16604.951
"204",-16929.054
"205",-16888.84
"206",-17032.044
"207",-16480.752
"208",-16787.684
"209",-16223.788
"210",-16712.077
"211",-17072.757
"212",-16588.798
"213",-16449.276
"214",-17466.424
"215",-16908.084
"216",-16944.37
"217",-16917.081
"218",-17047.604
"219",-16610.942
"220",-16656.27
"221",-16844.639
"222",-16441.127
"223",-16544.434
"224",-16781.584
"225",-16608.136
"226",-16885.24
"227",-16981.31
"228",-16570.293
"229",-16938.239
"230",-16545.67
"231",-17379.27
"232",-16473.613
"233",-16693.976
"234",-16549.307
"235",-16538.836
"236",-16734.29
"237",-16761.361
"238",-17161.033
"239",-17222.794
"240",-17262.877
"241",-17082.625
"242",-16623.314
"243",-16364.254
"244",-17151.669
"245",-16700.57
"246",-16683.132
"247",-17166.461
"248",-16730.479
"249",-16731.543
"250",-16998.367
"251",-16500.682
"252",-17051.042
"253",-17161.314
"254",-16742.575
"255",-16592.385
"256",-17067.791
"257",-17071.558
"258",-16941.414
"259",-16698.436
"260",-17480.699
"261",-16980.27
"262",-16700.56
"263",-16507.196
"264",-16870.292
"265",-16902.955
"266",-16809.921
"267",-17106.604
"268",-16996.405
"269",-16877.901
"270",-16469.275
"271",-16844.45
"272",-16785.249
"273",-16718.412
"274",-16919.686
"275",-16723.558
"276",-16592.288
"277",-16524.46
"278",-16619.501
"279",-16654.051
"280",-16709.195
"281",-17188.558
"282",-16859.971
"283",-16777.22
"284",-16911.773
"285",-16560.789
"286",-16518.509
"287",-16649.174
"288",-16928.691
"289",-17686.804
"290",-17122.516
"291",-16787.189
"292",-17200.076
"293",-16810.757
"294",-16597.667
"295",-16668.564
"296",-16652.014
"297",-16729.846
"298",-16884.836
"299",-16695.064
"300",-16925.533
"301",-16976.003
"302",-17079.301
"303",-17117.188
"304",-17271.306
"305",-16441.718
"306",-17074.86
"307",-16683.283
"308",-17375.975
"309",-16318.648
"310",-16826.705
"311",-16608.392
"312",-17059.664
"313",-16833.939
"314",-16889.722
"315",-17070.876
"316",-16820.283
"317",-16368.981
"318",-16434.453
"319",-16756.855
"320",-16375.808
"321",-16846.411
"322",-16634.502
"323",-16571.297
"324",-16955.782
"325",-17001.952
"326",-16865.654
"327",-16684.805
"328",-16836.964
"329",-16854.373
"330",-16982.902
"331",-16930.277
"332",-17471.308
"333",-16072.095
"334",-16904.36
"335",-17182.123
"336",-16840.501
"337",-16466.869
"338",-16919.139
"339",-16315.066
"340",-16259.487
"341",-16513.816
"342",-17280.698
"343",-16814.124
"344",-16797.711
"345",-16947.995
"346",-16638.245
"347",-16245.62
"348",-16857.764
"349",-16647.496
"350",-17235.54
"351",-16976.358
"352",-17207.863
"353",-16380.629
"354",-17115.279
"355",-16344.704
"356",-17060.914
"357",-16498.469
"358",-17171.676
"359",-17033.931
"360",-17105.441
"361",-16615.015
"362",-16811.124
"363",-16394.273
"364",-16314.023
"365",-16688.847
"366",-16522.131
"367",-16602.339
"368",-16885.05
"369",-17297.869
"370",-16765.266
"371",-17117.611
"372",-16573.566
"373",-16735.632
"374",-17012.982
"375",-16816.005
"376",-17253.916
"377",-16406.023
"378",-16853.732
"379",-16779.54
"380",-16550.666
"381",-16857.499
"382",-17023.228
"383",-16712.978
"384",-16577.612
"385",-16884.304
"386",-17006.516
"387",-17216.443
"388",-16629.07
"389",-16788.083
"390",-17035.362
"391",-16859.764
"392",-17137.795
"393",-16828.95
"394",-17341.965
"395",-16728.766
"396",-16297.095
"397",-16674.55
"398",-16684.473
"399",-16577.481
"400",-17049.654
"401",-16599.295
"402",-16778.138
"403",-16759.342
"404",-16613.416
"405",-17202.828
"406",-17122.296
"407",-16850.728
"408",-17315.757
"409",-16659.274
"410",-16566.726
"411",-17302.491
"412",-16892.384
"413",-16928.453
"414",-16635.169
"415",-16282.983
"416",-17202.568
"417",-16996.771
"418",-16589.845
"419",-16650.123
"420",-16699.347
"421",-16578.191
"422",-17108.881
"423",-16941.449
"424",-16486.314
"425",-16738.673
"426",-16951.258
"427",-16794.993
"428",-16447.778
"429",-16728.46
"430",-16709.174
"431",-16819.089
"432",-17500.121
"433",-16968.02
"434",-16548.617
"435",-16520.038
"436",-17168.851
"437",-16993.904
"438",-16871.159
"439",-16921.375
"440",-16680.41
"441",-16489.599
"442",-17285.243
"443",-16649.875
"444",-16668.873
"445",-16654.303
"446",-16925.817
"447",-16750.474
"448",-17493.45
"449",-16801.564
"450",-16504.016
"451",-16371.335
"452",-17525.238
"453",-17126.311
"454",-16770.519
"455",-16714.483
"456",-16183.59
"457",-16774.962
"458",-16880.013
"459",-16568.692
"460",-16925.279
"461",-17356.609
"462",-16823.359
"463",-16974.773
"464",-16395.829
"465",-17147.859
"466",-16964.894
"467",-16639.222
"468",-16717.732
"469",-16851.156
"470",-16572.047
"471",-16654.305
"472",-16824.519
"473",-16820.89
"474",-16411.896
