"","x"
"1",-17021.779
"2",-16818.837
"3",-17213.109
"4",-16951.992
"5",-16901.713
"6",-16552.141
"7",-16537.086
"8",-16691.99
"9",-16859.324
"10",-17028.709
"11",-16731.339
"12",-16212.973
"13",-16709.132
"14",-16585.054
"15",-16794.937
"16",-16741.236
"17",-16897.519
"18",-16487.02
"19",-17325.157
"20",-17023.452
"21",-16719.257
"22",-16617.84
"23",-16570.993
"24",-16687.929
"25",-16410.208
"26",-16525.987
"27",-16663.935
"28",-16839.076
"29",-16678.761
"30",-16947.912
"31",-16735.15
"32",-17049.045
"33",-16711.969
"34",-16350.306
"35",-17214.75
"36",-16751.989
"37",-16556.537
"38",-17070.183
"39",-17462.844
"40",-17106.867
"41",-16652.039
"42",-17062.276
"43",-16148.453
"44",-17304.929
"45",-16434.866
"46",-16680.889
"47",-16822.872
"48",-16776.366
"49",-17085.344
"50",-16662.552
"51",-16460.692
"52",-16407.883
"53",-16720.659
"54",-16570.893
"55",-17205.046
"56",-17005.951
"57",-16439.156
"58",-16595.424
"59",-16701.215
"60",-16695.253
"61",-16769.539
"62",-16534.156
"63",-16631.758
"64",-16617.804
"65",-16425.272
"66",-16380.682
"67",-16420.728
"68",-16436.929
"69",-16879.021
"70",-17078.766
"71",-16828.494
"72",-17093.164
"73",-16715.205
"74",-17444.254
"75",-16410.422
"76",-16846.296
"77",-16891.673
"78",-16792.404
"79",-16542.253
"80",-16941.533
"81",-17316.957
"82",-16747.772
"83",-16940.496
"84",-16607.526
"85",-16935.098
"86",-16921.333
"87",-16797.033
"88",-16910.346
"89",-16722.813
"90",-16800.483
"91",-16669.654
"92",-16805.556
"93",-17087.474
"94",-16638.751
"95",-16823.723
"96",-16567.358
"97",-16555.242
"98",-16781.323
"99",-16990.656
"100",-16876.115
"101",-16747.622
"102",-16872.981
"103",-16844.582
"104",-17284.526
"105",-16717.5
"106",-16713.011
"107",-16895.179
"108",-16603.863
"109",-16769.795
"110",-16703.885
"111",-16609.058
"112",-16942.454
"113",-16363.813
"114",-17235.227
"115",-17044.259
"116",-16935.376
"117",-17076.783
"118",-16616.029
"119",-16776.15
"120",-16252.056
"121",-16909.864
"122",-16959.067
"123",-16710.513
"124",-17075.111
"125",-16936.69
"126",-16863.179
"127",-16815.414
"128",-16685.886
"129",-16470.673
"130",-16609.506
"131",-17336.502
"132",-16719.848
"133",-16655.536
"134",-16813.707
"135",-16805.344
"136",-16722.921
"137",-16864.429
"138",-17218.95
"139",-17115.374
"140",-16550.841
"141",-16737.183
"142",-17041.592
"143",-16625.167
"144",-16879.047
"145",-16841.476
"146",-16562.589
"147",-16472.8
"148",-16655.391
"149",-16631.929
"150",-17119.176
"151",-16675.632
"152",-16078.861
