"","x"
"1",-16811.912
"2",-16987.036
"3",-16697.118
"4",-16853.289
"5",-16191.344
"6",-16492.981
"7",-16857.619
"8",-16738.615
"9",-16805.308
"10",-17018.876
"11",-17071.662
"12",-16989.308
"13",-16700.745
"14",-17209.822
"15",-16636.122
"16",-17121.714
"17",-16767.894
"18",-16748.797
"19",-16772.725
"20",-16832.89
"21",-16927.616
"22",-16558.717
"23",-16877.605
"24",-16972.546
"25",-16539.386
"26",-16688.226
"27",-16188.79
"28",-16999.573
"29",-17297.849
"30",-16986.123
"31",-16663.813
"32",-17189.662
"33",-16334.122
"34",-17073.121
"35",-16708.297
"36",-17101.436
"37",-17266.239
"38",-16860.298
"39",-17063.962
"40",-16955.234
"41",-16727.373
"42",-16555.92
"43",-16727.477
"44",-17264.629
"45",-16313.621
"46",-17051.878
"47",-16564.339
"48",-16660.969
"49",-16281.899
"50",-16877.034
"51",-16895.423
"52",-17082.528
"53",-16715.364
"54",-17164.944
"55",-16623.265
"56",-16365.692
"57",-17071.181
"58",-16773.436
"59",-16769.078
"60",-16520.309
"61",-16793.775
"62",-17270.832
"63",-17162.377
"64",-16425.221
"65",-16873.575
"66",-16930.586
"67",-16445.034
"68",-16968.508
"69",-16869.327
"70",-16849.538
"71",-16552.015
"72",-16506.485
"73",-16495.543
"74",-16910.264
"75",-16302.276
"76",-17130.934
"77",-16850.332
"78",-16606.358
"79",-16915.027
"80",-17073.482
"81",-16954.43
"82",-16235.137
"83",-16953.982
"84",-16712.075
"85",-16497.492
"86",-17091.044
"87",-17009.387
"88",-16799.997
"89",-17016.516
"90",-17195.908
"91",-17214.234
"92",-17082.279
"93",-16685.205
"94",-16473.639
"95",-16879.041
"96",-16656.348
"97",-16902.774
"98",-17035.459
"99",-16767.687
"100",-16477.869
"101",-17012.666
"102",-16921.243
"103",-16463.334
"104",-16781.494
"105",-16865.912
"106",-16800.283
"107",-16899.243
"108",-16829.966
"109",-16612.14
"110",-16684.616
"111",-16975.183
"112",-17157.771
"113",-17069.656
"114",-16644.915
"115",-16661.303
"116",-16975.724
"117",-16816.434
"118",-16945.078
"119",-17287.765
"120",-16829.051
"121",-16867.442
"122",-16831.087
"123",-17080.379
"124",-17023.752
"125",-17069.306
"126",-16710.45
"127",-16777.234
"128",-17060.92
"129",-16846.445
"130",-17122.824
"131",-16652.856
"132",-16845.512
"133",-16459.385
"134",-16807.01
"135",-16829.838
"136",-17027.586
"137",-16586.009
"138",-17174.127
"139",-16235.907
"140",-17029.066
"141",-16854.649
"142",-16839.845
