"","x"
"1",-16759.345
"2",-17037.934
"3",-16783.55
"4",-16779.843
"5",-16748.606
"6",-16704.247
"7",-16896.276
"8",-16856.028
"9",-16931.104
"10",-16710.004
"11",-16949.091
"12",-17330.599
"13",-16795.335
"14",-17282.021
"15",-16968.055
"16",-16389.932
"17",-17233.46
"18",-16953.338
"19",-17060.268
"20",-16904.488
"21",-16436.947
"22",-17133.586
"23",-16904.024
"24",-16492.608
"25",-16732.557
"26",-16804.083
"27",-17098.828
"28",-16659.554
"29",-16832.336
"30",-16845.049
"31",-16624.526
"32",-16743.512
"33",-17145.002
"34",-16785.574
"35",-16772.88
"36",-16245.785
"37",-17035.956
"38",-16707.715
"39",-16475.447
"40",-16840.634
"41",-16595.465
"42",-16507.75
"43",-16473.649
"44",-16475.872
"45",-16770.923
"46",-16574.96
"47",-16719.363
"48",-17049.508
"49",-16944.366
"50",-16774.571
"51",-16578.549
"52",-17145.763
"53",-17127.94
"54",-16702.738
"55",-16384.811
"56",-16908.112
"57",-16787.714
"58",-16912.848
"59",-16689.224
"60",-16445.556
"61",-16776.108
"62",-16962.612
"63",-16999.661
"64",-16736.129
"65",-17010.097
"66",-16396.805
"67",-16806.202
"68",-16228.272
"69",-16837.895
"70",-17097.25
"71",-16178.753
"72",-16981.794
"73",-16425.931
"74",-16614.995
"75",-17078.127
"76",-16524.314
"77",-17013.319
"78",-16816.211
"79",-16900.45
"80",-16201.739
"81",-16553.101
"82",-16686.708
"83",-16718.183
"84",-16808.131
"85",-16739.696
"86",-17055.374
"87",-16724.941
"88",-16752.219
"89",-16995.939
"90",-16428.773
"91",-17092.677
"92",-16603.038
"93",-16882.121
"94",-16466.265
"95",-16737.599
"96",-16512.554
"97",-17321.592
"98",-16635.032
"99",-17193.329
"100",-16600.138
"101",-17116.073
"102",-16421.493
"103",-17009.308
"104",-17170.031
"105",-17328.843
"106",-15782.401
"107",-16839.727
"108",-17189.368
"109",-16968.25
"110",-17042.646
"111",-16554.862
"112",-16783.949
"113",-17181.803
"114",-16808.422
"115",-17003.658
"116",-17038.198
"117",-17214.606
"118",-16765.593
"119",-16741.361
"120",-16786.725
"121",-16837.15
"122",-16812.589
"123",-17192.196
"124",-16710.144
"125",-16825.336
"126",-17335.433
"127",-16925.508
"128",-16932.253
"129",-16693.427
"130",-17000.806
"131",-17271.698
"132",-17117.725
"133",-16687.944
"134",-16893.895
"135",-16892.592
"136",-16681.182
"137",-16735.848
"138",-16825.113
"139",-16849.23
"140",-17086.213
"141",-17001.337
"142",-17188.538
"143",-16772.012
"144",-16996.263
"145",-16765.23
"146",-16757.405
"147",-16509.974
"148",-16719.957
"149",-16711.629
"150",-16589.81
"151",-17337.785
"152",-16678.145
"153",-16290.541
"154",-16944.829
"155",-17233.348
"156",-16884.609
"157",-16406.683
"158",-16592.984
"159",-17250.296
"160",-16931.986
"161",-16807.029
"162",-16727.16
"163",-17128.87
"164",-16704.458
"165",-17190.282
"166",-16822.603
"167",-16938.294
"168",-16509.337
"169",-16844.731
"170",-16935.796
"171",-17413.711
"172",-17125.274
"173",-16658.696
"174",-16783.456
"175",-16372.3
"176",-16381.777
"177",-16599.403
"178",-16681.143
"179",-16499.421
"180",-17169.067
"181",-16589.112
"182",-16462.733
"183",-16756.724
"184",-16701.485
"185",-17249.38
"186",-16542.112
"187",-16693.795
"188",-16082.255
"189",-16531.433
"190",-16908.493
"191",-17174.758
"192",-16483.905
"193",-16811.238
"194",-16741.505
"195",-16826.495
"196",-16530.711
"197",-16554.036
"198",-17302.802
"199",-16561.856
"200",-16982.197
"201",-16766.209
"202",-16669.356
"203",-16709.262
"204",-16680.514
"205",-16903.964
"206",-16697.12
"207",-16958.547
"208",-16765.291
