"","x"
"1",-33736.039
"2",-34262.817
"3",-33335.613
"4",-33683.746
"5",-33914.576
"6",-33756.408
"7",-33746.055
"8",-33286.35
"9",-33372.736
"10",-34039.781
"11",-33790.232
"12",-33977.446
"13",-33327.18
"14",-33486.946
"15",-33494.665
"16",-33457.005
"17",-33582.335
"18",-32760.438
"19",-33053.434
"20",-33819.478
"21",-33733.288
"22",-33129.078
"23",-33592.372
"24",-33689.872
"25",-33904.822
"26",-33091.664
"27",-33056.332
"28",-33506.116
"29",-33479.875
"30",-33157.608
"31",-33545.778
"32",-34115.715
"33",-33958.469
"34",-33650.204
"35",-33857.051
"36",-33470.387
"37",-33441.139
"38",-34006.3
"39",-33964.424
"40",-33227.142
"41",-33323.114
"42",-33865.315
"43",-33967.885
"44",-33673.158
"45",-33812.856
"46",-33898.724
"47",-33710.188
"48",-33684.453
"49",-32965.556
"50",-34278.621
"51",-34137.885
"52",-33325.504
"53",-33284.202
"54",-33727.392
"55",-33554.611
"56",-33641.153
"57",-33828.112
"58",-34132.72
"59",-33234.895
"60",-33498.543
"61",-33906.383
"62",-34063.158
"63",-33825.443
"64",-33436.18
"65",-33624.657
"66",-34340.578
"67",-32952.265
"68",-33658.285
"69",-33815.067
"70",-32711.495
"71",-34337.212
"72",-33419.91
"73",-33554.953
"74",-33670.528
"75",-33533.801
"76",-34283.236
"77",-33751.697
"78",-33625.256
"79",-33206.376
"80",-33959.567
"81",-33918.996
"82",-33502.225
"83",-33781.013
"84",-33216.16
"85",-33555.866
"86",-32894.846
"87",-33686.766
"88",-33896.914
"89",-33542.642
"90",-33545
"91",-33827.227
"92",-32993.741
"93",-34088.891
"94",-33054.989
"95",-33454.536
"96",-33692.824
"97",-33918.4
"98",-34110.171
"99",-33995.84
"100",-33691.043
"101",-33778.957
"102",-33510.631
"103",-34166.029
"104",-33534.959
"105",-33722.532
"106",-33808.912
"107",-33681.285
"108",-33134.469
"109",-33332.796
"110",-33878.071
"111",-33455.634
"112",-33394.537
"113",-33611.22
"114",-33745.056
"115",-33153.847
"116",-34244.015
"117",-33840.467
"118",-34223.483
"119",-32876.329
"120",-33835.392
"121",-33123.959
"122",-33273.359
"123",-33426.966
"124",-32758.977
"125",-33796.432
"126",-33532.796
"127",-33680.44
"128",-34124.787
"129",-33597.145
"130",-33747.788
"131",-33270.269
"132",-34209.231
"133",-34418.24
"134",-33558.217
"135",-33739.973
"136",-33753.315
"137",-33550.303
"138",-33871.424
"139",-33455.223
"140",-33845.941
"141",-33328.691
"142",-34044.543
"143",-33707.338
"144",-33722.61
"145",-34129.859
"146",-33006.379
"147",-33905.865
"148",-33918.313
"149",-33297.706
"150",-33662.988
"151",-33591.345
"152",-34306.825
"153",-34161.252
"154",-34167.621
"155",-33530.626
"156",-34041.974
"157",-33535.132
"158",-34079.298
"159",-33256.099
"160",-33996.469
"161",-33452.487
"162",-32757.539
"163",-33710.98
"164",-33526.688
"165",-33751.755
"166",-34037.993
"167",-33723.844
"168",-33767.858
"169",-33461.314
"170",-33693.293
"171",-33570.848
"172",-34058.183
"173",-33977.605
"174",-34260.052
"175",-33778.311
"176",-34066.876
"177",-33621.203
"178",-33127.504
"179",-33754.385
"180",-33660.734
"181",-33604.878
"182",-33626.319
"183",-33375.288
"184",-34024.901
"185",-33465.415
"186",-33357.543
"187",-34013.814
"188",-33425.936
"189",-33877.367
"190",-33384.024
"191",-33468.015
"192",-33710.875
"193",-34232.274
"194",-33339.286
"195",-33087.194
"196",-34422.929
"197",-33242.39
"198",-33493.055
"199",-33262.366
"200",-33705.418
"201",-33125.098
"202",-34144.982
"203",-33799.264
"204",-34420.75
"205",-33360.243
"206",-33276.829
"207",-33507.837
"208",-33248.122
"209",-32958.596
"210",-32986.503
"211",-33797.619
"212",-33217.555
"213",-33445.171
"214",-33725.294
"215",-34267.964
"216",-33206.869
"217",-34194.461
"218",-34490.794
"219",-33019.083
"220",-33737.273
"221",-33134.96
"222",-34174.529
"223",-34103.045
"224",-33708.42
"225",-33515.924
"226",-33372.252
"227",-33537.471
"228",-33247.151
"229",-33487.131
"230",-33838.748
"231",-33734.668
"232",-33373.53
"233",-34289.606
"234",-33269.161
"235",-33690.576
"236",-34091.55
"237",-33355.738
"238",-33399.208
"239",-34185.846
"240",-33106.188
"241",-33649.787
"242",-33620.711
"243",-33239.94
"244",-33201.536
"245",-33263.048
"246",-34030.132
"247",-33785.894
"248",-33978.397
"249",-33141.871
"250",-33050.721
"251",-33374.624
"252",-33401.777
"253",-33458.914
"254",-33544.517
"255",-33664.999
"256",-33789.722
"257",-33205.682
"258",-34454.616
"259",-33804.418
"260",-33126.444
"261",-33192.306
"262",-32877.135
"263",-33584.421
"264",-33435.791
"265",-32756.919
"266",-33969.67
"267",-33915.15
"268",-33359.948
"269",-33418.59
"270",-33735.605
"271",-33818.96
"272",-33628.484
"273",-33718.914
"274",-33050.058
"275",-33387.878
"276",-33339.753
"277",-33583.272
"278",-32865.263
"279",-33209.665
"280",-34062.472
"281",-33730.653
"282",-33659.896
"283",-33734.988
"284",-33072.938
"285",-33232.006
"286",-34248.72
"287",-33584.208
"288",-34219.571
"289",-33689.822
"290",-33948.368
"291",-33552.297
"292",-33786.544
"293",-33811.415
"294",-33259.624
"295",-33967.838
"296",-33532.23
"297",-32969.711
"298",-33695.021
"299",-34351.032
"300",-33740.822
"301",-33740.467
"302",-33639.934
"303",-34364.522
"304",-33132.633
"305",-33864.478
"306",-33460.277
"307",-33601.255
"308",-33911.791
"309",-33496.015
"310",-34324.32
"311",-33881.668
"312",-33298.083
"313",-33507.473
"314",-33522.073
"315",-33655.618
"316",-33711.078
"317",-32861.214
"318",-33803.987
"319",-33650.166
"320",-33679.038
"321",-33812.805
"322",-34962.798
"323",-33496.539
"324",-33332.668
"325",-33249.916
"326",-34610.445
"327",-34041.847
"328",-33605.334
"329",-34520.468
"330",-34168.049
"331",-33412.701
"332",-33622.554
"333",-33580.501
"334",-34105.229
"335",-34120.533
"336",-33382.222
"337",-33545.359
"338",-33244.744
"339",-33379.676
"340",-33308.898
"341",-33458.133
"342",-33652.695
"343",-33676.874
"344",-33504.477
"345",-33931.527
"346",-33848.926
"347",-33904.743
"348",-33244.508
"349",-32828.702
"350",-33957.125
"351",-33980.042
