"","x"
"1",-6722.536
"2",-6622.971
"3",-6832.612
"4",-6687.108
"5",-6676.589
"6",-6649.505
"7",-6594.944
"8",-6873.409
"9",-6619.181
"10",-6805.133
"11",-6537.367
"12",-6762.8
"13",-6885.976
"14",-6487.392
"15",-6464.062
"16",-6707.625
"17",-6597.033
"18",-6697.5
"19",-6577.52
"20",-6288.239
"21",-6750.822
"22",-6773.584
"23",-6398.106
"24",-6744.344
"25",-6562.809
"26",-6747.236
"27",-6902.154
"28",-6641.454
"29",-6562.611
"30",-6510.319
"31",-7051.662
"32",-6986.724
"33",-6673.336
"34",-6642.576
"35",-6985.866
"36",-7044.792
"37",-7026.455
"38",-6568.18
"39",-6626.694
"40",-6351.469
"41",-6422.274
"42",-6657.507
"43",-6955.317
"44",-6443.324
"45",-6501.116
"46",-6403.69
"47",-6513.636
"48",-6831.47
"49",-6415.945
"50",-6557.608
"51",-6812.468
"52",-6774.41
"53",-6472.985
"54",-6558.904
"55",-6824.625
"56",-6810.336
"57",-6417.261
"58",-6967.512
"59",-6393.468
"60",-6590.2
"61",-6788.238
"62",-6695.056
"63",-6756.99
"64",-6772.783
"65",-6246.223
"66",-6779.422
"67",-7203.051
"68",-6649.134
"69",-6958.261
"70",-6504.197
"71",-6754.847
"72",-6627.464
"73",-6423.049
"74",-6655.57
"75",-6795.021
"76",-6809.792
"77",-6583.781
"78",-6886.18
"79",-6619.278
"80",-7167.815
"81",-6813.449
"82",-6927.91
"83",-6707.71
"84",-6526.142
"85",-6653.053
"86",-6691.178
"87",-6399.614
"88",-6930.571
"89",-6655.263
"90",-6496.595
"91",-6537.966
"92",-6602.116
"93",-6636.223
"94",-6929.505
"95",-6384.267
"96",-6801.266
"97",-6838.719
"98",-6222.918
"99",-6760.423
"100",-6526.057
"101",-6622.755
"102",-6579.54
"103",-6979.707
"104",-6807.583
"105",-7051.154
"106",-7005.3
"107",-6631.824
"108",-7084.801
"109",-6786.29
"110",-6564.646
"111",-6781.485
"112",-6528.028
"113",-6636.017
"114",-6869.078
"115",-6802.354
"116",-6984.468
"117",-6688.362
"118",-6692.979
"119",-6861.206
"120",-6733.757
"121",-6831.657
"122",-6478.954
"123",-6497.388
"124",-6276.475
"125",-6702.239
"126",-6301.716
"127",-6638.283
"128",-6871.83
"129",-6852.797
"130",-6821.941
"131",-6891.437
"132",-6564.314
"133",-6660.232
"134",-6949.638
"135",-6709.73
"136",-6700.682
"137",-6780.031
"138",-6566.919
"139",-6635.569
"140",-6497.24
"141",-6616.564
"142",-6544.592
"143",-6596.478
"144",-6927.133
"145",-7023.49
"146",-6651.411
"147",-6825.344
"148",-6526.267
"149",-7044.98
"150",-6604.782
"151",-6613.301
"152",-6780.619
"153",-6532.866
"154",-6879.806
"155",-6347.469
"156",-6743.841
"157",-6712.469
"158",-6447.933
"159",-6393.724
"160",-6838.756
"161",-6925.009
"162",-6947.37
"163",-6916.711
"164",-6748.848
"165",-6846.35
"166",-6929.483
"167",-6525.653
"168",-6863.878
"169",-6751.392
"170",-6397.094
"171",-6615.052
"172",-6832.784
"173",-6650.907
"174",-6710.236
"175",-6927.872
"176",-6739.254
"177",-6608.951
"178",-6628.457
"179",-6545.456
"180",-6254.81
"181",-6795.809
"182",-6416.082
"183",-7013.428
"184",-6582.483
"185",-6674.567
"186",-6488.832
"187",-6768.54
"188",-7012.37
"189",-6715.397
"190",-6905.843
"191",-6725.692
"192",-6343.225
"193",-6359.485
"194",-6771.322
"195",-6489.241
"196",-6633.401
"197",-6736.288
"198",-6635.967
"199",-6776.137
"200",-6705.598
"201",-6592.975
"202",-6624.915
"203",-6735.832
"204",-6940.598
"205",-6605.086
"206",-6759.004
"207",-6760.171
"208",-6718.108
"209",-6702.806
"210",-6729.086
"211",-6603.112
"212",-6654.685
"213",-6720.237
"214",-6655.203
"215",-6716.372
"216",-7114.535
"217",-6668.59
"218",-6576.317
"219",-6705.268
"220",-6686.788
"221",-6784.585
"222",-6795.163
"223",-6782.624
"224",-6944.489
"225",-6809.496
"226",-6710.704
"227",-6909.208
"228",-6520.951
"229",-6572.26
"230",-6949.631
"231",-6320.995
"232",-6533.2
"233",-6743.583
"234",-6705.749
"235",-6781.112
"236",-6797.678
"237",-6774.411
"238",-6633.163
"239",-6530.72
"240",-6948.903
"241",-6768.977
"242",-6802.768
"243",-6725.377
"244",-6804.771
"245",-6774.917
"246",-6555.105
"247",-6714.55
"248",-6840.422
"249",-6613.63
"250",-6887.483
"251",-6768.106
"252",-6676.117
"253",-6467.036
"254",-6538.516
"255",-6573.809
"256",-6565.386
"257",-6889.904
"258",-6537.229
"259",-6709.072
"260",-6655.74
"261",-6800.461
"262",-6720.891
"263",-6554.393
"264",-6518.633
"265",-6817.083
"266",-7000.165
"267",-6471.493
"268",-6332.77
"269",-6886.064
"270",-6683.017
"271",-6563.236
"272",-6844.407
"273",-7107.006
"274",-6729.308
"275",-6292.448
"276",-6407.405
