"","x"
"1",-16522.811
"2",-16670.192
"3",-16633.684
"4",-16893.729
"5",-16967.959
"6",-17100.623
"7",-16523.35
"8",-17127.505
"9",-16628.259
"10",-16350.883
"11",-16918.588
"12",-16908.391
"13",-16824.115
"14",-16578.627
"15",-16839.83
"16",-16929.203
"17",-16728.056
"18",-16981.338
"19",-16955.225
"20",-16838.213
"21",-16722.11
"22",-17027.092
"23",-16504.155
"24",-16940.346
"25",-16964.338
"26",-16588.824
"27",-16541.41
"28",-17338.011
"29",-17411.328
"30",-16928.077
"31",-16693.322
"32",-16972.499
"33",-16731.059
"34",-16565.434
"35",-16583.768
"36",-16370.59
"37",-16840.789
"38",-16781.598
"39",-17056.461
"40",-16569.703
"41",-16592.569
"42",-17284.31
"43",-16600.15
"44",-16561.279
"45",-16801.312
"46",-16776.654
"47",-16552.593
"48",-16589.932
"49",-16594.669
"50",-17211.845
"51",-17543.806
"52",-16570.949
"53",-17291.763
"54",-16588.76
"55",-16504.184
"56",-17160.111
"57",-17085.349
"58",-16635.913
"59",-16622.822
"60",-16596.694
"61",-16522.484
"62",-16664.023
"63",-16856.952
"64",-16770.458
"65",-16736.113
"66",-16912.748
"67",-16992.611
"68",-17129.322
"69",-17037.45
"70",-17115.528
"71",-15953.872
"72",-17238.045
"73",-16836.498
"74",-16770.944
"75",-16427.726
"76",-17179.905
"77",-16394.609
"78",-16619.68
"79",-16571.046
"80",-16768.153
"81",-16888.36
"82",-16673.32
"83",-16848.721
"84",-17158.474
"85",-17116.331
"86",-16665.224
"87",-16710.123
"88",-16689.022
"89",-16841.641
"90",-16735.304
"91",-16986.057
"92",-16902.538
"93",-16923.837
"94",-16701.21
"95",-16798.005
"96",-16937.882
"97",-16754.304
"98",-16840.764
"99",-16383.883
"100",-16575.987
"101",-17002.279
"102",-16565.939
"103",-16986.341
"104",-16956.535
"105",-16900.938
"106",-17547.605
"107",-17185.706
"108",-17139.227
"109",-17091.043
"110",-17224.358
"111",-16663.518
"112",-16388.38
"113",-16714.161
"114",-16954.841
"115",-16612.843
"116",-16918.466
"117",-16930.417
"118",-16414.679
"119",-16988.196
"120",-16796.176
"121",-17035.009
"122",-17115.669
"123",-16151.313
"124",-16994.003
"125",-16200.505
"126",-16654.745
"127",-17038.529
"128",-17019.204
"129",-17230.203
"130",-16731.691
"131",-16858.805
"132",-17319.955
"133",-16649.064
"134",-17085.844
"135",-16644.513
"136",-16420.545
"137",-16795.5
"138",-17059.043
"139",-16993.692
"140",-16427.256
"141",-16921.159
"142",-16675.044
"143",-16632.621
"144",-16782.372
"145",-16575.192
"146",-16895.547
"147",-16987.353
"148",-16748.503
"149",-17040.871
"150",-16537.167
"151",-17021.306
"152",-17025.819
"153",-16645.18
"154",-16574.455
"155",-16501.377
"156",-16753.004
"157",-16835.771
"158",-16605.02
"159",-16596.726
"160",-16989.694
"161",-16926.007
"162",-16901.704
"163",-16879.197
"164",-16798.646
"165",-16781.609
"166",-16912.76
"167",-17141.426
"168",-16318.715
"169",-17025.982
"170",-16694.461
"171",-17182.323
"172",-16497.655
"173",-16780.76
"174",-17053.717
"175",-16593.338
"176",-16999.253
"177",-16718.466
"178",-17139.225
"179",-16536.223
"180",-16599.274
"181",-17135.14
"182",-16822.405
"183",-16881.633
"184",-16673.777
"185",-16792.724
"186",-16383.943
"187",-16537.513
"188",-17114.593
"189",-17029.831
"190",-16542.938
"191",-17142.922
"192",-16551.305
"193",-16817.712
"194",-17691.983
"195",-16843.137
"196",-16839.635
"197",-16875.372
"198",-16755.689
"199",-17153.937
"200",-16569.799
"201",-16226.274
"202",-16968.731
"203",-16819.243
"204",-16615.794
"205",-16653.428
"206",-16459.848
"207",-16680.206
"208",-17078.692
"209",-17077.195
"210",-16655.224
"211",-17064.093
"212",-16837.895
"213",-16635.087
"214",-17206.746
"215",-17265.245
"216",-17387.57
"217",-17145.351
"218",-16471.289
"219",-16801.932
"220",-17025.007
"221",-16895.675
"222",-16943.924
"223",-16662.741
"224",-16406.481
"225",-16535.402
"226",-16917.783
"227",-16613.78
"228",-17059.536
"229",-16786.926
"230",-16579.7
"231",-16384.419
"232",-17247.535
"233",-17134.484
"234",-16556.673
"235",-16963.054
"236",-16911.341
"237",-16736.454
"238",-16712.819
"239",-16520.409
"240",-16934.585
"241",-16988.365
"242",-16843.908
"243",-16810.105
"244",-16644.926
"245",-16900.406
"246",-16805.761
"247",-16581.211
"248",-16928.652
"249",-16710.251
"250",-16910.531
"251",-17045.865
"252",-16366.839
"253",-17111.467
"254",-16498.604
"255",-16847.977
"256",-16731.553
"257",-17013.446
"258",-16347.992
"259",-16616.028
"260",-17028.363
"261",-16803.632
"262",-16892.235
"263",-16648.365
"264",-16659.775
"265",-16935.785
"266",-16837.638
"267",-16890.525
"268",-16619.065
"269",-16937.85
"270",-17081.243
"271",-17116.975
"272",-16834.331
"273",-17243.573
"274",-16828.58
"275",-16635.78
"276",-16777.562
"277",-16662.819
"278",-16657.264
"279",-16908.796
"280",-17485.081
"281",-16787.233
"282",-16383.839
"283",-17230.119
"284",-16902.14
"285",-16693.607
"286",-16850.178
"287",-16856.77
"288",-17434.508
"289",-17056.517
"290",-16674.313
"291",-17090.538
"292",-16105.386
"293",-16902.487
"294",-16107.382
"295",-16888.101
"296",-17010.76
"297",-16642.921
"298",-16510.818
"299",-17058.628
"300",-16792.704
"301",-16922.975
"302",-16739.135
"303",-17459.041
"304",-16968.193
"305",-16977.139
"306",-16330.23
"307",-16804.212
"308",-17430.063
"309",-16768.113
"310",-16958.608
"311",-17051.515
"312",-16839.239
"313",-17269.024
"314",-17236.856
"315",-17139.642
"316",-17082.139
"317",-16650.806
"318",-16680.312
"319",-16659.615
"320",-16942.753
"321",-16841.679
"322",-16370.063
"323",-16371.639
"324",-17067.803
"325",-16517.797
"326",-16682.108
"327",-16851.558
"328",-16688.123
"329",-16592.276
"330",-16226.995
"331",-17235.26
"332",-16527.842
"333",-16359.42
"334",-17057.302
"335",-16911.811
"336",-16738.69
"337",-17041.272
"338",-17078.383
"339",-17410.199
"340",-16527.792
"341",-17131.902
"342",-16887.424
"343",-16676.775
"344",-16691.565
"345",-17062.237
"346",-16455.652
"347",-16815.334
"348",-17038.567
"349",-16964.735
"350",-16608.762
"351",-16959.403
"352",-16637.407
"353",-16867.809
"354",-16856.583
"355",-17312.71
"356",-17041.054
"357",-17243.892
"358",-16872.822
"359",-16614.95
"360",-17017.971
"361",-16965.173
"362",-16716.347
"363",-16602.293
"364",-17206.692
"365",-16787.198
"366",-17210.456
"367",-16779.432
"368",-16616.386
"369",-16958.886
"370",-16919.921
"371",-16428.11
"372",-16684.637
"373",-16822.286
"374",-17239.716
"375",-17178.49
"376",-16778.294
"377",-16673.086
"378",-17214.325
"379",-16653.39
"380",-17118.785
"381",-16544.148
"382",-16623.516
"383",-16462.216
"384",-16633.053
"385",-16744.398
"386",-16920.818
"387",-17112.37
"388",-16834.184
"389",-16467.438
"390",-16845.04
"391",-16234.44
"392",-16629.392
"393",-16730.629
"394",-16728.664
"395",-16623.335
"396",-16512.553
"397",-16326.476
"398",-17322.914
"399",-16818.971
"400",-17200.552
"401",-16588.625
"402",-17502.359
"403",-16705.855
"404",-16711.854
"405",-17016.532
"406",-16716.015
"407",-17009.057
"408",-16510.549
"409",-17070.85
"410",-16842.852
"411",-16824.912
"412",-17108.211
"413",-16887.693
"414",-17066.054
"415",-16450.259
"416",-16427.176
"417",-16767.458
"418",-17111.171
"419",-16667.206
"420",-17077.335
"421",-16913.754
"422",-16696.53
"423",-16715.367
"424",-17099.146
"425",-16655.659
"426",-17273.986
"427",-16640.357
"428",-16877.271
"429",-16647.932
"430",-17236.598
"431",-17251.953
"432",-17076.618
"433",-16643.856
"434",-17123.383
"435",-16719.779
"436",-16785.808
"437",-16662.025
"438",-16333.834
"439",-17075.256
"440",-16809.969
"441",-16570.677
"442",-17020.065
"443",-16988.281
"444",-16568.299
"445",-16431.668
"446",-17053.851
"447",-16398.348
"448",-17304.935
"449",-16848.661
"450",-16709.878
"451",-17035.457
"452",-16831.578
"453",-16489.275
"454",-16527.992
"455",-17273.07
"456",-16706.26
"457",-17100.964
"458",-16612.292
"459",-16678.812
"460",-16945.494
"461",-16870.163
"462",-16915.726
"463",-16772.575
"464",-16938.847
"465",-16738.635
"466",-17554.152
"467",-16755.809
"468",-16597.5
"469",-16364.378
"470",-17125.055
"471",-16613.927
"472",-16273.093
"473",-17172.153
"474",-16995.509
"475",-16850.103
"476",-16172.556
"477",-17168.962
"478",-17176.536
"479",-17216.385
"480",-16684.421
"481",-16727.165
"482",-16643.202
"483",-16926.98
"484",-16748.557
"485",-17138.34
"486",-17217.679
"487",-16705.783
"488",-16934.735
"489",-16785.362
"490",-16690.159
"491",-16599.993
"492",-16667.583
"493",-16595.497
"494",-17105.755
"495",-16742.839
"496",-16774.115
"497",-16651.862
"498",-16568.327
"499",-16594.879
"500",-16512.342
"501",-16731.091
"502",-16945.181
"503",-16631.806
"504",-17144.482
"505",-16873.662
"506",-16943.921
"507",-16472.695
"508",-16784.383
"509",-17322.064
"510",-16884.621
"511",-16736.403
"512",-16626.792
"513",-17196.433
"514",-16869.19
"515",-17033.622
"516",-16855.966
"517",-16910.853
"518",-16755.446
"519",-16574.588
"520",-16782.469
"521",-17221.865
"522",-16212.112
"523",-17108.82
"524",-16710.973
"525",-16540.629
"526",-16946.375
"527",-16982.455
"528",-16660.238
"529",-16883.181
"530",-17280.858
"531",-16850.44
"532",-16748
"533",-17052.363
"534",-16993.882
"535",-16617.139
"536",-16795.842
"537",-16784.773
"538",-17076.772
"539",-16364.613
"540",-17175.535
"541",-17537.851
"542",-16677.759
"543",-16805.402
"544",-16643.421
"545",-16575.748
"546",-16708.467
"547",-17279.057
"548",-16690.407
"549",-17140.696
"550",-16763.873
"551",-16538.16
"552",-16983.055
"553",-17028.523
"554",-17107.466
"555",-17112.177
"556",-17102.26
"557",-16955.465
"558",-16633.568
"559",-16422.707
"560",-17103.181
"561",-16733.479
"562",-17123.373
"563",-16877.246
"564",-17080.401
"565",-16644.237
"566",-17079.839
"567",-16773.538
"568",-16808.217
"569",-16848.748
"570",-16281.577
"571",-16619.044
"572",-17304.543
"573",-16887.37
"574",-17255.557
"575",-17097.92
"576",-16822.059
"577",-17002.183
"578",-16603.453
"579",-16601.218
"580",-16928.541
"581",-16614.582
"582",-16989.36
"583",-17178.472
"584",-16939.393
"585",-17199.998
"586",-16620.261
"587",-16222.44
"588",-17030.985
"589",-16501.075
"590",-17165.055
"591",-16648.57
"592",-16769.999
"593",-16721.329
"594",-16644.378
"595",-17442.939
"596",-16730.051
"597",-16643.712
"598",-16569.812
"599",-16887.565
"600",-16672.491
"601",-17059.608
"602",-16529.896
"603",-16944.526
"604",-16849.034
"605",-16550.689
"606",-16878.446
"607",-17094.384
"608",-16853.435
"609",-16327.56
"610",-17084.847
"611",-16434.119
"612",-16830.047
"613",-16689.608
"614",-16497.021
"615",-16628.954
"616",-16788.646
"617",-16726.637
"618",-16684.34
"619",-16811.233
"620",-16682.019
"621",-16102.729
"622",-16464.147
"623",-17013.445
"624",-16802.034
"625",-16858.421
"626",-16767.475
"627",-16639.251
"628",-17218.409
"629",-17272.161
"630",-16946.748
"631",-16980.524
"632",-16520.418
"633",-16978.621
"634",-16508.427
"635",-16957.243
"636",-16921.21
"637",-16699.972
"638",-16896.195
"639",-16818.6
"640",-16837.595
"641",-17102.539
"642",-16539.316
"643",-16820.52
"644",-16662.762
"645",-16632.792
"646",-17029.993
"647",-17390.008
"648",-17215.697
"649",-16795.245
"650",-17074.328
"651",-16621.408
"652",-17128.997
"653",-16814.173
"654",-16460.549
"655",-16376.648
"656",-16728.355
"657",-16840.824
"658",-17233.483
"659",-16671.756
"660",-17041.285
"661",-17066.012
"662",-16969.094
"663",-16446.63
"664",-17004.304
"665",-16730.489
"666",-16771.51
"667",-16563.448
"668",-16688.919
"669",-16841.623
"670",-16604.323
"671",-16817.626
"672",-16391.568
"673",-16768.42
"674",-17248.264
"675",-16677.868
"676",-16911.884
"677",-16825.485
"678",-16813.038
"679",-17193.517
"680",-17173.038
"681",-16434.265
"682",-16431.319
"683",-16658.073
"684",-16436.426
"685",-17299.374
"686",-16977.763
"687",-16992.606
"688",-16492.382
"689",-16801.417
"690",-17185.667
"691",-16926.301
"692",-16710.3
"693",-16891.684
"694",-17068.486
"695",-17145.336
"696",-16951.217
"697",-17213.892
"698",-17004.656
"699",-16671.835
"700",-16569.275
"701",-17088.258
"702",-16968.67
"703",-17116.391
"704",-17132.195
"705",-16558.739
"706",-16667.61
"707",-16368.103
"708",-16609.982
"709",-16477.743
"710",-16560.123
"711",-16663.326
"712",-17131.782
"713",-16839.418
"714",-17389.435
"715",-16602.184
"716",-16545.772
"717",-16952.261
"718",-16751.289
"719",-16955.501
"720",-17139.719
"721",-16940.924
"722",-17260.134
"723",-17198.372
"724",-16780.411
"725",-17181.064
"726",-17361.11
"727",-16643.328
"728",-16716.614
"729",-17239.839
"730",-16933.219
"731",-16957.202
"732",-17083.612
"733",-16526.146
"734",-16752.726
"735",-17025.08
"736",-17192.544
"737",-17212.168
"738",-16911.663
"739",-16700.938
"740",-16652.257
"741",-16990.575
"742",-16535.179
"743",-16939.276
"744",-16845.984
"745",-16731.08
"746",-16897.781
"747",-16849.658
"748",-16721.036
"749",-16821.317
"750",-16607.513
"751",-16487.345
"752",-17027.16
"753",-16780.252
"754",-16891.565
"755",-16897.848
"756",-16706.061
"757",-17208.852
"758",-16249.583
"759",-17132.019
"760",-16659.165
"761",-16877.972
"762",-16884.773
"763",-16627.134
