"","x"
"1",-16808.357
"2",-16522.091
"3",-16650.47
"4",-16643.917
"5",-16920.144
"6",-16967.61
"7",-16630.624
"8",-16783.693
"9",-16760.961
"10",-16756.431
"11",-16950.241
"12",-16132.542
"13",-16320.213
"14",-16496.66
"15",-17436.427
"16",-16583.671
"17",-16494.606
"18",-16981.276
"19",-16698.493
"20",-17430.732
"21",-16673.438
"22",-16560.888
"23",-16650.387
"24",-16234.631
"25",-16659.81
"26",-16657.212
"27",-17029.251
"28",-16936.898
"29",-16733.011
"30",-16604.969
"31",-16798.743
"32",-17062.533
"33",-17548.384
"34",-16404.917
"35",-16388.345
"36",-16647.117
"37",-16573.894
"38",-16828.055
"39",-16442.723
"40",-16454.801
"41",-17300.28
"42",-17056.968
"43",-16690.353
"44",-16580.317
"45",-16392.614
"46",-16513.085
"47",-16663.686
"48",-16924.117
"49",-17130.622
"50",-16780.933
"51",-16657.243
"52",-16443.864
"53",-16873.688
"54",-16465.564
"55",-16967.725
"56",-16397.928
"57",-16880.497
"58",-16259.475
"59",-16754.567
"60",-16736.384
"61",-16575.28
"62",-17202.133
"63",-16582.402
"64",-17092.685
"65",-16764.451
"66",-17024.567
"67",-16270.007
"68",-16580.279
"69",-16939.927
"70",-16067.013
"71",-16860.549
"72",-17030.9
"73",-16755.845
"74",-16833.776
"75",-16705.022
"76",-16750.772
"77",-16876.82
"78",-16619.84
"79",-16913.189
"80",-16518.662
"81",-16659.57
"82",-16375.179
"83",-16913.937
"84",-17084.746
"85",-17082.829
"86",-16574.677
"87",-16626.469
"88",-16506.006
"89",-15995.769
"90",-17008.685
"91",-16794.105
"92",-16952.427
"93",-16798.074
"94",-17285.469
"95",-16939.115
"96",-17032.49
"97",-16643.316
"98",-16506.79
"99",-16430.64
"100",-16601.521
"101",-16453.223
"102",-16751.869
"103",-16773.217
"104",-16251.906
"105",-16929.201
"106",-16713.619
"107",-16818.407
"108",-16823.813
"109",-17055.887
"110",-16778.404
"111",-17494.227
"112",-16488.826
"113",-16820.067
"114",-16589.766
"115",-16363.236
"116",-16990.903
"117",-16773.885
"118",-16572.041
"119",-17208.695
"120",-16915.684
"121",-16820.9
"122",-16773.932
"123",-16470.144
"124",-16986.177
"125",-16729.409
"126",-17125.441
"127",-16553.029
"128",-16660.952
"129",-16915.597
"130",-16791.452
"131",-17038.515
"132",-16165.617
"133",-16564.183
"134",-16660.532
"135",-16985.65
"136",-16692.634
"137",-16804.222
"138",-17088.371
"139",-16555.959
"140",-16532.71
"141",-16937.152
"142",-16770.495
"143",-16559.576
"144",-16613.314
"145",-16983.082
"146",-16691.035
"147",-16795.187
"148",-16992.158
"149",-16944.019
"150",-16998.778
"151",-16584.382
"152",-16949.56
"153",-16902.94
"154",-16755.868
"155",-16672.788
"156",-17275.504
"157",-16937.926
"158",-16963.942
"159",-17127.137
"160",-16943.621
"161",-16601.834
"162",-16781.381
"163",-16931.562
"164",-16827.049
"165",-16397.36
"166",-16615.783
"167",-17165.29
"168",-16550.061
"169",-17041.586
"170",-16734.08
"171",-16849.271
"172",-16660.115
"173",-16858.759
"174",-16850.69
"175",-16275.909
"176",-16708.193
"177",-17243.232
"178",-16430.052
"179",-17146.656
"180",-16640.355
"181",-16687.012
"182",-16779.467
"183",-16579.039
"184",-16846.739
"185",-17188.883
"186",-17054.459
"187",-16972.523
"188",-16751.402
"189",-16706.161
"190",-17008.262
"191",-16731.893
"192",-16650.48
"193",-17013.909
"194",-16812.339
"195",-17316.454
"196",-17072.05
"197",-16977.077
"198",-16999.652
"199",-16818.233
"200",-16472.979
"201",-16828.047
"202",-16750.826
"203",-17101.813
"204",-16959.232
"205",-17119.625
"206",-16858.893
"207",-17054.911
"208",-16830.846
"209",-17109.178
"210",-16215.922
"211",-17188.638
"212",-16703.872
"213",-16757.484
"214",-17126.859
"215",-16761.204
"216",-17011.475
"217",-17074.894
"218",-16561.569
"219",-16908.563
"220",-16662.799
"221",-16407.001
"222",-17046.553
"223",-16669.791
"224",-17105.609
"225",-17023.272
"226",-17167.871
"227",-16553.58
"228",-16640.409
"229",-16538.962
"230",-16815.83
"231",-16963.651
"232",-16909.975
"233",-16812.134
"234",-16269.3
"235",-17093.597
"236",-16700.444
"237",-17125.318
"238",-17030.503
"239",-16601.373
"240",-16731.495
"241",-16715.896
"242",-16659.815
"243",-16702.882
"244",-16743.458
"245",-17191.988
"246",-16727.877
"247",-16458.058
"248",-16838.953
"249",-16843.835
"250",-16867.627
"251",-16705.516
"252",-16732.082
"253",-16384.53
"254",-16490.368
"255",-16486.728
"256",-16246.984
"257",-16773.88
"258",-16911.524
