"","x"
"1",-17143.692
"2",-16643.678
"3",-16221.872
"4",-16696.368
"5",-16327.083
"6",-16557.351
"7",-17027.298
"8",-17059.326
"9",-16443.307
"10",-17044.98
"11",-16616.86
"12",-16591.936
"13",-16433.947
"14",-16562.056
"15",-16876.857
"16",-16760.857
"17",-16936.853
"18",-16798.886
"19",-16180.284
"20",-16891.242
"21",-16829.533
"22",-16921.924
"23",-16610.116
"24",-17070.342
"25",-16923.78
"26",-16673.991
"27",-16946.65
"28",-16171.256
"29",-17065.154
"30",-17642.529
"31",-16953.681
"32",-16836.6
"33",-16768.949
"34",-16579.257
"35",-17399.032
"36",-16890.042
"37",-17080.899
"38",-16581.412
"39",-16354.119
"40",-16267.221
"41",-17299.332
"42",-16982.038
"43",-16540.802
"44",-16749.215
"45",-17055.85
"46",-17618.639
"47",-16794.749
"48",-16372.205
"49",-16750.778
"50",-16894.556
"51",-16976.62
"52",-17170.504
"53",-16858.942
"54",-16625.995
"55",-17021.55
"56",-17004.576
"57",-17166.907
"58",-16658.463
"59",-17023.88
"60",-16155.11
"61",-16847.375
"62",-17076.399
"63",-16808.854
"64",-16372.801
"65",-16688.222
"66",-16583.16
"67",-16867.696
"68",-17359.875
"69",-16352.293
"70",-17086.972
"71",-17058.263
"72",-16745.9
"73",-16674.829
"74",-17222.856
"75",-16333.023
"76",-16812.361
"77",-17303.661
"78",-17033.246
"79",-17045.731
"80",-16864.094
"81",-16419.012
"82",-16891.636
"83",-16409.859
"84",-16511.221
"85",-16923.104
"86",-16741.956
"87",-16606.793
"88",-16753.014
"89",-16870.184
"90",-16840.633
"91",-16559.552
"92",-16562.026
"93",-17003.169
"94",-17141.876
"95",-16676.119
"96",-16903.481
"97",-16666.238
"98",-16934.117
"99",-16718.409
"100",-17012.033
"101",-16767.885
"102",-16890.979
"103",-16439.694
"104",-16549.42
"105",-16839.455
"106",-16450.616
"107",-16695.742
"108",-16630.271
"109",-16838.657
"110",-16854.087
"111",-15915.35
"112",-16955.087
"113",-16571.111
"114",-16711.524
"115",-16654.123
"116",-16558.631
"117",-17183.244
"118",-16649.513
"119",-16800.929
"120",-16734.343
"121",-17247.67
"122",-16526.469
"123",-17071.283
"124",-16641.553
"125",-17406.814
"126",-16822.027
"127",-16647.842
"128",-17428.865
"129",-16569.301
"130",-16896.501
"131",-16949.564
"132",-17096.305
"133",-16539.249
"134",-16937.197
"135",-16573.79
"136",-16636.223
"137",-16708.373
"138",-16651.814
"139",-17084.784
"140",-16930.366
"141",-17242.727
"142",-17025.622
"143",-16644.499
"144",-16846.717
"145",-16723.818
"146",-16550.201
"147",-17380.995
"148",-16947.069
"149",-16584.713
"150",-16713.197
"151",-16520.55
"152",-16695.059
"153",-16926.902
"154",-17249.967
"155",-16843.986
"156",-16794.264
"157",-16819.037
"158",-16585.863
"159",-17094.737
"160",-16452.947
"161",-16348.89
"162",-16988.345
"163",-16899.892
"164",-16380.812
"165",-16714.864
"166",-16989.411
"167",-16815.439
"168",-16979.725
"169",-16796.873
"170",-16964.901
"171",-17036.245
"172",-16519.39
"173",-16247.043
"174",-17134.757
"175",-17233.416
"176",-16554.652
"177",-17072.089
"178",-16953.689
"179",-16885.012
"180",-16795.584
"181",-16517.936
"182",-16617.813
"183",-16474.853
"184",-16873.025
"185",-16555.817
"186",-16683.616
"187",-16361.03
"188",-16716.311
"189",-16862.673
"190",-16636.585
"191",-17173.232
"192",-16431.087
"193",-17278.997
"194",-17014.471
"195",-16842.342
"196",-16492.319
"197",-17054.773
"198",-16161.546
"199",-16787.854
"200",-16196.232
"201",-16516.311
"202",-16529.201
"203",-16442.609
"204",-16717.175
"205",-16982.235
"206",-16354.132
"207",-16533.578
"208",-17118.002
"209",-16993.124
"210",-17107.925
"211",-16961.125
"212",-17255.806
"213",-16709.414
"214",-16959.382
"215",-17008.031
"216",-16570.389
"217",-16983.881
"218",-16744.756
"219",-16752.216
"220",-16603.015
"221",-16581.544
"222",-17059.569
"223",-16859.688
"224",-16960.217
"225",-16616.756
"226",-16113.677
"227",-16876.038
"228",-16892.165
"229",-16621.777
"230",-17816.574
"231",-17421.94
"232",-16600.837
"233",-16894.398
"234",-16524.312
"235",-16910.045
"236",-16128.018
"237",-16502.48
"238",-16717.114
"239",-16215.095
"240",-16905.907
"241",-16730.307
"242",-17433.217
"243",-16985.483
"244",-16800.224
"245",-16208.588
"246",-16355.24
"247",-17134.112
"248",-16762.145
"249",-16730.977
"250",-16789.996
"251",-17002.495
"252",-17339.016
"253",-16855.167
"254",-16994.299
"255",-16436.04
"256",-16848.525
"257",-16698.766
"258",-17001.324
"259",-16440.13
"260",-16812.851
"261",-16726.907
"262",-16656.039
"263",-16899.476
"264",-16734.415
"265",-17209.655
"266",-17040.897
"267",-16729.039
"268",-16405.712
"269",-16740.432
"270",-16839.773
"271",-17061.673
"272",-17015.109
"273",-17085.126
"274",-16323.528
"275",-17052.85
"276",-16438.348
"277",-16900.573
"278",-16980.736
"279",-16627.076
"280",-16786.749
"281",-16539.96
"282",-16106.804
"283",-17082.476
"284",-16878.153
"285",-16555.908
"286",-16693.045
"287",-17049.3
"288",-17155.348
"289",-16694.413
"290",-16557.421
"291",-16538.332
"292",-16550.28
"293",-17188.575
"294",-16734.008
"295",-16798.669
"296",-17035.663
"297",-16772.986
"298",-16806.786
"299",-17347.893
"300",-16759.971
"301",-16773.8
"302",-16689.731
"303",-16956.288
"304",-16550.513
"305",-16810.995
"306",-16535.839
"307",-16747.018
"308",-16796.759
"309",-16584.153
"310",-16972.598
"311",-16723.944
"312",-16786.299
"313",-16656.523
"314",-16865.552
"315",-17133.958
"316",-16615.468
"317",-16733.636
"318",-16946.599
"319",-16934.041
"320",-16833.922
"321",-16990.739
"322",-17284.069
"323",-16616.148
"324",-16498.184
"325",-16712.243
"326",-16565.179
"327",-16787.436
"328",-16786.822
"329",-17042.404
"330",-16701.491
"331",-16727.486
"332",-16849.57
"333",-17044.447
"334",-17237.757
"335",-17039
"336",-16787.119
"337",-16651.712
"338",-16783.247
"339",-16217.788
"340",-16725.621
"341",-17124.997
"342",-16604.796
"343",-16563.608
"344",-16862.973
"345",-16427.546
"346",-17434.025
"347",-16981.549
"348",-16361.974
"349",-16670.86
"350",-16844.344
"351",-16855.885
"352",-17071.894
"353",-16479.738
"354",-16462.276
"355",-17209.203
"356",-16957.038
"357",-16822.797
"358",-16981.296
"359",-16862.691
"360",-16679.636
"361",-16405.264
"362",-16861.059
"363",-17032.087
"364",-17012.863
"365",-16883.307
"366",-16497.814
"367",-16443.34
"368",-16456.251
"369",-16736.656
"370",-16591.433
"371",-16474.369
"372",-16817.528
"373",-16922.869
"374",-16471.974
"375",-16697.711
"376",-17171.634
"377",-17313.489
"378",-16770.999
"379",-16797.636
"380",-17164.225
"381",-16680.889
"382",-16816.963
"383",-16649.793
"384",-16768.613
"385",-16642.011
"386",-16478.728
"387",-16651.794
"388",-16751.514
"389",-16373.383
"390",-16865.308
"391",-17072.453
"392",-16705.793
"393",-17299.928
"394",-16606.131
"395",-17335.584
"396",-16519.102
"397",-16648.05
"398",-16444.962
"399",-16871.898
"400",-17025.589
"401",-17190.681
"402",-16530.645
"403",-16673.403
"404",-17177.743
"405",-16956.235
"406",-16490.92
"407",-16681.985
"408",-16792.452
"409",-16669.825
"410",-16802.135
"411",-16483.959
"412",-16695.767
"413",-16704.658
"414",-16731.6
"415",-16944.212
"416",-17215.713
"417",-16614.725
"418",-17216.23
"419",-16932.187
"420",-16766.142
"421",-16770.947
"422",-16933.234
"423",-16589.682
"424",-17252.509
"425",-16697.013
"426",-16988.401
"427",-16839.601
"428",-17100.971
"429",-16587.471
"430",-16945.744
"431",-17063.628
"432",-16675.046
"433",-16756.256
"434",-17552.816
"435",-17132.385
"436",-16368.497
"437",-16738.882
"438",-16601.866
"439",-17056.254
"440",-17358.292
"441",-17393.588
"442",-16590.958
"443",-16876.896
"444",-16990.285
"445",-16822.471
"446",-16494.904
"447",-16857.311
"448",-16611.288
"449",-16376.281
"450",-16723.282
"451",-17051.004
"452",-16962.217
"453",-16566.65
"454",-16899.017
"455",-16947.735
"456",-16627.655
"457",-17150.533
"458",-16608.503
"459",-16809.794
"460",-16807.751
"461",-16841.67
"462",-16682.96
"463",-16784.554
"464",-16803.745
"465",-16646.515
"466",-16979.312
"467",-16986.066
"468",-16642.171
"469",-16335.017
"470",-16872.108
"471",-17424.75
"472",-16423.103
"473",-16733.833
"474",-16755.175
"475",-16674.202
"476",-16277.085
"477",-16889.012
"478",-16740.797
"479",-17067.398
"480",-16682.22
"481",-17003.125
"482",-16990.304
"483",-16803.217
"484",-16733.709
"485",-16723.685
"486",-16845.618
"487",-16537.822
"488",-16973.072
"489",-16897.142
"490",-17091.641
"491",-17236.851
"492",-17103.636
"493",-17013.792
"494",-16775.775
"495",-16309.26
"496",-16820.389
"497",-16533.066
"498",-16969.847
"499",-16870.901
"500",-16980.869
"501",-17355.419
"502",-17223.415
"503",-16526.719
"504",-16797.53
"505",-16509.738
"506",-16736.952
"507",-16890.896
"508",-17038.715
"509",-17579.057
"510",-17229.34
"511",-17520.8
"512",-16693.925
"513",-17299.623
"514",-16398.286
"515",-16922.41
"516",-17100.174
"517",-16665.092
"518",-16615.438
"519",-16794.283
"520",-16863.715
"521",-16726.137
"522",-16518.762
"523",-16634.403
"524",-16928.623
"525",-16221.394
"526",-16876.533
"527",-16955.941
"528",-16738.631
"529",-17310.975
"530",-16676.645
"531",-16787.29
"532",-16917.681
"533",-16873.87
"534",-16607.34
"535",-16985.011
"536",-17199.047
"537",-16834.76
"538",-17422.373
"539",-16653.09
"540",-17151.486
"541",-16935.368
"542",-17254.558
"543",-16871.793
"544",-17190.625
"545",-16961.871
"546",-16700.423
"547",-16522.652
"548",-17275.055
"549",-16627.974
"550",-16833.634
"551",-17272.138
"552",-17308.382
"553",-16831.063
"554",-17323.16
"555",-16761.584
"556",-16887.976
"557",-16648.366
"558",-16575.087
"559",-16500.325
"560",-16793.593
"561",-16143.21
"562",-17015.483
"563",-16921.843
"564",-16220.591
"565",-17083.434
"566",-17023.409
"567",-16763.094
"568",-17600.364
"569",-16594.28
"570",-16423.584
"571",-17277.678
"572",-16931.959
"573",-16450.365
"574",-16811.495
"575",-16403.111
"576",-16820.53
"577",-16559.333
"578",-16604.566
"579",-16837.2
"580",-16643.828
"581",-16763.176
"582",-17145.89
"583",-16681.463
"584",-16718.334
"585",-16487.948
"586",-16285.472
"587",-16548.256
"588",-17005.208
"589",-16612.606
"590",-16586.543
"591",-16376.046
"592",-17103.349
"593",-16354.927
"594",-16618.5
"595",-17172.443
"596",-17270.985
"597",-16403.809
"598",-16321.372
"599",-17024.258
"600",-16674.208
"601",-17185.165
"602",-16546.153
"603",-16654.038
"604",-16563.283
"605",-17040.076
"606",-17016.918
"607",-16771.516
"608",-17003.357
"609",-17121.002
"610",-17092.765
"611",-17351.68
"612",-16596.652
"613",-16824.793
"614",-16915.257
"615",-16968.199
"616",-16610.709
"617",-16624.475
"618",-17111.549
"619",-16981.468
"620",-16428.118
"621",-16723.194
"622",-16791.972
"623",-16938.776
"624",-16867.052
"625",-17210.271
