"","x"
"1",-17192.117
"2",-16794.235
"3",-17005.217
"4",-16888.425
"5",-16742.557
"6",-17147.863
"7",-16548.778
"8",-17039.375
"9",-16704.059
"10",-16696.025
"11",-16253.71
"12",-17011.196
"13",-16964.48
"14",-16494.299
"15",-17323.1
"16",-17293.96
"17",-16376.756
"18",-16612.035
"19",-16694.087
"20",-16490.07
"21",-16471.151
"22",-16511.898
"23",-16964.313
"24",-16613.462
"25",-16449.008
"26",-16814.492
"27",-16426.511
"28",-16839.088
"29",-16860.489
"30",-16862.793
"31",-16591.345
"32",-16875.578
"33",-16683.022
"34",-16775.26
"35",-16622.794
"36",-16539.173
"37",-16420.907
"38",-16343.634
"39",-16403.442
"40",-17072.114
"41",-16853.714
"42",-16520.384
"43",-16417.747
"44",-16871.455
"45",-16817.949
"46",-16980.795
"47",-17098.37
"48",-16445.981
"49",-16978.348
"50",-16851.132
"51",-16687.069
"52",-17109.202
"53",-16274.984
"54",-16966.136
"55",-16063.442
"56",-16935.087
"57",-16522.486
"58",-17151.904
"59",-17383.397
"60",-16853.485
"61",-16549.577
"62",-17457.123
"63",-16660.042
"64",-16972.108
"65",-16286.867
"66",-17025.092
"67",-16711.767
"68",-16749.136
"69",-16477.593
"70",-16691.952
"71",-16748.646
"72",-16811.17
"73",-16264.414
"74",-16554.055
"75",-16630.347
"76",-16659.416
"77",-16339.032
"78",-16969.109
"79",-16771.858
"80",-17433.848
"81",-17286.623
"82",-16453.882
"83",-16868.865
"84",-16832.293
"85",-16939.581
"86",-16376.255
"87",-16717.775
"88",-16438.711
"89",-16866.256
"90",-16998.337
"91",-16343.521
"92",-16691.594
"93",-16391.01
"94",-17087.148
"95",-16662.018
"96",-17326.296
"97",-17122.415
"98",-17103.205
"99",-16610.177
"100",-16839.602
"101",-16715.642
"102",-16896.574
"103",-17078.275
"104",-16520.119
"105",-16752.984
"106",-16883.037
"107",-16813.268
"108",-16585.16
"109",-16432.003
"110",-17200.042
"111",-16597.542
"112",-16974.99
"113",-16441.403
"114",-16782.416
"115",-16751.362
"116",-16620.637
"117",-16713.767
"118",-16355.609
"119",-17109.991
"120",-16741.328
"121",-16443.413
"122",-16949.505
"123",-17209.13
"124",-16791.516
"125",-16864.117
"126",-16764.454
"127",-17102.661
"128",-16633.565
"129",-17006.023
"130",-16758.777
"131",-17172.755
"132",-16980.278
"133",-16808.565
"134",-16547.596
"135",-16597.843
"136",-16765.697
"137",-16751.354
"138",-16581.833
"139",-16510.431
"140",-16581.096
"141",-17277.43
"142",-16914.614
"143",-16642.982
"144",-16941.792
"145",-16395.331
"146",-16640.206
"147",-16982.105
"148",-16560.472
"149",-16462.591
"150",-17178.461
"151",-17023.094
"152",-16776.797
"153",-16597.041
"154",-16906.405
"155",-16656.723
"156",-17548.193
"157",-16828.289
"158",-17033.925
"159",-17052.839
"160",-16789.282
"161",-16822.678
"162",-16604.946
"163",-17180.805
"164",-16788.477
"165",-17262.843
"166",-16601.772
"167",-16569.787
"168",-16944.423
"169",-16597.425
"170",-17367.4
"171",-17028.578
"172",-17117.625
"173",-17169.696
"174",-16824.573
"175",-16578.967
"176",-16769.655
"177",-16854.408
"178",-16808.478
"179",-16862.583
"180",-17379.111
"181",-16765.845
"182",-16569.287
"183",-16577.203
"184",-16981.231
"185",-16670.551
"186",-16815.101
"187",-17011.463
"188",-16951.875
"189",-16574.584
"190",-16797.058
"191",-16599.218
"192",-17148.356
"193",-16491.978
"194",-16828.527
"195",-16357.85
"196",-17095.323
"197",-16597.638
"198",-16324.358
"199",-16636.685
"200",-16513.046
"201",-16791.726
"202",-16598.398
"203",-16815.192
"204",-17002.239
"205",-16782.979
"206",-17337.428
"207",-16470.799
"208",-17048.034
"209",-16741.93
"210",-16360.429
"211",-16875.51
"212",-16895.538
"213",-16745.004
"214",-17072.983
"215",-16704.679
"216",-17064.991
"217",-16500.928
"218",-17081.186
"219",-16903.246
"220",-16876.19
"221",-16628.056
"222",-16719.109
"223",-16561.45
"224",-16601.542
"225",-16549.016
"226",-17175.369
"227",-16724.611
"228",-16473.077
"229",-17198.764
"230",-16933.158
"231",-16687.598
"232",-16892.993
"233",-16871.691
"234",-16735.372
"235",-16792.811
"236",-17295.685
"237",-16516.837
"238",-16749.047
"239",-17212.942
"240",-16701.421
"241",-16345.079
"242",-16910.513
"243",-16840.929
"244",-17149.331
"245",-16733.984
"246",-17214.887
"247",-16703.742
"248",-16548.91
"249",-16749.523
"250",-17494.991
"251",-16769.673
"252",-16872.377
"253",-16385.216
"254",-17013.9
"255",-16511.048
"256",-17147.577
"257",-16633.832
"258",-16779.707
"259",-17054.852
"260",-17046.829
"261",-17149.709
"262",-17561.709
"263",-16293.512
"264",-16901.423
"265",-17220.596
"266",-16756.173
"267",-17150.47
"268",-16851.036
"269",-16650.215
"270",-16848.161
"271",-16746.799
"272",-16524.061
"273",-16364.919
