"","x"
"1",-8821.916
"2",-8676.905
"3",-9220.978
"4",-9069.162
"5",-8709.814
"6",-8876.377
"7",-9034.692
"8",-8798.389
"9",-8846.527
"10",-8853.24
"11",-8792.533
"12",-8928.614
"13",-8945.851
"14",-8791.349
"15",-8723.145
"16",-8916.003
"17",-8927.335
"18",-8888.429
"19",-9038.24
"20",-9267.693
"21",-8939.884
"22",-9035.2
"23",-8650.891
"24",-8886.093
"25",-8736.659
"26",-8656.584
"27",-9111.958
"28",-8730.018
"29",-8901.898
"30",-8875.259
"31",-8676.981
"32",-8884.927
"33",-8847.91
"34",-8802.639
"35",-8967.173
"36",-8783.883
"37",-8938.439
"38",-9319.273
"39",-9087.903
"40",-8765.443
"41",-8815.182
"42",-8839.896
"43",-8857.932
"44",-8805.817
"45",-9024.467
"46",-8966.784
"47",-9037.199
"48",-8903.54
"49",-8711.33
"50",-8868.938
"51",-9046.833
"52",-8576.111
"53",-8991.162
"54",-9051.093
"55",-8994.777
"56",-9026.869
"57",-8793.183
"58",-8951.499
"59",-8777.868
"60",-8829.481
"61",-8705.521
"62",-9131.842
"63",-9117.432
"64",-9213.929
"65",-8756.727
"66",-8859.288
"67",-8625.866
"68",-8781.996
"69",-9001.308
"70",-9031.27
"71",-8844.825
"72",-9157.654
"73",-9049.97
"74",-8848.838
"75",-8984.01
"76",-8917.899
"77",-8806.148
"78",-9093.694
"79",-8957.272
"80",-8842.072
"81",-9044.013
"82",-8826.168
"83",-8900.077
"84",-8865.671
"85",-8908.459
"86",-8694.214
"87",-8888.832
"88",-8942.954
"89",-8632.58
"90",-8968.633
"91",-8958.957
"92",-8947.207
"93",-8691.104
"94",-8948.514
"95",-8960.054
"96",-8874.648
"97",-8978.165
"98",-9104.815
"99",-9002.622
"100",-8673.885
"101",-9116.11
"102",-9093.075
"103",-9137.963
"104",-9122.933
"105",-8665.628
"106",-8953.37
"107",-9029.375
"108",-8828.441
"109",-8906.918
"110",-8886.33
"111",-8793.29
"112",-8934.5
"113",-8775.76
"114",-8906.532
"115",-8593.981
"116",-8941.881
"117",-8764.906
"118",-8960.435
"119",-8873.697
"120",-8946.194
"121",-8968.993
"122",-8787.208
"123",-8795.123
"124",-9032.03
"125",-8904.372
"126",-8994.525
"127",-8580.705
"128",-8753.146
"129",-8971.4
"130",-8747.105
"131",-9089.297
"132",-8805.816
"133",-8842.994
"134",-8954.852
"135",-8941.199
"136",-8764.516
"137",-9015.975
"138",-9117.244
"139",-9116.687
"140",-9063.599
"141",-8960.976
"142",-8956.936
"143",-8880.001
"144",-9007.798
"145",-9254.871
"146",-8828.011
"147",-8827.27
"148",-8855.252
"149",-8956.687
"150",-9020.249
"151",-8786.497
"152",-9063.582
"153",-9092.654
"154",-8985.862
"155",-8994.095
"156",-8916.31
"157",-8867.503
"158",-8820.339
"159",-9186.854
"160",-8924.568
"161",-8811.147
"162",-9068.935
"163",-8887.226
"164",-8663.435
"165",-8976.574
"166",-9065.313
"167",-9023.44
"168",-8918.21
"169",-9259.007
"170",-8860.868
"171",-9019.243
"172",-8987.324
"173",-9268.018
"174",-8878.432
"175",-9133.08
"176",-8845.876
"177",-8974.896
"178",-9153.165
"179",-9069.428
"180",-9013.664
"181",-9208.963
"182",-9058.177
"183",-8886.296
"184",-9112.919
"185",-9017.882
"186",-9149.233
"187",-8960.079
"188",-9046.759
"189",-9063.735
