"","x"
"1",-8778.68
"2",-9039.696
"3",-8872.299
"4",-9084.312
"5",-9101.67
"6",-8589.398
"7",-8935.713
"8",-9004.274
"9",-9169.663
"10",-8958.683
"11",-8712.754
"12",-8919.97
"13",-9003.464
"14",-8784.695
"15",-8905.338
"16",-8824.522
"17",-8780.038
"18",-8967.361
"19",-8905.881
"20",-8805.094
"21",-8737.584
"22",-8786.731
"23",-8973.889
"24",-9002.85
"25",-9048.75
"26",-9124.324
"27",-8733.395
"28",-8956.241
"29",-8839.016
"30",-9005.242
"31",-8766.294
"32",-8755.888
"33",-9120.643
"34",-8912.416
"35",-8894.138
"36",-8843.975
"37",-9013.77
"38",-8919.968
"39",-9015.127
"40",-9018.873
"41",-9006.405
"42",-8979.183
"43",-9106.518
"44",-8970.956
"45",-8712.435
"46",-9086.878
"47",-8889.546
"48",-9101.129
"49",-8772.453
"50",-8630.124
"51",-8973.5
"52",-8995.791
"53",-8919.285
"54",-8971.008
"55",-8848.224
"56",-8844.268
"57",-8747.97
"58",-8839.144
"59",-8813.161
"60",-9043.29
"61",-8912.356
"62",-9046.837
"63",-9028.463
"64",-8595.42
"65",-8928.355
"66",-8978.987
"67",-8834.326
"68",-8770.819
"69",-8946.228
"70",-8987.281
"71",-9234.365
"72",-9150.738
"73",-8852.106
"74",-9313.008
"75",-9121.145
"76",-8896.252
"77",-8914.902
"78",-9094.278
"79",-9010.054
"80",-9117.004
"81",-9057.221
"82",-8933.046
"83",-9037.63
"84",-8642.833
"85",-9022.131
"86",-8896.989
"87",-8962.965
"88",-8947.522
"89",-9106.472
"90",-9062.622
"91",-8834.011
"92",-8917.346
"93",-8713.767
"94",-9194.061
"95",-8797.982
"96",-8889.494
"97",-8985.095
"98",-9027.194
"99",-8973.688
"100",-9109.062
"101",-9153.728
"102",-8802.53
"103",-8848.521
"104",-8941.43
"105",-8814.747
"106",-9069.866
"107",-8952.328
"108",-8930.779
"109",-8772.68
"110",-8890.371
"111",-9303.148
"112",-8790.149
"113",-8972.865
"114",-8697.732
"115",-8580.857
"116",-8849.534
"117",-9109.715
"118",-9133.797
"119",-9099.931
"120",-9125.826
"121",-8842.361
"122",-8791.737
"123",-8568.776
"124",-8855.738
"125",-8743.176
"126",-9060.002
"127",-8777.131
"128",-9005.402
"129",-8984.668
"130",-8889.171
"131",-9012.364
"132",-9025.74
"133",-9011.842
"134",-8947.348
"135",-8782.48
"136",-8734.045
"137",-8762.507
"138",-9048.878
"139",-8631.993
"140",-8866.416
"141",-8766.023
"142",-8966.454
"143",-8965.066
"144",-8907.544
"145",-9339.264
"146",-8862.917
"147",-8948.21
"148",-8822.375
"149",-8969.811
"150",-8921.071
"151",-8857.485
"152",-8771.836
"153",-9006.244
"154",-8914.564
"155",-8959.745
"156",-8932.736
"157",-8948.161
"158",-8775.053
"159",-8912.858
"160",-8939.533
"161",-8915.695
"162",-8965.015
"163",-8983.246
"164",-8966.753
"165",-9045.69
"166",-8973.246
"167",-8958.618
"168",-8795.153
"169",-8980.421
"170",-8799.274
"171",-8764.661
"172",-8886.279
"173",-8866.698
"174",-8988.213
"175",-8812.174
"176",-9317.987
"177",-8723.154
"178",-8803.629
"179",-8970.474
"180",-8926.295
"181",-9036.145
"182",-8893.755
"183",-8752.367
"184",-8907.401
"185",-8860.18
"186",-9124.236
"187",-8984.932
"188",-9202.067
"189",-9045.53
"190",-9010.433
"191",-8927.063
"192",-8788.66
"193",-8903.451
"194",-8959.401
"195",-8920.601
"196",-9001.71
"197",-8707.587
"198",-8921.516
"199",-8917.713
"200",-8777.795
"201",-8799.652
"202",-8682.771
"203",-8934.981
"204",-8832.365
"205",-9061.811
"206",-8707.209
"207",-8611.268
"208",-8874.868
"209",-8961.164
"210",-8894.495
"211",-8865.887
