"","x"
"1",-1693.337
"2",-1659.377
"3",-1807.64
"4",-1784.703
"5",-1737.918
"6",-1742.59
"7",-1807.206
"8",-1798.35
"9",-1783.464
"10",-1789.433
"11",-1837.243
"12",-1835.974
"13",-1758.809
"14",-1722.028
"15",-1808.233
"16",-1749.469
"17",-1717.835
"18",-1855.051
"19",-1802.769
"20",-1746.995
"21",-1784.971
"22",-1809.455
"23",-1841.053
"24",-1775.998
"25",-1801.674
"26",-1728.13
"27",-1663.342
"28",-1737.364
"29",-1716.408
"30",-1719.135
"31",-1754.497
"32",-1816.254
"33",-1713.336
"34",-1967.619
"35",-1854.815
"36",-1813.226
"37",-1735.679
"38",-1892.968
"39",-1773.134
"40",-1939.921
"41",-1813.45
"42",-1722.968
"43",-1790.025
"44",-1761.692
"45",-1854.489
"46",-1866.983
"47",-1691.32
"48",-1759.545
"49",-1578.297
"50",-1688.549
"51",-1815.056
"52",-1712.372
"53",-1764.586
"54",-1855.068
"55",-1702.1
"56",-1759.11
"57",-1631.215
"58",-1744.162
"59",-1761.271
"60",-1779.551
"61",-1888.984
"62",-1823.726
"63",-1874.629
"64",-1720.782
"65",-1846.529
"66",-1761.141
"67",-1892.857
"68",-1700.872
"69",-1738.167
"70",-1734.929
"71",-1821.461
"72",-1803.688
"73",-1928.22
"74",-1849.813
"75",-1836.183
"76",-1830.99
"77",-1665.988
"78",-1707.686
"79",-1746.858
"80",-1756.635
"81",-1840.754
"82",-1749.876
"83",-1836.1
"84",-1714.321
"85",-1776.246
"86",-1762.537
"87",-1747.031
"88",-1788.506
"89",-1753.053
"90",-1813.022
"91",-1741.343
"92",-1707.331
"93",-1859.879
"94",-1696.423
"95",-1727.807
"96",-1783.213
"97",-1836.131
"98",-1767.257
"99",-1718.053
"100",-1710.921
"101",-1831.975
"102",-1632.347
"103",-1719.366
"104",-1806.64
"105",-1757.228
"106",-1759.877
"107",-1801.533
"108",-1718.746
"109",-1719.426
"110",-1690.415
"111",-1900.137
"112",-1820.161
"113",-1783.036
"114",-1729.848
"115",-1838.336
"116",-1818.417
"117",-1643.448
"118",-1842.453
"119",-1875.408
"120",-1770.147
"121",-1773.973
"122",-1739.102
"123",-1759.838
"124",-1856.789
"125",-1868.662
"126",-1730.03
"127",-1836.59
"128",-1738.938
"129",-1785.191
"130",-1742.366
"131",-1711.529
"132",-1775.237
"133",-1800.853
"134",-1753.633
"135",-1767.046
"136",-1734.158
"137",-1745.075
"138",-1771.884
"139",-1735.79
