"","x"
"1",-8975.664
"2",-8606.822
"3",-9157.389
"4",-8823.942
"5",-8942.254
"6",-9116.246
"7",-8869.967
"8",-8991.196
"9",-8831.698
"10",-8858.857
"11",-8929.283
"12",-9015.715
"13",-9033.12
"14",-9064.257
"15",-9167.913
"16",-8938.744
"17",-8693.89
"18",-8929.644
"19",-8877.879
"20",-9063.384
"21",-9013.47
"22",-8870.779
"23",-8964.941
"24",-8713.146
"25",-9135.5
"26",-9043.174
"27",-8857.93
"28",-9060.961
"29",-8963.614
"30",-9029.149
"31",-9021.245
"32",-8936.454
"33",-9081.131
"34",-8799.704
"35",-9009.843
"36",-8757.37
"37",-9066.799
"38",-8713.027
"39",-8595.858
"40",-8858.817
"41",-9084.203
"42",-8839.784
"43",-8698.699
"44",-8609.842
"45",-8940.828
"46",-9014.953
"47",-8890.983
"48",-9065.839
"49",-8876.41
"50",-8828.908
"51",-8772.438
"52",-8881.435
"53",-9103.137
"54",-8849.469
"55",-8889.725
"56",-8859.002
"57",-8932.875
"58",-8846.034
"59",-9017.503
"60",-9056.922
"61",-9099.174
"62",-8808.843
"63",-8729.95
"64",-8883.35
"65",-8975.982
"66",-8826.056
"67",-9083.119
"68",-8726.452
"69",-9030.597
"70",-9073.776
"71",-8854.999
"72",-8780.514
"73",-9081.255
"74",-8772.223
"75",-9053.514
"76",-8919.839
"77",-8835.373
"78",-8759.582
"79",-8995.211
"80",-8764.211
"81",-8993.878
"82",-9120.712
"83",-8714.671
"84",-9116.116
"85",-8967.337
"86",-8744.106
"87",-8903.604
"88",-8927.61
"89",-9039.686
"90",-9200.18
"91",-8717.04
"92",-8710.396
"93",-8795.844
"94",-8981.567
"95",-8821.777
"96",-8971.382
"97",-8564.452
"98",-8897.03
"99",-8901.596
"100",-8896.883
"101",-9010.458
"102",-8861.142
"103",-8901.306
"104",-8895.923
"105",-8840.079
"106",-8973.763
"107",-8931.642
"108",-9034.657
"109",-9179.936
"110",-8941.196
"111",-8880.616
"112",-8582.863
"113",-9006.117
"114",-9058.842
"115",-8843.967
"116",-9098.539
"117",-9119.254
"118",-8672.235
"119",-8917.488
"120",-8998.514
"121",-8885.151
"122",-9030.12
"123",-8797.19
"124",-8947.058
"125",-9095.968
"126",-8610.338
"127",-8852.001
"128",-8904.777
"129",-8822.608
"130",-8677.369
"131",-8811.819
"132",-9008.563
"133",-8827.143
"134",-8829.176
"135",-8840.388
"136",-8808.514
"137",-8866.911
"138",-9161.162
"139",-8674.866
"140",-8894.624
"141",-8815.063
"142",-8948.78
"143",-8864.187
"144",-8785.454
"145",-8969.958
"146",-8886.329
"147",-8995.119
"148",-8858.646
"149",-8943.533
"150",-9270.024
"151",-8865.849
"152",-8867.889
"153",-8929.976
"154",-8961.661
"155",-8777.929
"156",-8958.667
"157",-8829.467
"158",-9133.988
"159",-8950.401
"160",-8913.465
"161",-8916.717
"162",-8916.033
"163",-8810.105
"164",-8887.053
"165",-8780.201
"166",-8850.215
"167",-9177.863
"168",-8812.973
"169",-8841.742
"170",-8835.033
"171",-9078.503
"172",-8633.847
"173",-8649.396
"174",-8656.25
"175",-8991.054
"176",-8833.875
"177",-9013.065
"178",-8775.996
"179",-9169.644
"180",-8942.676
"181",-8733.368
"182",-8941.109
"183",-9123.983
"184",-8924.187
"185",-8839.216
"186",-8741.109
"187",-9004.832
"188",-8674.526
"189",-8835.721
"190",-8712.774
"191",-8979.167
"192",-8874.635
"193",-8748.101
"194",-8760.175
"195",-9004.792
"196",-9039.807
"197",-8907.206
"198",-8836.348
"199",-8854.699
"200",-8814.96
"201",-8694.932
"202",-8784.375
"203",-9040.736
"204",-8801.472
"205",-8850.54
"206",-9030.307
"207",-9049.201
"208",-8572.563
"209",-8934.406
"210",-8923.26
"211",-8971.684
"212",-8960.538
"213",-8757.662
"214",-8887.633
"215",-8827.269
"216",-8898.076
"217",-8736.14
"218",-8919.209
"219",-8958.749
"220",-8844.447
"221",-8948.456
"222",-8990.826
"223",-9059.412
"224",-9113.769
"225",-8852.832
"226",-8947.109
"227",-8909.369
"228",-8993.695
"229",-9179.238
"230",-8958.088
"231",-9035.667
"232",-8907.705
"233",-8738.653
"234",-9023.48
"235",-8845.321
"236",-8906.432
"237",-8968.596
"238",-9138.327
"239",-9047.808
"240",-8956.968
"241",-8934.448
"242",-8967.769
"243",-8789.038
"244",-8817.951
"245",-9121.186
"246",-8913.395
"247",-8721.744
"248",-8685.079
"249",-8931.298
"250",-8905.651
"251",-8807.82
"252",-9036.578
"253",-8827.219
"254",-8760.917
"255",-9070.526
"256",-9031.032
"257",-8693.651
"258",-8723.128
"259",-8828.54
"260",-8726.233
"261",-8782.313
"262",-9056.013
"263",-8826.735
"264",-9057.154
"265",-8989.251
"266",-9075.227
"267",-8847.03
"268",-8855.718
"269",-9080.59
"270",-8782.52
"271",-8849.123
"272",-8695.724
"273",-8697.007
"274",-8984.228
"275",-8789.275
"276",-8745.225
"277",-8896.157
"278",-9063.081
"279",-9043.454
"280",-8808.537
"281",-8983.378
"282",-9412.708
"283",-8988.227
"284",-8803.55
"285",-8916.486
"286",-8956.178
"287",-9073.317
"288",-8972.017
"289",-8684.712
"290",-8873.551
"291",-8620.817
"292",-8722.592
"293",-9050.99
"294",-8908.91
"295",-8943.809
"296",-9010.357
"297",-8683.445
"298",-8794.035
"299",-9118.584
"300",-9049.3
"301",-8903.644
"302",-8809.837
"303",-8898.514
"304",-9042.355
"305",-8714.176
"306",-8862.401
"307",-9004.487
"308",-8899.719
"309",-9053.446
"310",-8874.043
"311",-8843.621
"312",-8936.119
"313",-8762.682
"314",-9055.701
"315",-9054.96
"316",-8943.185
"317",-9223.327
"318",-8781.38
"319",-8962.528
"320",-8947.11
"321",-8750.963
"322",-8977.026
"323",-8720.188
"324",-8991.781
"325",-9096.1
"326",-8742.881
"327",-8964.299
"328",-8908.103
"329",-8777.853
"330",-8716.131
"331",-9042.207
"332",-8862.173
"333",-9158.392
"334",-8833.637
"335",-9181.13
"336",-8842.545
"337",-8846.725
"338",-8841.087
"339",-8826.881
"340",-8859.78
"341",-8904.449
"342",-8750.31
"343",-8758.981
"344",-8927.929
"345",-8839.692
"346",-9098.976
"347",-8761.205
"348",-8707.007
"349",-8858.065
"350",-8960.723
"351",-8947.737
"352",-9385.082
"353",-8942.011
"354",-9052.881
"355",-8951.848
"356",-9110.269
"357",-9175.327
"358",-9008.622
"359",-8773.855
"360",-9029.747
"361",-8658.205
"362",-8889.193
"363",-8925.665
"364",-8912.198
"365",-8879.229
"366",-9120.497
"367",-8841.39
"368",-9079.1
"369",-9071.517
"370",-8875.317
"371",-8984.514
"372",-8964.482
"373",-9147.868
"374",-8907.457
"375",-8955.049
"376",-9000.78
"377",-8597.273
"378",-8815.162
"379",-9026.502
"380",-8758.909
"381",-9213.576
"382",-8674.509
"383",-9012.831
"384",-8785.702
"385",-8953.663
"386",-9058.261
"387",-8722.815
"388",-8968.975
"389",-8799.63
"390",-8769.224
"391",-9167.784
"392",-8993.91
"393",-8743.297
"394",-8840.253
"395",-8887.674
"396",-8893.578
"397",-9238.88
"398",-9056.951
"399",-8898.169
"400",-8925.63
"401",-8662.89
"402",-8859.468
"403",-8715.647
"404",-8826.411
"405",-8893.216
"406",-9092.821
