"","x"
"1",-8678.028
"2",-8861.323
"3",-8825.625
"4",-8982.296
"5",-8724.365
"6",-8901.948
"7",-8984.198
"8",-9067.13
"9",-8751.81
"10",-8790.176
"11",-8969.555
"12",-8985.942
"13",-8987.432
"14",-9075.518
"15",-8879.952
"16",-9045.604
"17",-8705.442
"18",-8811.069
"19",-8966.028
"20",-8748.129
"21",-8903.022
"22",-8945.914
"23",-8800.297
"24",-8796.193
"25",-8858.616
"26",-8773.047
"27",-8959.873
"28",-8743.92
"29",-9049.436
"30",-8834.813
"31",-9209.446
"32",-8997.787
"33",-8750.051
"34",-9051.313
"35",-8762.199
"36",-8795.438
"37",-9032.491
"38",-8823.062
"39",-9044.869
"40",-9041.534
"41",-9089.816
"42",-8899.439
"43",-8920.405
"44",-9022.633
"45",-8936.783
"46",-8794.507
"47",-9049.686
"48",-8816.561
"49",-8798.214
"50",-8663.076
"51",-8833.18
"52",-8846.894
"53",-9001.77
"54",-8775.36
"55",-8815.599
"56",-8732.385
"57",-8691.077
"58",-9005.663
"59",-8810.076
"60",-9033.361
"61",-9064.439
"62",-8955.507
"63",-9005.569
"64",-8968.428
"65",-8946.377
"66",-8989.473
"67",-8949.378
"68",-8786.003
"69",-8835.069
"70",-8897.279
"71",-8840.311
"72",-8654.342
"73",-8729.157
"74",-9119.282
"75",-8745.802
"76",-8973.737
"77",-8923.466
"78",-8885.578
"79",-8944.569
"80",-8911.743
"81",-8802.874
"82",-9005.487
"83",-8977.847
"84",-8911.84
"85",-8807.098
"86",-8839.546
"87",-8878.839
"88",-8907.56
"89",-9018.714
"90",-9096.784
"91",-8993.479
"92",-8778.346
"93",-9109.711
"94",-8900.59
"95",-8709.896
"96",-8928.337
"97",-8933.857
"98",-9013.186
"99",-8766.013
"100",-9084.382
"101",-8939.489
"102",-8905.463
"103",-8887.996
"104",-8909.874
"105",-8842.014
"106",-9113.263
"107",-8809.754
"108",-8720.88
"109",-9156.788
"110",-9187.532
"111",-8985.43
"112",-8955.579
"113",-8863.592
"114",-8709.089
"115",-8726.628
"116",-8782.532
"117",-9084.757
"118",-8782.061
"119",-8924.93
"120",-8576.918
"121",-8974.808
"122",-9021.611
"123",-9031.096
"124",-9107.556
"125",-8535.388
"126",-8876.558
"127",-9096.028
"128",-8808.689
"129",-8775.988
