"","x"
"1",-8708.068
"2",-8738.244
"3",-8556.44
"4",-8631.966
"5",-8656.74
"6",-8935.457
"7",-8490.853
"8",-8840.271
"9",-8671.56
"10",-9014.153
"11",-8718.36
"12",-8986.979
"13",-9048.091
"14",-8923.557
"15",-8715.515
"16",-9193.137
"17",-8919.115
"18",-8912.513
"19",-8993.845
"20",-9157.556
"21",-8890.445
"22",-8801.819
"23",-8832.853
"24",-8817.942
"25",-8765.854
"26",-8893.231
"27",-8850.689
"28",-8869.786
"29",-9139.363
"30",-8833.255
"31",-9045.282
"32",-8960.779
"33",-8852.317
"34",-8800.518
"35",-8811.519
"36",-8959.783
"37",-8951.005
"38",-9094.193
"39",-8730.542
"40",-8836.414
"41",-9249.252
"42",-8821.486
"43",-8961.791
"44",-8687.738
"45",-8934.781
"46",-8940.551
"47",-8923.048
"48",-8661.777
"49",-8712.886
"50",-8781.805
"51",-8891.813
"52",-8729.875
"53",-8965.413
"54",-8869.028
"55",-8677.24
"56",-8975.184
"57",-8694.011
"58",-9062.847
"59",-8785.148
"60",-9004.9
"61",-8902.031
"62",-8883.574
"63",-9164.852
"64",-8826.569
"65",-8913.508
"66",-8639.095
"67",-8775.197
"68",-8795.179
"69",-8759.602
"70",-8903.676
"71",-8601.491
"72",-8871.417
"73",-8693.757
"74",-8656.862
"75",-8821.642
"76",-8761.608
"77",-8675.118
"78",-8951.427
"79",-8764.731
"80",-8819.989
"81",-9034.609
"82",-8955.056
"83",-8653.467
"84",-9162.279
"85",-8873.295
"86",-8702.399
"87",-8802.153
"88",-8622.189
"89",-8688.027
"90",-8783.927
"91",-8600.088
"92",-8812.969
"93",-8707.541
"94",-8911.559
"95",-8965.629
"96",-8766.02
"97",-8811.862
"98",-8892.893
"99",-8775.187
"100",-8853.293
"101",-8944.825
"102",-8769.871
"103",-8966.048
"104",-8793.034
"105",-9008.305
"106",-8669.626
"107",-8793.854
"108",-8862.036
"109",-9157.3
"110",-9101.54
"111",-8861.903
"112",-8918.601
"113",-8859.607
"114",-8756.549
"115",-8883.217
"116",-8724.505
"117",-8863.429
"118",-8624.7
"119",-8757.629
"120",-8920.314
"121",-8746.465
"122",-8624.547
"123",-8744.89
"124",-8803.391
"125",-8793.516
"126",-8727.351
"127",-8719.066
"128",-8850.908
"129",-8784.872
"130",-8999.785
"131",-8976.182
"132",-8626.831
"133",-8964.722
"134",-9158.125
"135",-9210.265
"136",-8868.181
"137",-8861.926
"138",-8593.931
"139",-9135.206
"140",-9236.022
"141",-8672.452
"142",-8772.872
"143",-8967.79
"144",-8804.432
"145",-8657.583
"146",-9052.49
"147",-8757.062
"148",-8974.166
"149",-8825.686
"150",-8796.477
"151",-8710.063
"152",-8537.466
"153",-8953.652
"154",-8974.336
