"","x"
"1",-3477.802
"2",-3589.705
"3",-3519.332
"4",-3530.325
"5",-3699.509
"6",-3664.805
"7",-3648.635
"8",-3575.005
"9",-3558.12
"10",-3600.139
"11",-3539.772
"12",-3520.77
"13",-3435.859
"14",-3442.171
"15",-3469.713
"16",-3776.045
"17",-3465.374
"18",-3537.223
"19",-3746.513
"20",-3634.75
"21",-3371.625
"22",-3372.535
"23",-3582.696
"24",-3592.994
"25",-3628.978
"26",-3590.383
"27",-3469.944
"28",-3554.176
"29",-3649.791
"30",-3569.628
"31",-3621.654
"32",-3521.75
"33",-3667.592
"34",-3507.516
"35",-3478.72
"36",-3536.653
"37",-3576.201
"38",-3645.927
"39",-3386.761
"40",-3680.782
"41",-3475.979
"42",-3574.296
"43",-3428.801
"44",-3543.466
"45",-3468.583
"46",-3527.919
"47",-3588.214
"48",-3420.988
"49",-3578.673
"50",-3696.94
"51",-3593.81
"52",-3673.246
"53",-3545.734
"54",-3644.362
"55",-3519.639
"56",-3551.241
"57",-3379.131
"58",-3465.674
"59",-3400.111
"60",-3549.911
"61",-3575.884
"62",-3502.953
"63",-3691.195
"64",-3579.85
"65",-3483.453
"66",-3575.171
"67",-3619.338
"68",-3653.61
"69",-3662.635
"70",-3495.915
"71",-3643.988
"72",-3620.858
"73",-3464.526
"74",-3603.362
"75",-3450.534
"76",-3636.474
"77",-3576.882
"78",-3540.161
"79",-3671.278
"80",-3455.722
"81",-3636.446
"82",-3561.071
"83",-3663.527
"84",-3509.937
"85",-3477.124
"86",-3648.446
"87",-3513.796
"88",-3469.428
"89",-3339.557
"90",-3472.969
"91",-3583.979
"92",-3275.958
"93",-3575.52
"94",-3725.773
"95",-3498.2
"96",-3673.99
"97",-3583.002
"98",-3536.84
"99",-3748.538
"100",-3619.435
"101",-3453.419
"102",-3557.244
"103",-3571.928
"104",-3754.993
"105",-3603.763
"106",-3592.161
"107",-3531.688
"108",-3787.404
"109",-3527.437
"110",-3583.442
"111",-3466.932
"112",-3398.958
"113",-3496.318
"114",-3493.9
"115",-3499.828
"116",-3617.051
"117",-3434.625
"118",-3699.173
"119",-3569.159
"120",-3573.128
"121",-3486.15
"122",-3503.519
"123",-3525.338
"124",-3420.195
"125",-3574.816
"126",-3711.075
"127",-3546.528
"128",-3643.917
"129",-3569.93
"130",-3565.08
"131",-3632.192
"132",-3524.949
"133",-3463.757
"134",-3547.206
"135",-3598.269
"136",-3502.358
"137",-3434.967
"138",-3555.103
"139",-3569.405
"140",-3432.91
"141",-3442.493
"142",-3692.349
"143",-3672.635
"144",-3510.251
"145",-3572.34
"146",-3499.119
"147",-3683.378
"148",-3570.201
"149",-3573.073
"150",-3551.148
"151",-3578.264
"152",-3527.975
"153",-3576.736
"154",-3571.91
"155",-3737.447
"156",-3547.825
"157",-3505.227
"158",-3666.04
"159",-3455.558
"160",-3636.274
"161",-3538.059
"162",-3518.065
"163",-3444.994
"164",-3562.233
"165",-3644.608
"166",-3700.212
"167",-3530.405
"168",-3450.819
"169",-3465.768
"170",-3387.386
"171",-3583.459
"172",-3561.171
"173",-3519.108
"174",-3534.301
"175",-3676.701
"176",-3504.258
"177",-3468.208
