"","x"
"1",-8893.106
"2",-8808.354
"3",-8601.442
"4",-8846.586
"5",-8880.905
"6",-8942.467
"7",-8829.37
"8",-8655.198
"9",-8803.721
"10",-8944.908
"11",-8784.619
"12",-8958.122
"13",-8853.921
"14",-8646.318
"15",-8851.147
"16",-8985.665
"17",-9111.946
"18",-8830.11
"19",-8974.525
"20",-9071.786
"21",-9054.802
"22",-9016.212
"23",-9118.929
"24",-8955.618
"25",-8879.447
"26",-9010.662
"27",-8743.355
"28",-9027.905
"29",-8933.592
"30",-9063.081
"31",-8732.608
"32",-8960.086
"33",-8980.388
"34",-8939.11
"35",-8897.255
"36",-8862.151
"37",-8993.984
"38",-8832.609
"39",-9081.104
"40",-8414.011
"41",-8843.798
"42",-8889.725
"43",-8734.208
"44",-8876.972
"45",-9039.886
"46",-8710.2
"47",-8776.413
"48",-8940.958
"49",-9160.923
"50",-8853.391
"51",-8943.915
"52",-8890.937
"53",-8855.466
"54",-8805.632
"55",-8897.765
"56",-9152.311
"57",-9085.295
"58",-8973.216
"59",-8929.401
"60",-9002.469
"61",-8701.665
"62",-8984.103
"63",-8839.135
"64",-9008.687
"65",-8908.76
"66",-8940.143
"67",-8868.338
"68",-9217.028
"69",-8816.899
"70",-8947.969
"71",-8869.166
"72",-9113.817
"73",-8743.591
"74",-8858.728
"75",-8856.729
"76",-8705.772
"77",-9236.732
"78",-8961.735
"79",-8941.449
"80",-8831.404
"81",-9104.84
"82",-9135.089
"83",-8901.053
"84",-8837.483
"85",-8638.727
"86",-8811.901
"87",-8928.009
"88",-8673.771
"89",-8971.388
"90",-8909.523
"91",-8868.409
"92",-9013.128
"93",-9148.679
"94",-8696.322
"95",-8820.436
"96",-8658.383
"97",-8907.755
"98",-8976.283
"99",-9075.202
"100",-8732.219
"101",-9011.817
"102",-9024.246
"103",-9119.26
"104",-9096.423
"105",-8947.003
"106",-8985.915
"107",-8667.958
"108",-8555.538
"109",-8856.26
"110",-8884.59
"111",-8755.277
"112",-9111.319
"113",-8957.46
"114",-9073.635
"115",-8838.414
"116",-8695.074
"117",-8964.769
"118",-8822.202
"119",-8697.863
"120",-8992.666
"121",-8929.172
"122",-8456.501
"123",-8914.398
"124",-8961.96
"125",-8908.663
"126",-8768.814
"127",-8943.236
"128",-8984.136
"129",-8660.176
"130",-9166.515
"131",-8952.197
"132",-8855.532
"133",-9085.407
"134",-8931.826
"135",-8658.963
"136",-9037.602
"137",-8621.132
"138",-8757.652
"139",-8954.93
"140",-8602.447
"141",-9152.307
"142",-9192.417
"143",-9003.545
"144",-9077.336
"145",-9040.861
"146",-8914.13
"147",-8922.129
"148",-9134.384
"149",-9151.78
"150",-8803.225
"151",-9005.106
"152",-9173.334
"153",-8937.191
"154",-8795.488
"155",-8994.216
"156",-8920.553
"157",-8479.447
"158",-8784.907
"159",-8835.527
"160",-8814.431
"161",-8733.287
"162",-9052.335
"163",-9138.353
"164",-8827.802
"165",-9025.101
"166",-8958.785
"167",-9061.585
"168",-8993.567
"169",-9054.707
"170",-9026.081
"171",-8655.999
"172",-8701.061
"173",-8844.555
"174",-9109.557
"175",-8965.958
"176",-9086.759
"177",-8865.243
"178",-8985.893
"179",-9030.339
"180",-8802.716
"181",-9019.531
"182",-8832.169
"183",-8809.412
"184",-8970.868
"185",-9027.745
"186",-8958.469
"187",-8905.357
"188",-8907.516
"189",-9206.939
"190",-9025.048
"191",-8687.486
"192",-8712.632
"193",-8811.841
"194",-8663.936
"195",-8863.367
"196",-8638.908
"197",-8873.723
"198",-8985.651
"199",-8839.997
"200",-8697.268
"201",-8906.844
"202",-9293.783
"203",-9022.041
"204",-9230.374
"205",-8772.555
"206",-8892.906
"207",-9034.273
"208",-8755.008
"209",-8867.113
"210",-8853.252
"211",-9168.427
"212",-8785.729
"213",-8881.738
"214",-9078.74
"215",-8838.851
"216",-9010.092
"217",-8763.844
"218",-8677.468
"219",-8742.624
"220",-8782.564
"221",-8940.685
"222",-8813.811
"223",-8939.079
"224",-8998.671
"225",-8908.541
"226",-9016.781
"227",-8918.335
"228",-9019.708
"229",-8642.635
"230",-9073.508
"231",-9013.243
"232",-8772.092
"233",-8965.003
"234",-8616.776
"235",-8875.864
"236",-8940.664
"237",-8824.782
"238",-9032.383
"239",-9094.235
"240",-8757.159
"241",-8952.745
"242",-9082.841
"243",-8855.733
"244",-8899.485
"245",-8773.696
"246",-8673.671
"247",-8974.775
"248",-8671.27
"249",-9053.255
"250",-8859.789
"251",-8876.583
"252",-9081.227
"253",-8946.394
"254",-8837.373
"255",-8935.965
"256",-8737.835
"257",-8806.298
"258",-9071.771
"259",-8612.39
"260",-8620.941
"261",-8936.804
"262",-8867.433
"263",-8739.66
"264",-8904.561
"265",-8735.811
"266",-8739.194
"267",-8907.701
"268",-8882.789
"269",-8973.1
"270",-8883.624
"271",-8878.976
"272",-8722.957
"273",-9108.194
"274",-8758.892
"275",-9019.517
"276",-8779.84
"277",-9054.504
"278",-9129.576
"279",-8848.832
"280",-9024.157
"281",-8838.237
"282",-8878.984
"283",-8935.508
"284",-8984.323
"285",-8696.984
"286",-8786.009
"287",-8754.657
"288",-8554.136
"289",-9072.373
"290",-8842.502
"291",-9068.876
"292",-9045.152
"293",-8765.996
"294",-9142.699
"295",-8764.217
"296",-9051.261
"297",-8858.021
"298",-8835.969
"299",-8997.077
"300",-9041.023
"301",-8851.107
"302",-9089.116
"303",-8965.916
"304",-8748.549
"305",-9034.1
"306",-8896.939
"307",-8962.127
"308",-9171.508
"309",-8813.622
"310",-8698.622
"311",-8889.609
"312",-8805.079
"313",-8894.607
"314",-8959.758
"315",-8929.824
