"","x"
"1",-9109.618
"2",-8792.04
"3",-8984.448
"4",-9085.645
"5",-8950.356
"6",-8812.528
"7",-8498.569
"8",-8858.873
"9",-8899.936
"10",-8664.567
"11",-9114.308
"12",-9158.953
"13",-8827.175
"14",-8935.516
"15",-9009.147
"16",-9004.966
"17",-8994.773
"18",-9033.968
"19",-8940.111
"20",-8712.736
"21",-8765.824
"22",-9039.536
"23",-9049.236
"24",-8805.643
"25",-9062.345
"26",-8749.321
"27",-8641.39
"28",-9078.269
"29",-8987.805
"30",-8665.432
"31",-9109.737
"32",-8960.687
"33",-8896.613
"34",-8908.876
"35",-8807.949
"36",-8824.16
"37",-9085.112
"38",-8901.344
"39",-8835.247
"40",-8803.658
"41",-8721.678
"42",-8840.265
"43",-9062.38
"44",-8936.05
"45",-8807.235
"46",-8719.559
"47",-9088.487
"48",-9020.594
"49",-8564.429
"50",-8684.501
"51",-8855.104
"52",-9099.755
"53",-8836.124
"54",-9132.967
"55",-8989.989
"56",-8785.963
"57",-8822.39
"58",-8786.671
"59",-9066.598
"60",-8912.76
"61",-8793.303
"62",-9229.951
"63",-8961.879
"64",-8876.719
"65",-8747.654
"66",-8851.448
"67",-9127.088
"68",-9042.192
"69",-8931.901
"70",-8768.386
"71",-8980.334
"72",-8559.436
"73",-8513.214
"74",-8844.096
"75",-9108.355
"76",-8786.284
"77",-9051.774
"78",-8833.432
"79",-9025.445
"80",-8715.742
"81",-9031.549
"82",-9060.515
"83",-8748.864
"84",-9012.291
"85",-9033.77
"86",-8645.5
"87",-8897.32
"88",-8974.993
"89",-8891.072
"90",-8818.298
"91",-8936.177
"92",-8839.044
"93",-8884.077
"94",-8842.013
"95",-8885.432
"96",-8898.11
"97",-8677.852
"98",-9116.119
"99",-8719.798
"100",-8944.119
"101",-8816.154
"102",-8730.467
"103",-8884.334
"104",-8786.772
"105",-8751.894
"106",-9180.289
"107",-8650.024
"108",-8857.916
"109",-8724.141
"110",-8685.39
"111",-8769.714
"112",-8885.418
"113",-8935.957
"114",-8916.664
"115",-8906.189
"116",-9183.308
"117",-9063.676
"118",-8718.979
"119",-8778.744
"120",-9217.246
"121",-8810.894
"122",-8725.396
"123",-8852.129
"124",-8959.599
"125",-8888.704
"126",-8926.544
"127",-9033.128
"128",-8979.994
"129",-9042.723
"130",-8837.099
"131",-8863.083
"132",-8971.454
"133",-8728.385
"134",-9052.365
"135",-9285.602
"136",-8797.602
"137",-8951.847
"138",-8816.473
"139",-8580.82
"140",-8955.032
"141",-8852.336
"142",-8963.904
"143",-8969.034
"144",-8754.776
"145",-8946.921
"146",-8849.386
"147",-8817.004
"148",-8918.047
"149",-8778.264
"150",-8865.102
"151",-8729.02
"152",-8745.226
"153",-8794.746
"154",-8826.624
"155",-8767.428
"156",-8772.151
"157",-9093.61
"158",-8988.856
"159",-8798.35
"160",-8960.472
"161",-8485.294
"162",-8806.879
"163",-8926.217
"164",-8935.802
"165",-8943.515
"166",-8735.808
"167",-9113.513
"168",-8828.68
"169",-9064.282
"170",-8935.055
"171",-8921.358
"172",-8891.043
"173",-8819.797
"174",-8712.514
"175",-8895.693
"176",-9235.463
"177",-9018.361
"178",-8643.203
"179",-8861.254
"180",-8856.4
"181",-8818.088
"182",-9081.664
"183",-8791.955
"184",-8982.988
"185",-9064.705
"186",-8819.331
"187",-8774.418
"188",-8992.648
"189",-8952.282
"190",-8778.878
"191",-8841.349
"192",-8711.987
"193",-8932.255
"194",-8798.603
"195",-8922.955
"196",-8990.617
"197",-8906.89
"198",-8880.239
"199",-9027.042
"200",-8799.468
"201",-8693.536
"202",-9041.873
"203",-8834.825
"204",-9015.789
"205",-8913.42
"206",-8900.114
"207",-8884.664
"208",-8904.57
"209",-8915.953
"210",-8848.017
"211",-9054.108
"212",-8711.017
"213",-8912.651
"214",-8821.88
"215",-9275.712
"216",-9002.543
"217",-8952.491
"218",-8869.482
"219",-8939.147
"220",-8992.955
"221",-8969.329
"222",-9043.488
"223",-8958.522
"224",-8866.015
"225",-8876.121
"226",-8765.206
"227",-8951.776
"228",-8745.634
"229",-9055.86
"230",-8956.993
"231",-8826.518
"232",-8899.492
"233",-8986.876
"234",-8924.227
"235",-8655.933
"236",-8936.607
"237",-9046.708
"238",-8939.696
"239",-8890.315
"240",-8875.404
"241",-8935.508
"242",-9068.353
"243",-8882.45
"244",-8799.123
"245",-8633.808
"246",-8972.054
"247",-8936.564
"248",-8849.708
"249",-8729.403
"250",-8729.813
"251",-9138.072
"252",-8897.521
"253",-8846.287
"254",-8741.425
"255",-8628.751
"256",-8869.71
"257",-8639.536
"258",-9123.73
"259",-8934.293
"260",-8842.065
"261",-8881.654
"262",-8947.823
"263",-8513.988
"264",-9100.921
"265",-8830.984
"266",-8530.394
"267",-8849.002
"268",-8841.733
"269",-9035.212
"270",-9036.005
"271",-8522.401
"272",-8939.922
"273",-8816.605
"274",-8841.04
"275",-8934.034
