"","x"
"1",-8914.088
"2",-8943.578
"3",-8871.982
"4",-9236.888
"5",-9056.478
"6",-8853.676
"7",-8946.932
"8",-8714.292
"9",-8933.809
"10",-8842.145
"11",-8886.032
"12",-9040.358
"13",-9014.34
"14",-8801.23
"15",-8927.732
"16",-8887.482
"17",-8889.604
"18",-8779.154
"19",-9036.266
"20",-8709.104
"21",-8920.215
"22",-9101.336
"23",-8939.621
"24",-8965.072
"25",-8975.742
"26",-9094.908
"27",-8974.359
"28",-8768.009
"29",-8747.709
"30",-8891.358
"31",-8652.854
"32",-8991.737
"33",-8842.225
"34",-8964.908
"35",-8763.907
"36",-8729.246
"37",-8843.97
"38",-8950.226
"39",-8973.743
"40",-8810.077
"41",-8704.956
"42",-9017.107
"43",-8783.838
"44",-8719.732
"45",-8767.649
"46",-9115.438
"47",-8813.59
"48",-8883.394
"49",-8646.073
"50",-8686.616
"51",-8959.838
"52",-9007.723
"53",-9015.707
"54",-8952.279
"55",-8889.695
"56",-8917.931
"57",-8811.382
"58",-8683.474
"59",-8992.656
"60",-9008.157
"61",-8907.592
"62",-8882.218
"63",-9133.025
"64",-8520.378
"65",-9126.415
"66",-8994.562
"67",-8598.748
"68",-8851.437
"69",-8716.019
"70",-9027.517
"71",-8884.275
"72",-8934.944
"73",-9023.751
"74",-9088.376
"75",-8814.496
"76",-8786.99
"77",-8921.938
"78",-8944.514
"79",-9134.942
"80",-8802.431
"81",-8760.338
"82",-9077.643
"83",-8850.368
"84",-8809.167
"85",-8634.808
"86",-8918.279
"87",-8868.042
"88",-8952.381
"89",-8769.792
"90",-9007.798
"91",-8714.864
"92",-8989.974
"93",-9040.438
"94",-8635.348
"95",-8848.186
"96",-8977.19
"97",-8842.193
"98",-8806.233
"99",-8725.834
"100",-8678.39
"101",-9195.232
"102",-9071.618
"103",-8751.132
"104",-8776.036
"105",-9068.113
"106",-8963.538
"107",-9003.48
"108",-9159.804
"109",-8983.455
"110",-8658.46
"111",-9009.574
"112",-8715.004
"113",-8735.422
"114",-8808.511
"115",-8891.146
"116",-8824.781
"117",-9180.855
"118",-9186.22
"119",-8981.112
"120",-8597.502
"121",-8841.716
"122",-8565.612
"123",-8919.537
"124",-8860.716
"125",-8933.174
"126",-8895.706
"127",-9113.1
"128",-8936.328
