"","x"
"1",-8809.211
"2",-8620.496
"3",-8909.514
"4",-8852.782
"5",-8782.341
"6",-8761.833
"7",-9029.084
"8",-8960.564
"9",-8801.985
"10",-8966.086
"11",-8806.525
"12",-8964.797
"13",-8671.863
"14",-8566.851
"15",-9004.861
"16",-8858.986
"17",-9098.213
"18",-8931.667
"19",-8898.067
"20",-8852.607
"21",-8597.912
"22",-9037.832
"23",-8837.876
"24",-8859.283
"25",-8759.149
"26",-8711.008
"27",-8926.952
"28",-8708.125
"29",-9210.37
"30",-8871.236
"31",-8914.435
"32",-9159.064
"33",-9002.313
"34",-8972.754
"35",-8897.445
"36",-9017.89
"37",-9073.748
"38",-9016.308
"39",-8995.479
"40",-8878.217
"41",-9035.371
"42",-8685.886
"43",-8807.285
"44",-8899.596
"45",-9071.979
"46",-9285.754
"47",-9115.629
"48",-8858.573
"49",-8836.576
"50",-8807.369
"51",-9021.125
"52",-8879.436
"53",-8724.603
"54",-9050.411
"55",-9020.304
"56",-8822.051
"57",-9136.514
"58",-9000.062
"59",-9022.78
"60",-9070.02
"61",-8808.807
"62",-8942.802
"63",-8933.432
"64",-8749.986
"65",-8814.29
"66",-8771.285
"67",-8841.041
"68",-9094.889
"69",-9011.186
"70",-9169.619
"71",-9039.837
"72",-8864.535
"73",-9013.821
"74",-9072.9
"75",-9126.099
"76",-8745.615
"77",-8916.21
"78",-8664.37
"79",-9023.146
"80",-9153.59
"81",-8577.683
"82",-9058.453
"83",-9018.017
"84",-9008.896
"85",-8822.033
"86",-9015.985
"87",-9140.674
"88",-8932.893
"89",-8946.802
"90",-9045.367
"91",-9129.361
"92",-8955.754
"93",-8954.36
"94",-9036.101
"95",-8497.917
"96",-9026.989
"97",-8787.065
"98",-9050.711
"99",-8758.852
"100",-9167.621
"101",-8924.609
"102",-8827.166
"103",-9024.159
"104",-8902.647
"105",-8868.195
"106",-8817.504
"107",-8896.292
"108",-8980.362
"109",-8851.496
"110",-9087.404
"111",-8947.104
"112",-9130.078
"113",-9049.605
"114",-8779.957
"115",-9145.72
"116",-8929.514
"117",-8778.795
"118",-8869.906
"119",-8905.284
"120",-8999.707
"121",-8895.797
"122",-8789.517
"123",-9158.56
"124",-8980.925
"125",-8977.135
"126",-8866.729
"127",-9194.198
"128",-8926.976
"129",-8902.354
"130",-8898.39
"131",-8999.956
"132",-9095.175
"133",-8991.172
"134",-9231.128
"135",-9139.74
"136",-8997.332
"137",-8722.391
"138",-8884.378
"139",-9032.215
"140",-8750.933
"141",-9088.756
"142",-8979.857
"143",-8852.876
"144",-8924.612
"145",-9204.38
"146",-9148.455
"147",-8899.636
"148",-9107.547
"149",-8834.73
"150",-8747.404
"151",-8928.421
"152",-8842.206
"153",-8906.543
"154",-8869.183
"155",-8859.899
"156",-8902.801
"157",-8738.869
"158",-9067.922
"159",-9261.835
"160",-8909.967
"161",-9017.24
"162",-9080.745
"163",-9037.744
"164",-8834.141
"165",-8954.213
"166",-8704.699
"167",-9029.229
"168",-9117.249
"169",-8995.077
"170",-8928.574
"171",-8617.42
"172",-8628.963
"173",-8581.232
"174",-8785.824
"175",-9061.1
"176",-9085.521
"177",-8717.451
"178",-8812.08
"179",-8683.197
"180",-9067.862
"181",-8705.697
"182",-8726.772
"183",-8903.298
"184",-9120.114
"185",-9022.767
"186",-8848.291
"187",-8682.337
"188",-9082.537
"189",-9005.998
"190",-8683.766
"191",-8920.476
"192",-8729.475
"193",-8841.954
"194",-9136.086
"195",-8588.168
"196",-8986.64
"197",-8958.305
"198",-8992.014
"199",-9005.198
"200",-8767.004
"201",-8645.877
"202",-8753.143
"203",-9031.042
"204",-8820.295
"205",-9061.16
"206",-8772.164
"207",-8990.024
"208",-8663.855
"209",-8841.111
"210",-8703.521
"211",-8806.534
"212",-9235.883
"213",-8860.379
"214",-8809.024
"215",-8743.785
"216",-8811.388
"217",-8827.824
"218",-9027.856
"219",-9060.064
"220",-8959.418
"221",-8750.569
"222",-9006.088
"223",-8852.893
"224",-8763.664
"225",-8853.421
"226",-8928.415
"227",-9005.778
"228",-9033.451
"229",-8869.625
"230",-8798.623
"231",-8957.195
"232",-8909.805
"233",-8983.834
"234",-8967.319
"235",-8918.304
"236",-9045.482
"237",-8826.762
"238",-9038.537
"239",-8512.188
"240",-8839.174
"241",-8991.574
"242",-8899.684
"243",-8887.398
"244",-8894.159
"245",-8946.311
"246",-9013.68
"247",-8867.023
"248",-8850.24
"249",-8811.124
"250",-9046.915
"251",-9153.857
"252",-8868.128
"253",-9099.912
"254",-8986.897
"255",-8775.193
"256",-8858.758
"257",-9053.341
"258",-9123.072
"259",-9224.808
"260",-8800.258
"261",-8993.172
"262",-9065.012
"263",-9209.398
"264",-8967.233
"265",-9045.335
"266",-9067.809
"267",-8687.242
"268",-9006.05
"269",-9183.831
"270",-8970.579
"271",-8912.201
