"","x"
"1",-9047.772
"2",-8926.974
"3",-8893.315
"4",-9026.033
"5",-9075.989
"6",-9072.283
"7",-8922.808
"8",-8794.289
"9",-8865.48
"10",-9084.964
"11",-8950.305
"12",-8976.247
"13",-8779.815
"14",-8848.686
"15",-9096.078
"16",-8871.463
"17",-8942.76
"18",-9022.021
"19",-8947.38
"20",-8941.512
"21",-9128.392
"22",-9103.886
"23",-8872.85
"24",-9116.46
"25",-9095.635
"26",-9111.262
"27",-8920.348
"28",-9105.691
"29",-8943.929
"30",-8861.467
"31",-9140.432
"32",-8834.379
"33",-8821.446
"34",-8956.003
"35",-8784.657
"36",-9063.738
"37",-8999.337
"38",-8691.275
"39",-8794.772
"40",-8773.718
"41",-8675.252
"42",-8990.907
"43",-8779.683
"44",-8897.495
"45",-8710.509
"46",-8811.137
"47",-8741.578
"48",-9008.024
"49",-8681.63
"50",-8811.226
"51",-8957.456
"52",-8866.795
"53",-9095.446
"54",-8945.377
"55",-8965.138
"56",-8904.562
"57",-9042.903
"58",-9155.629
"59",-9180.375
"60",-8778.309
"61",-8783.506
"62",-9061.277
"63",-8927.463
"64",-8993.406
"65",-8866.29
"66",-9003.038
"67",-9102.309
"68",-9178.976
"69",-8910.604
"70",-8814.08
"71",-9012.816
"72",-8909.037
"73",-8906.261
"74",-9161.473
"75",-9023.835
"76",-8904.552
"77",-8920.72
"78",-8938.148
"79",-8863.387
"80",-8848.049
"81",-8883.764
"82",-8910.196
"83",-8889.733
"84",-9003.034
"85",-8960.896
"86",-8784.658
"87",-8778.182
"88",-9271.116
"89",-8848.442
"90",-8863.402
"91",-8944.817
"92",-9077.804
"93",-8904.097
"94",-8968.434
"95",-8682.765
"96",-8909.257
"97",-9011.629
"98",-8964.52
"99",-9048.352
"100",-9013.93
"101",-8967.261
"102",-8884.853
"103",-9074.621
"104",-8884.505
"105",-8974.476
"106",-8955.098
"107",-8782.445
"108",-8710.712
"109",-8782.843
"110",-8731.036
"111",-8783.81
"112",-8935.857
"113",-8979.378
"114",-8985.338
"115",-8897.195
"116",-9026.004
"117",-9084.236
"118",-8971.552
"119",-8803.74
"120",-9203.717
"121",-9073.788
"122",-8824.379
"123",-8778.703
"124",-8991.418
"125",-9040.455
"126",-9125.325
"127",-9029.917
"128",-8738.232
"129",-8787.526
"130",-8979.057
"131",-9073.162
"132",-8836.548
"133",-8701.385
"134",-9165.617
"135",-8790.572
"136",-9168.257
"137",-8862.964
"138",-8748.915
"139",-8799.276
"140",-8627.519
"141",-8892.62
"142",-9057.986
"143",-8980.181
"144",-8767.902
"145",-8824.133
"146",-9115.836
"147",-9039.101
"148",-8963.63
"149",-8950.324
"150",-8993.856
"151",-8918.601
"152",-8856.849
"153",-8632.522
"154",-9046.418
"155",-9174.792
"156",-9008.085
"157",-9041.836
"158",-9022.809
"159",-9145.878
"160",-8914.869
"161",-8656.425
"162",-9063.489
"163",-8937.415
"164",-9134.345
"165",-8804.181
"166",-8928.205
"167",-8865.595
"168",-8993.935
"169",-9103.457
"170",-8909.354
"171",-8883.299
"172",-9191.959
"173",-8677.869
"174",-8558.311
"175",-8841.168
"176",-8976.619
"177",-8738.487
"178",-9072.049
"179",-8895.847
"180",-8779.027
"181",-8786.133
"182",-8675.077
"183",-8876.323
"184",-8913.929
"185",-8923.426
"186",-8718.429
"187",-8787.119
"188",-8981.778
"189",-9036.113
"190",-9065.456
"191",-8788.071
"192",-8918.069
"193",-9013.157
"194",-8803.554
"195",-9086.35
"196",-8744.823
"197",-8845.371
"198",-8926.092
"199",-8916.525
"200",-8816.601
"201",-8804.697
"202",-8920.791
"203",-8751.624
"204",-8787.478
"205",-8868.753
"206",-8897.721
"207",-8889.98
"208",-9001.475
"209",-8959.356
"210",-9101.446
"211",-8837.713
"212",-8820.706
"213",-8695.299
"214",-9006.495
"215",-8865.146
"216",-8833.186
"217",-8926.447
"218",-9112.703
"219",-9066.474
"220",-8783.178
"221",-8665.682
"222",-9008.934
"223",-9076.285
"224",-8827.092
"225",-8713.955
"226",-8980.783
"227",-8711.277
"228",-9001.519
"229",-8709.828
"230",-8873.411
"231",-8742.561
"232",-8831.241
"233",-9062.902
"234",-9086.72
"235",-9027.67
"236",-8975.843
"237",-8858.208
"238",-8648.819
"239",-8845.739
"240",-8680.087
"241",-8962.315
"242",-8989.542
"243",-9048.528
"244",-8755.284
"245",-8931.771
"246",-8755.89
"247",-8939.963
"248",-8800.151
"249",-8873.779
"250",-8807.916
"251",-9060.613
"252",-9063.711
"253",-9057.254
"254",-8998.502
"255",-8740.99
"256",-8829.611
"257",-8857.025
"258",-9099.746
"259",-8876.055
"260",-9045.885
"261",-8618.884
"262",-9071.552
"263",-8836.631
"264",-9082.532
"265",-8966.846
"266",-8814.986
"267",-8682.805
"268",-8944.952
"269",-8848.692
"270",-8703.629
"271",-8958.954
"272",-8795.617
"273",-8925.342
"274",-8814.274
"275",-9062.195
"276",-8699.034
"277",-8943.76
"278",-9004.125
"279",-8758.361
"280",-8510.239
"281",-8811.555
"282",-9210.526
"283",-8950.757
"284",-8881.168
"285",-8850.321
"286",-9214.761
"287",-8811.833
"288",-9278.481
"289",-9037.293
"290",-8915.455
"291",-8744.276
"292",-8904.642
"293",-8988.533
"294",-8759.553
"295",-8891.12
"296",-8803.947
"297",-8987.646
"298",-8945.33
"299",-8826.324
"300",-8898.877
"301",-8765.765
"302",-9028.73
"303",-8914.362
"304",-9047.757
"305",-9007.358
"306",-8929.549
"307",-9072.487
"308",-8929.052
"309",-8827.724
"310",-8713.562
"311",-8859.97
"312",-8876.826
"313",-8869.79
"314",-8869.667
"315",-8863.797
"316",-9055.941
"317",-8726.512
"318",-8870.991
"319",-9038.465
"320",-8846.151
"321",-8736.881
"322",-8898.235
"323",-9169.781
"324",-8877.498
"325",-8958.197
"326",-8945.195
"327",-8782.045
"328",-9093.548
"329",-8817.609
"330",-9125.036
"331",-9066.381
"332",-8910.375
