"","x"
"1",-3382.79
"2",-3360.508
"3",-3567.242
"4",-3392.057
"5",-3440.389
"6",-3344.049
"7",-3163.42
"8",-3534.55
"9",-3342.535
"10",-3290.217
"11",-3190.874
"12",-3292.467
"13",-3426.285
"14",-3434.314
"15",-3212.611
"16",-3235.573
"17",-3274.311
"18",-3382.577
"19",-3298.822
"20",-3469.252
"21",-3398.222
"22",-3600.353
"23",-3221.761
"24",-3184.885
"25",-3235.915
"26",-3233.015
"27",-3331.8
"28",-3291.84
"29",-3274.236
"30",-3084.514
"31",-3451.209
"32",-3471.988
"33",-3520.297
"34",-3309.118
"35",-3745.386
"36",-3431.017
"37",-3198.664
"38",-3361.501
"39",-3223.483
"40",-3544.853
"41",-3386.671
"42",-3291.828
"43",-3282.639
"44",-3598.225
"45",-3710.974
"46",-3338.579
"47",-3255.543
"48",-3531.499
"49",-3389.817
"50",-3343.204
"51",-3353.745
"52",-3087.826
"53",-3390.631
"54",-3402.617
"55",-3369.617
"56",-3517.202
"57",-3498.323
"58",-3248.629
"59",-3405.512
"60",-3353.857
"61",-3341.044
"62",-3282.782
"63",-3249.876
"64",-3449.57
"65",-3248.283
"66",-3291.16
"67",-3199.542
"68",-3569.53
"69",-3248.25
"70",-3355.832
"71",-3412.964
"72",-3154.752
"73",-3242.39
"74",-3220.653
"75",-3423.549
"76",-3193.372
"77",-3212.16
"78",-3464.994
"79",-3288.722
"80",-3343.191
"81",-3126.24
"82",-3548.895
"83",-3354.733
"84",-3476.407
"85",-3359.785
"86",-3367.525
"87",-3451.477
"88",-3372.589
"89",-3486.995
"90",-3156.974
"91",-3518.053
"92",-3405.79
"93",-3520.296
"94",-3428.431
"95",-3291.43
"96",-3405.341
"97",-3252.14
"98",-3379.966
"99",-3413.367
"100",-3265.556
"101",-3281.149
"102",-3472.043
"103",-3361.847
"104",-3418.89
"105",-3341.84
"106",-3358.303
"107",-3372.572
"108",-3510.067
"109",-3170.921
"110",-3375.424
"111",-3194.967
"112",-3260.921
"113",-3350.262
"114",-3354.993
"115",-3346.93
"116",-3137.711
"117",-3467.549
"118",-3241.095
"119",-3345.032
"120",-3245.249
"121",-3246.844
"122",-3383.69
"123",-3451.958
"124",-3346.605
"125",-3547.041
"126",-3307.487
"127",-3330.522
"128",-3498.365
"129",-3322.143
"130",-3280.894
"131",-3280.828
"132",-3442.949
"133",-3175.769
"134",-3337
"135",-3312.966
"136",-3266.96
"137",-3393.522
"138",-3331.507
"139",-3290.776
"140",-3426.072
"141",-3361.688
"142",-3276.92
"143",-3435.037
"144",-3397.423
"145",-3347.593
"146",-3296.309
"147",-3495.669
"148",-3243.08
"149",-3465.158
"150",-3309.855
"151",-3286.005
"152",-3203.652
"153",-3395.519
"154",-3273.284
"155",-3263.591
"156",-3345.723
"157",-3237.246
"158",-3593.58
"159",-3533.91
"160",-3118.905
"161",-3237.694
"162",-3495.592
"163",-3200.976
"164",-3398.273
"165",-3119.774
"166",-3257.994
"167",-3353.355
"168",-3376.841
"169",-3225.809
"170",-3262.5
"171",-3278.749
"172",-3456.578
"173",-3396.339
"174",-3276.768
"175",-3310.322
"176",-3163.054
"177",-3319.999
"178",-3132.239
"179",-3461.558
"180",-3525.688
"181",-3133.418
"182",-3166.004
"183",-3538.647
"184",-3295.151
"185",-3368.478
"186",-3407.25
"187",-3128.175
"188",-3542.238
"189",-3388.247
"190",-3123.501
"191",-3545.179
"192",-3478.577
"193",-3419.054
"194",-3299.767
"195",-3497.685
"196",-3243.652
"197",-3449.955
"198",-3446.708
"199",-3282.43
"200",-3359.664
"201",-3285.457
"202",-3387.497
"203",-3755.554
"204",-3279.657
"205",-3392.94
"206",-3267.028
"207",-3207.212
"208",-3286.968
"209",-3257.182
"210",-3258.366
"211",-3488.66
"212",-3395.23
"213",-3297.5
"214",-3362.966
"215",-3656.891
"216",-3250.91
"217",-3232.075
"218",-3153.097
"219",-3539.499
"220",-3362.293
"221",-3343.873
"222",-3214.174
"223",-3481.582
"224",-3413.487
"225",-3140.006
"226",-3422.088
"227",-3188.918
"228",-3293.859
"229",-3429.426
"230",-3442.343
"231",-3620.717
"232",-3568.587
"233",-3150.889
"234",-3422.125
"235",-3290.361
"236",-3299.755
"237",-3236.407
"238",-3365.837
"239",-3323.1
"240",-3108.072
"241",-3406.792
"242",-3323.251
"243",-3300.484
"244",-3511.235
"245",-3355.609
"246",-3221.909
"247",-3248.098
"248",-3495.739
"249",-3354.518
"250",-3540.88
"251",-3230.12
"252",-3330.032
"253",-3164.401
"254",-3288.51
"255",-3452.519
"256",-3294.209
"257",-3216.428
"258",-3695.233
"259",-3508.212
"260",-3475.508
"261",-3496.364
"262",-3226.493
"263",-3103.003
"264",-3354.026
"265",-3253.775
"266",-3395.059
"267",-3276.518
"268",-3477.196
"269",-3384.362
"270",-3335.462
"271",-3380.952
"272",-3381.988
"273",-3326.883
"274",-3177.001
"275",-3227.235
"276",-3495.643
"277",-3502.618
"278",-3461.082
"279",-3399.743
"280",-3144.772
"281",-3534.486
"282",-3489.027
"283",-3501.871
"284",-3496.113
"285",-3295.463
"286",-3463.692
"287",-3494.569
"288",-3298.776
"289",-3056.79
"290",-3132.055
"291",-3276.452
"292",-3508.755
"293",-3396.576
"294",-3395.864
"295",-3294.612
"296",-3299.006
"297",-3382.413
"298",-3367.661
"299",-3268.184
"300",-3504.049
"301",-3316.193
"302",-3296.288
"303",-3280.911
"304",-3303.178
"305",-3032.522
"306",-3356.883
"307",-3250.722
"308",-3550.386
"309",-3375.017
"310",-3356.364
"311",-3541.766
"312",-3307.867
"313",-3184.846
"314",-3345.993
"315",-3458.027
"316",-3553.982
"317",-3247.899
"318",-3418.038
"319",-3518.719
"320",-3244.038
"321",-3418.311
"322",-3377.237
"323",-3490.726
"324",-3390.994
"325",-3370.676
"326",-3287.563
"327",-3383.303
"328",-3511.301
"329",-3275.459
"330",-3439.835
"331",-3356.405
"332",-3409.232
"333",-3246.834
"334",-3448.39
"335",-3368.741
"336",-3355.645
"337",-3390.188
"338",-3484.977
"339",-3346.851
"340",-3270.705
"341",-3360.887
"342",-3342.522
"343",-3327.331
"344",-3316.959
"345",-3518.841
"346",-3492.574
"347",-3398.673
"348",-3279.103
"349",-3181.489
"350",-3429.373
"351",-3408.264
"352",-3292.312
"353",-3138.36
"354",-3373.374
"355",-3366.912
"356",-3163.322
"357",-3281.193
"358",-3380.495
"359",-3299.068
"360",-3334.66
"361",-3325.571
"362",-3355.821
"363",-3351.74
"364",-3409.451
"365",-3531.554
"366",-3160.718
"367",-3428.564
"368",-3197.352
"369",-3278.816
"370",-3192.777
"371",-3260.108
"372",-3682.447
"373",-3359.966
"374",-3346.719
"375",-3440.427
"376",-3157.33
"377",-3299.837
"378",-3413.069
"379",-3376.999
"380",-3160.136
"381",-3400.709
"382",-3261.418
"383",-3298.031
"384",-3275.802
"385",-3448.715
"386",-3226.225
"387",-3183.672
"388",-3255.725
"389",-3304.385
"390",-3328.556
"391",-3316.397
"392",-3409.503
"393",-3418.13
"394",-3317.988
"395",-3382.167
"396",-3305.697
"397",-3446.04
"398",-3334.834
"399",-3423.285
"400",-3457.414
"401",-3155.292
"402",-3310.228
"403",-3197.076
"404",-3554.999
"405",-3318.838
"406",-3422.058
"407",-3434.28
"408",-3392.282
"409",-3283.689
"410",-3310.801
"411",-3478.017
"412",-3432.83
"413",-3341.796
"414",-3422.472
"415",-3297.128
"416",-3336.395
"417",-3347.957
"418",-3385.721
"419",-3468.098
