"","x"
"1",-16757.088
"2",-17036.63
"3",-16782.585
"4",-16779.76
"5",-16747.274
"6",-16702.675
"7",-16893.634
"8",-16852.856
"9",-16929.837
"10",-16705.178
"11",-16947.106
"12",-17328.31
"13",-16790.739
"14",-17277.371
"15",-16965.785
"16",-16387.924
"17",-17232.633
"18",-16952.637
"19",-17057.357
"20",-16901.791
"21",-16434.625
"22",-17129.463
"23",-16902.152
"24",-16492.271
"25",-16723.587
"26",-16804.063
"27",-17096.936
"28",-16657.553
"29",-16824.824
"30",-16844.443
"31",-16622.376
"32",-16741.758
"33",-17141.225
"34",-16783.879
"35",-16766.629
"36",-16241.828
"37",-17034.929
"38",-16705.328
"39",-16468.678
"40",-16837.163
"41",-16595.336
"42",-16506.307
"43",-16472.195
"44",-16473.571
"45",-16770.759
"46",-16573.394
"47",-16716.961
"48",-17048.553
"49",-16941.829
"50",-16774.571
"51",-16574.633
"52",-17140.839
"53",-17126.115
"54",-16697.115
"55",-16382.322
"56",-16906.403
"57",-16781.614
"58",-16910.341
"59",-16689.022
"60",-16441.28
"61",-16774.19
"62",-16955.727
"63",-16998.177
"64",-16735.959
"65",-17005.532
"66",-16391.098
"67",-16802.368
"68",-16224.698
"69",-16834.615
"70",-17087.345
"71",-16174.82
"72",-16976.393
"73",-16422.692
"74",-16609.803
"75",-17077.683
"76",-16523.554
"77",-17011.871
"78",-16816.211
"79",-16890.967
"80",-16198.298
"81",-16552.712
"82",-16686.047
"83",-16713.386
"84",-16808.131
"85",-16736.419
"86",-17055.374
"87",-16724.941
"88",-16743.491
"89",-16982.339
"90",-16424.331
"91",-17092.677
"92",-16596.116
"93",-16880.828
"94",-16461.812
"95",-16732.048
"96",-16510.178
"97",-17321.592
"98",-16634.487
"99",-17193.236
"100",-16597.098
"101",-17115.961
"102",-16412.656
"103",-17008.522
"104",-17169.474
"105",-17328.842
"106",-15782.301
"107",-16839.703
"108",-17187.36
"109",-16962.203
"110",-17039.114
"111",-16551.119
"112",-16781.346
"113",-17180.639
"114",-16804.643
"115",-16997.115
"116",-17037.956
"117",-17212.045
"118",-16762.07
"119",-16737.694
"120",-16784.003
"121",-16832.537
"122",-16809.92
"123",-17192.039
"124",-16706.023
"125",-16824.419
"126",-17329.166
"127",-16923.092
"128",-16930.74
"129",-16693.204
"130",-16991.544
"131",-17269.264
"132",-17116.192
"133",-16684.461
"134",-16893.883
"135",-16891.752
"136",-16674.93
"137",-16734.448
"138",-16824.188
"139",-16847.649
"140",-17085.353
"141",-16998.429
"142",-17182.256
"143",-16769.176
"144",-16991.948
"145",-16764.714
"146",-16756.481
"147",-16507.047
"148",-16717.268
"149",-16705.964
"150",-16586.681
"151",-17336.98
"152",-16678.144
"153",-16290.541
"154",-16942.894
"155",-17231.217
"156",-16883.891
"157",-16403.949
"158",-16587.881
"159",-17248.493
"160",-16927.404
"161",-16806.546
"162",-16719.449
"163",-17126.014
"164",-16703.006
"165",-17183.949
"166",-16821.683
"167",-16936.057
"168",-16509.121
"169",-16843.682
"170",-16935.37
"171",-17408.742
"172",-17124.001
"173",-16657.948
"174",-16780.254
"175",-16370.172
"176",-16379.674
"177",-16593.204
"178",-16681.599
"179",-16494.143
"180",-17166.215
"181",-16581.254
"182",-16462.017
"183",-16754.688
"184",-16701.485
"185",-17248.861
"186",-16536.898
"187",-16693.204
"188",-16082.221
"189",-16531.433
"190",-16906.476
"191",-17173.234
"192",-16480.985
"193",-16807.782
"194",-16737.85
"195",-16826.281
"196",-16529.521
"197",-16553.783
"198",-17295.734
"199",-16555.618
"200",-16976.337
"201",-16766.128
"202",-16667.256
"203",-16709.262
"204",-16680.197
"205",-16903.468
"206",-16695.905
"207",-16955.623
"208",-16761.254
"209",-17329.925
"210",-16745.296
"211",-17302.631
"212",-16335.85
"213",-16911.504
"214",-15932.285
"215",-16688.729
"216",-17027.743
"217",-17016.996
"218",-16990.944
"219",-16797.714
"220",-17206.967
"221",-17015.184
"222",-16386.726
"223",-17060.534
"224",-17384.962
"225",-16751.488
"226",-17135.597
"227",-16958.166
"228",-17445.746
"229",-16663.479
"230",-16577.021
"231",-17048.401
"232",-16721.069
"233",-16947.18
"234",-16829.64
"235",-16639.021
"236",-16817.404
"237",-16598.867
"238",-16819.626
"239",-17175.899
"240",-16478.234
"241",-16684.771
"242",-16759.711
"243",-16853.362
"244",-16778.167
"245",-17022.292
"246",-16524.931
"247",-16949.541
"248",-16610.253
"249",-16726.436
"250",-16525.284
"251",-16563.93
"252",-17464.96
"253",-16620.16
"254",-16541.178
"255",-16661.297
"256",-16727.338
"257",-16654.944
"258",-17016.297
"259",-17256.058
"260",-17354.56
"261",-16831.157
"262",-16696.095
"263",-16346.165
"264",-16684.091
"265",-17023.262
"266",-16139.964
"267",-16642.721
"268",-16783.668
"269",-16626.754
"270",-16390.191
"271",-16760.662
"272",-16151.451
"273",-17168.534
"274",-16865.706
"275",-16477.467
"276",-16716.357
"277",-17209.406
"278",-17051.603
"279",-17232.995
"280",-16507.76
"281",-16541.214
"282",-17086.001
"283",-16735.928
"284",-17303.042
"285",-16593.751
"286",-16880.765
"287",-17076.272
"288",-16492.78
"289",-16719.731
"290",-16693.898
"291",-16514.017
"292",-16778.301
"293",-16626.707
"294",-16635.727
