"","x"
"1",-337944.313
"2",-336003.639
"3",-335469.239
"4",-335575.179
"5",-335972.325
"6",-335378.201
"7",-336929.309
"8",-337741.104
"9",-336336.019
"10",-336911.357
"11",-339059.386
"12",-336195.974
"13",-337158.34
"14",-336818.62
"15",-336979.662
"16",-336322.387
"17",-336127.878
"18",-335170.929
"19",-337987.686
"20",-335326.238
"21",-335711.067
"22",-336643.689
"23",-333695.974
"24",-337487.546
"25",-335222.128
"26",-335388.021
"27",-337835.397
"28",-336093.552
"29",-336509.373
"30",-335279.654
"31",-336334.135
"32",-335013.317
"33",-336340.567
"34",-335386.25
"35",-335413.222
"36",-336642.558
"37",-335437.949
"38",-335731.444
"39",-336383.605
"40",-337631.569
"41",-337660.667
"42",-337113.282
"43",-337085.012
"44",-337187.885
"45",-335883.53
"46",-335132.865
"47",-335612.934
"48",-338842.284
"49",-335943.054
"50",-336946.143
"51",-335475.122
"52",-334956.758
"53",-335930.773
"54",-335273.365
"55",-336607.875
"56",-334280.211
"57",-339085.547
"58",-336940.81
"59",-336504.101
"60",-336206.516
"61",-337795.772
"62",-335905.325
"63",-336676.837
"64",-337331.228
"65",-334908.43
"66",-336611.413
"67",-338369.334
"68",-336576.086
"69",-337678.709
"70",-336201.058
"71",-336911.567
"72",-336086.917
"73",-335184.632
"74",-336362.782
"75",-335911.96
"76",-337090.892
"77",-335903.079
"78",-336213.643
"79",-337066.428
"80",-333804.917
"81",-335751.677
"82",-334451.407
"83",-335659.562
"84",-336879.954
"85",-336426.194
"86",-336183.064
"87",-338767.121
"88",-339365.77
"89",-337198.813
"90",-338518.887
"91",-336775.79
"92",-335703.473
"93",-337598.328
"94",-335909.803
"95",-334936.991
"96",-336928.969
"97",-335430.638
"98",-336229.432
"99",-337324.028
"100",-337713.209
"101",-337435.506
"102",-334960.128
"103",-335880.1
"104",-335055.488
"105",-336448.185
"106",-336271.509
"107",-335338.681
"108",-337687.476
"109",-338208.842
"110",-336162.226
"111",-335848.63
"112",-337538.15
"113",-336297.448
"114",-335790.509
"115",-337559.756
"116",-336579.04
"117",-335118.874
"118",-336664.961
"119",-336614.202
"120",-335387.393
"121",-335522.531
"122",-334591.142
"123",-335437.713
"124",-335242.162
"125",-336836.989
"126",-336179.076
"127",-333844.436
"128",-337668.31
"129",-335467.799
"130",-337191.121
"131",-337909.214
"132",-336028.596
"133",-336855.009
"134",-335969.618
"135",-337980.182
"136",-335762.742
"137",-335122.107
"138",-334747.319
"139",-336460.152
"140",-334476.67
"141",-335605.062
"142",-334283.528
"143",-335909.355
"144",-335380.312
"145",-335389.506
"146",-334713.423
"147",-337359.862
"148",-335440.943
"149",-336211.88
"150",-335905.983
"151",-339499.598
"152",-335709.623
"153",-338872.516
"154",-336572.166
"155",-337339.474
"156",-337048.106
"157",-335784.768
"158",-336899.891
"159",-335594.495
"160",-337285.259
