"","x"
"1",-177781.648
"2",-177973.603
"3",-178518.803
"4",-179268.781
"5",-178663.417
"6",-179171.724
"7",-178440.441
"8",-178614.747
"9",-178181.464
"10",-179133.92
"11",-178535.358
"12",-178493.809
"13",-178456.889
"14",-178005.838
"15",-177962.265
"16",-178293.828
"17",-177855.098
"18",-178041.322
"19",-179470.63
"20",-178409.871
"21",-179148.297
"22",-178496.456
"23",-178207.351
"24",-177918.933
"25",-178054.858
"26",-178373.067
"27",-178416.552
"28",-178670.291
"29",-178943.91
"30",-179341.837
"31",-178710.294
"32",-179500.007
"33",-178169.118
"34",-179270.334
"35",-177841.457
"36",-177619.814
"37",-178962.528
"38",-178410.157
"39",-178895.361
"40",-180210.927
"41",-177827.328
"42",-177719.902
"43",-178604.441
"44",-179228.346
"45",-179099.124
"46",-177375.631
"47",-178923.831
"48",-177959.63
"49",-177810.252
"50",-179254.545
"51",-178621.297
"52",-178715.71
"53",-177605.052
"54",-178265.64
"55",-178538.273
"56",-179205.746
"57",-178527.841
"58",-178056.725
"59",-178457.991
"60",-179117.385
"61",-177568.329
"62",-178012.363
"63",-179180.528
"64",-178569.986
"65",-178717.626
"66",-178357.96
"67",-178092.914
"68",-177263.576
"69",-177519.783
"70",-179004.564
"71",-178344.974
"72",-179395.348
"73",-177655.113
"74",-177734.072
"75",-178681.781
"76",-177776.636
"77",-179146.848
"78",-178343.066
"79",-178386.438
"80",-178674.505
"81",-178050.86
"82",-178088.861
"83",-179311.352
"84",-177692.258
"85",-178747.187
"86",-178120.951
"87",-177735.144
"88",-179948.606
"89",-178846.108
"90",-177782.617
"91",-178165.738
"92",-179032.214
"93",-179194.667
"94",-179937.442
"95",-178200.158
"96",-178676.704
"97",-178627.141
"98",-178626.031
"99",-178433.182
"100",-178326.495
"101",-178544.807
"102",-178502.652
"103",-177710.743
"104",-177892.503
"105",-178861.051
"106",-179408.738
"107",-178323.287
"108",-177887.181
"109",-178710.745
"110",-178472.344
"111",-178314.813
"112",-178858.828
"113",-178702.015
"114",-178392.47
"115",-179604.283
"116",-178758.871
"117",-178357.097
"118",-177883.699
"119",-179045.126
"120",-179109.085
"121",-179168.639
"122",-177438.657
"123",-178456.817
"124",-177620.292
"125",-177547.586
"126",-179316.255
"127",-179575.143
"128",-178404.644
"129",-178367.484
"130",-179237.803
"131",-179035.03
"132",-177714.907
"133",-179783.663
"134",-179112.439
"135",-179628.83
"136",-178766.565
"137",-179330.914
"138",-177990.818
"139",-177735.94
"140",-178618.473
"141",-179523.028
"142",-178271.238
"143",-178208.046
"144",-178729.502
"145",-178989.516
"146",-179519.933
"147",-179639.405
"148",-179825.049
"149",-177634.486
"150",-178287.426
"151",-178368.38
"152",-178655.628
"153",-177586.823
"154",-179909.37
"155",-178118.983
"156",-178989.292
"157",-177943.638
"158",-178242.303
"159",-178597.152
"160",-179451.706
"161",-179183.131
"162",-178261.782
"163",-179109.736
"164",-177156.272
"165",-178478.14
"166",-179007.007
"167",-178567.627
"168",-178033.664
"169",-178858.479
"170",-178395.641
"171",-177924.351
"172",-177697.132
"173",-178290.848
"174",-179176.042
"175",-179109.728
"176",-178420.749
"177",-178081.647
"178",-178718.141
"179",-178776.375
"180",-178764.506
"181",-177483.401
"182",-176872.205
"183",-179502.691
"184",-178437.859
"185",-178480.498
"186",-178537.803
"187",-177999.302
"188",-177222.016
"189",-179187.736
"190",-178880.019
"191",-177952.443
"192",-178673.926
"193",-179386.076
"194",-178277.054
"195",-179461.24
"196",-179596.566
"197",-178364.563
"198",-177425.072
"199",-178268.974
"200",-178102.895
"201",-179089.84
"202",-180138.765
"203",-177590.614
"204",-178058.374
"205",-179228.419
"206",-177632.387
"207",-177625.757
"208",-176758.303
"209",-179963.442
"210",-179541.691
"211",-178080.569
"212",-178538.044
"213",-179828.939
"214",-178597.091
"215",-178408.879
"216",-179037.936
"217",-178617.31
"218",-178942.748
"219",-178437.959
"220",-178233.402
"221",-176731.863
"222",-178364.498
"223",-178231.855
"224",-178895.921
"225",-179353.441
"226",-178856.237
"227",-178363.001
"228",-178570.082
"229",-178469.077
"230",-178077.499
"231",-178383.094
"232",-178068.437
"233",-178311.356
"234",-178742.421
"235",-178736.343
"236",-179019.852
"237",-178497.03
"238",-178808.6
"239",-177779.164
"240",-178683.58
"241",-178611.499
"242",-179321.104
"243",-178355.998
"244",-178584.897
"245",-177898.426
"246",-177155.429
"247",-178574.101
"248",-178627.144
"249",-178509.723
"250",-179777.904
"251",-178373.96
"252",-179257.785
"253",-178909.51
"254",-179034.469
"255",-179939.488
"256",-177896.312
"257",-177041.112
"258",-178227.461
"259",-178011.809
"260",-178794.409
"261",-178244.249
"262",-176806.477
"263",-178686.318
"264",-178057.665
"265",-179047.664
"266",-177613.227
"267",-178432.034
"268",-178718.139
"269",-177371.332
"270",-177875.486
"271",-179223.261
"272",-178343.91
"273",-178453.594
"274",-178831.484
"275",-177851.679
"276",-178922.229
"277",-177827.723
"278",-178081.047
"279",-179003.524
"280",-179087.116
"281",-178909.601
"282",-178789.433
"283",-177882.721
"284",-179044.557
"285",-178562.068
"286",-178234.188
"287",-178828.407
"288",-178464.241
"289",-178962.973
"290",-179410.283
"291",-179331.931
"292",-179625.287
"293",-177975.283
"294",-179180.649
"295",-178098.156
"296",-179829.63
"297",-178668.447
"298",-177546.275
"299",-178662.982
"300",-178803.431
"301",-179256.126
"302",-178626.582
"303",-177028.903
"304",-178913.783
"305",-178761.185
"306",-178582.476
"307",-179263.122
"308",-178463.395
"309",-179992.306
"310",-178266.794
"311",-178474.189
"312",-179658.134
"313",-178521.165
"314",-177089.037
"315",-178770.426
"316",-179611.849
"317",-177901.993
"318",-177939.251
"319",-178616.721
"320",-179457.049
"321",-179359.068
"322",-178795.472
"323",-178376.928
"324",-178306.572
"325",-178695.415
"326",-178516.205
"327",-178225.267
"328",-179678.536
"329",-179148.549
"330",-178322.009
"331",-178662.963
"332",-177943.583
"333",-178858.132
"334",-179382.95
"335",-178875.35
"336",-178312.901
"337",-179246.872
"338",-178257.125
"339",-179064.652
"340",-178652.938
"341",-179096.303
"342",-179308.191
