"","x"
"1",-8964.338
"2",-8961.631
"3",-8773.956
"4",-9017.753
"5",-8738.036
"6",-8741.21
"7",-8879.051
"8",-9148.655
"9",-9090.402
"10",-8889.54
"11",-8873.098
"12",-8911.027
"13",-8853.902
"14",-8652.008
"15",-8834.498
"16",-8803.83
"17",-8980.764
"18",-8839.847
"19",-8824.484
"20",-9040.776
"21",-8887.351
"22",-8881.936
"23",-9124.549
"24",-9226.633
"25",-8747.496
"26",-9011.394
"27",-8968.982
"28",-8818.489
"29",-8803.422
"30",-8915.137
"31",-9092.671
"32",-9003.151
"33",-8730.386
"34",-9020.178
"35",-9141.791
"36",-8961.279
"37",-8927.467
"38",-8899.535
"39",-8900.462
"40",-9032.766
"41",-8994.44
"42",-8921.488
"43",-9149.248
"44",-9018.14
"45",-8908.873
"46",-8949.928
"47",-9063.89
"48",-8880.532
"49",-9197.858
"50",-8749.508
"51",-9085.211
"52",-8901.943
"53",-9009.83
"54",-8877.325
"55",-9330.622
"56",-8837.051
"57",-9049.669
"58",-9261.334
"59",-8950.639
"60",-9134.489
"61",-8932.434
"62",-8964.276
"63",-8949.909
"64",-8938.929
"65",-8900.654
"66",-9153.318
"67",-8910.485
"68",-9123.754
"69",-8568.596
"70",-8871.223
"71",-8861.132
"72",-8978.057
"73",-8959.999
"74",-8796.703
"75",-9001.106
"76",-8992.604
"77",-8570.961
"78",-8815.333
"79",-9159.53
"80",-8792.682
"81",-8758.561
"82",-8814.373
"83",-8616.666
"84",-8849.157
"85",-8894.548
"86",-8932.158
"87",-8910.343
"88",-8835.975
"89",-8791.655
"90",-8818.497
"91",-8950.079
"92",-9132.895
"93",-8948.219
"94",-8985.273
"95",-8850.413
"96",-9159.468
"97",-9246.861
"98",-8902.843
"99",-9032.884
"100",-8640.496
"101",-9127.984
"102",-9001.671
"103",-9063.863
"104",-8965.001
"105",-9141.113
"106",-8786.674
"107",-8858.437
"108",-8577.424
"109",-9112.733
"110",-9238.847
"111",-8863.873
"112",-8951.179
"113",-8915.816
"114",-9018.242
"115",-8868.286
"116",-8558.333
"117",-9106.141
"118",-8836.423
"119",-9119.907
"120",-8948.043
"121",-9002.909
"122",-8970.892
"123",-9003.394
"124",-8885.969
"125",-8909.086
"126",-8733.707
"127",-9172.211
"128",-8850.083
"129",-8912.222
"130",-9064.3
"131",-8761.525
"132",-9316.161
"133",-9096.607
"134",-8942.863
"135",-8970.958
"136",-8996.593
"137",-8692.362
"138",-8956.41
"139",-9099.894
"140",-8894.061
"141",-8572.78
"142",-8615.479
"143",-8893.72
"144",-8915.547
"145",-8883.621
"146",-9129.199
"147",-9036.113
"148",-8881.494
"149",-8825.763
"150",-8982.743
"151",-8900.106
"152",-8933.794
"153",-8960.551
"154",-8864.319
"155",-8910.818
"156",-9080.442
"157",-9085.69
"158",-9104.178
"159",-9158.997
"160",-8882.071
"161",-8941.992
"162",-8788.404
"163",-9065.659
"164",-8642.56
"165",-8879.622
"166",-9011.474
"167",-9034.714
"168",-8713.218
"169",-8888.354
"170",-9021.166
"171",-8786.858
"172",-9043.314
"173",-9098.647
"174",-8976.177
"175",-8950.088
"176",-9175.627
"177",-8899.15
"178",-8942.414
"179",-8813.613
"180",-8943.534
"181",-8972.831
"182",-8975.239
"183",-8778.521
"184",-8864.591
"185",-8462.758
"186",-8934.047
"187",-8843.005
"188",-9206.876
"189",-8915.371
"190",-8891.67
"191",-9069.337
"192",-8899.691
"193",-8938.176
"194",-8802.718
"195",-8954.587
"196",-9108.625
"197",-8880.425
"198",-9059.202
"199",-8823.078
"200",-8478.061
"201",-8915.161
"202",-9109.544
"203",-8967.895
"204",-8787.21
"205",-8849.25
"206",-8734.738
"207",-8814.416
"208",-9024.98
"209",-8871.497
"210",-8819.578
"211",-8896.545
"212",-8842.141
"213",-8899.183
"214",-8770.794
"215",-8992.122
"216",-9057.825
"217",-8944.894
"218",-8846.595
"219",-8808.908
"220",-9146.134
"221",-8967.78
"222",-8793.023
"223",-8905.211
"224",-8737.454
"225",-8792.974
"226",-8998.441
"227",-8897.667
"228",-8973.573
"229",-8978.277
"230",-8870.305
"231",-8804.01
"232",-8906.605
"233",-8941.148
"234",-8762.722
"235",-9006.638
"236",-8859.547
"237",-8920.629
"238",-9227.887
"239",-9008.576
"240",-9075.104
"241",-8978.455
"242",-8926.655
"243",-8804.417
"244",-8966.122
"245",-8912.775
"246",-8656.388
"247",-8887.252
"248",-8908.383
"249",-8826.533
"250",-8908.99
"251",-9181.271
"252",-8726.949
"253",-9125.715
"254",-8900.168
"255",-8817.932
"256",-8874.852
"257",-8861.805
"258",-9000.428
"259",-8983.988
"260",-9026.144
"261",-8855.905
"262",-9116.189
"263",-9082.119
"264",-9132.103
"265",-8842.503
"266",-8688.635
"267",-9087.077
"268",-8606.32
"269",-8937.783
"270",-8960.584
"271",-8876.006
"272",-8932.337
"273",-8757.233
"274",-9007.744
"275",-8830.496
"276",-8991.971
"277",-8867.475
"278",-9030.616
"279",-8748.466
"280",-8854.192
"281",-8504.258
"282",-8985.254
"283",-8834.474
"284",-8797.006
"285",-9111.173
"286",-8944.363
"287",-8692.781
"288",-8938.703
"289",-8843.307
"290",-8926.126
"291",-8966.553
"292",-8689.1
"293",-8865.158
"294",-8906.352
"295",-8817.549
"296",-8941.392
"297",-8980.467
"298",-9133.944
"299",-8838.875
"300",-8890.365
"301",-9041.403
"302",-8985.194
"303",-8881.841
"304",-8735.347
"305",-8877.956
"306",-8999.756
"307",-9005.51
"308",-8745.758
"309",-8816.056
