"","x"
"1",-1664.11
"2",-3257.275
"3",-547.648
"4",-2472.897
"5",-1268.531
"6",-3484.865
"7",-2521.187
"8",-626.478
"9",-1758.438
"10",-662.84
"11",-3385.08
"12",-3089.981
"13",-5502.466
"14",-6030.089
"15",-1797.897
"16",-788.774
"17",-2141.544
"18",-2406.15
"19",-897.681
"20",-5617.1
"21",-1874.994
"22",-3028.287
"23",-1170.193
"24",-2200.684
"25",-2399.43
"26",-4019.9
"27",-881.481
"28",-3294.619
"29",-929.008
"30",-4947.268
"31",-2432.676
"32",-547.233
"33",-2874.064
"34",-6878.854
"35",-3687.997
"36",-1589.712
"37",-783.51
"38",-2288.284
"39",-683.483
"40",-1442.681
"41",-2773.254
"42",-2130.24
"43",-1221.251
"44",-1896.616
"45",-1998.267
"46",-2932.293
"47",-5469.166
"48",-1347.358
"49",-2198.309
"50",-1460.237
"51",-2033.122
"52",-787.957
"53",-834.26
"54",-1362.072
"55",-2004.019
"56",-2883.797
"57",-1378.615
"58",-9997.058
"59",-1865.209
"60",-1127.037
"61",-1347.952
"62",-2803.95
"63",-2838.19
"64",-5936.024
"65",-2814.433
"66",-1717.671
"67",-640.974
"68",-1878.886
"69",-3142.378
"70",-3820.064
"71",-1535.488
"72",-1538.467
"73",-2102.173
"74",-3353.855
"75",-2585.001
"76",-2159.522
"77",-1344.466
"78",-1212.246
"79",-3131.418
"80",-6981.818
"81",-2864.01
"82",-1102.524
"83",-3336.023
"84",-2193.738
"85",-600.428
"86",-2066.607
"87",-2868.9
"88",-4768.815
"89",-4763.434
"90",-1500.396
"91",-1913.147
"92",-1212.923
"93",-1277.941
"94",-949.894
"95",-2097.422
"96",-2538.726
"97",-1888.585
"98",-2789.645
"99",-5644.288
"100",-2014.288
"101",-6649.044
"102",-2069.97
"103",-1174.941
"104",-2901.808
"105",-944.113
"106",-2827.135
"107",-2212.461
"108",-1975.33
"109",-767.185
"110",-2646.446
"111",-3556.072
"112",-5682.815
"113",-1739.376
"114",-824.67
"115",-3854.06
"116",-4573.156
"117",-996.895
"118",-3524.104
"119",-3018.909
"120",-733.189
"121",-1021.108
"122",-8749.311
"123",-965.876
"124",-1248.163
"125",-5663.413
"126",-1080.636
"127",-4892.102
"128",-3732.808
"129",-1228.59
"130",-2970.939
"131",-2260.132
"132",-9447.526
"133",-929.637
"134",-2562.894
"135",-2579.457
"136",-1965.243
"137",-2473.098
"138",-2605.662
"139",-1395.349
"140",-1861.811
"141",-1230.391
"142",-2564.436
"143",-1504.079
"144",-1094.242
"145",-572.044
"146",-1849.807
"147",-658.979
"148",-1327.396
"149",-4808.885
"150",-1627.288
"151",-3349.908
"152",-1249.436
"153",-3406.293
"154",-2831.917
"155",-1141.341
"156",-3182.301
"157",-817.243
"158",-1019.195
"159",-4245.809
"160",-1601.72
"161",-1601.832
"162",-2408.03
"163",-5388.359
"164",-2340.238
"165",-5044.299
"166",-1505.084
"167",-1057.636
"168",-2746.083
"169",-6582.216
"170",-956.543
"171",-613.554
"172",-2889.493
"173",-932.31
"174",-4986.058
"175",-2646.973
"176",-7969.032
"177",-933.668
"178",-4680.622
"179",-784.885
"180",-3415.054
"181",-1606.841
"182",-1306.077
"183",-4632.423
"184",-2034.179
"185",-2748.525
"186",-1855.338
"187",-4387.538
"188",-2152.284
"189",-1950.522
"190",-1306.924
"191",-2232.528
"192",-1199.948
"193",-4746.769
"194",-4805.708
"195",-2576.854
"196",-552.907
"197",-393.933
"198",-913.617
"199",-832.504
"200",-3535.226
"201",-3517.279
"202",-6276.47
"203",-3672.31
"204",-1954.986
"205",-1637.899
"206",-950.327
"207",-2518.186
"208",-1822.981
"209",-1327.424
"210",-1260.492
"211",-917.05
"212",-4888.409
"213",-730.827
"214",-2646.037
"215",-5312.241
"216",-3744.169
"217",-592.557
"218",-5152.128
"219",-3843.193
"220",-1391.246
"221",-1002.22
"222",-6436.3
"223",-4879.487
"224",-2625.45
"225",-3257.857
"226",-2163.212
"227",-1944.643
"228",-2471.717
"229",-4282.135
"230",-2534.356
"231",-763.994
"232",-6327.336
"233",-2894.435
"234",-1143.385
"235",-2357.246
"236",-2992.048
"237",-2990.349
"238",-3885.582
"239",-2962.468
"240",-2134.111
"241",-1804.61
"242",-1191.061
"243",-2172.898
"244",-7476.593
"245",-1535.551
"246",-2720.974
"247",-3195.719
"248",-1968.664
"249",-7470.299
"250",-5404.829
"251",-749.211
"252",-2408.253
"253",-7193.24
"254",-2500.314
"255",-3088.307
"256",-3303.079
"257",-2885.735
"258",-4755.927
"259",-1551.974
"260",-3221.339
"261",-2657.928
"262",-1799.827
"263",-895.765
"264",-1718.877
"265",-8583.728
"266",-2128.43
"267",-4158.029
"268",-1001.4
"269",-3568.594
"270",-3307.506
"271",-3895.604
"272",-3360.479
"273",-3571.105
"274",-1859.797
"275",-1175.955
"276",-691.099
"277",-2534.841
"278",-1152.996
"279",-5174.86
"280",-2975.371
"281",-2304.972
"282",-4560.921
"283",-4583.25
"284",-2005.884
"285",-1642.199
"286",-3113.056
"287",-770.662
"288",-1435.847
"289",-6448.938
"290",-2404.714
"291",-946.01
"292",-780.826
"293",-3930.752
"294",-2094.092
"295",-1503.445
"296",-1641.623
"297",-2691.517
"298",-1440.481
"299",-2174.342
"300",-2198.295
"301",-2386.056
"302",-671.402
"303",-1989.273
"304",-1196.032
"305",-2209.074
"306",-1947.061
"307",-2382.552
"308",-2303.59
"309",-3021.318
"310",-753.127
"311",-2051.308
"312",-4437.775
"313",-2567.9
"314",-4546.982
"315",-2430.4
"316",-6844.441
"317",-3227.903
"318",-2899.086
"319",-1783.815
"320",-4607.8
"321",-3859.959
"322",-1534.224
"323",-776.167
"324",-1224.802
"325",-3314.076
"326",-1613.977
"327",-377.449
"328",-1420.7
"329",-9868.166
"330",-3021.314
"331",-3408.362
"332",-954.827
"333",-3422.075
"334",-1376.511
"335",-1478.008
"336",-651.126
"337",-2051.125
"338",-2528.251
"339",-3898.088
"340",-2740.784
"341",-7274.746
"342",-3519.914
"343",-2508.912
"344",-1049.54
"345",-3190.929
"346",-6567.357
"347",-2422.736
"348",-2488.283
"349",-2112.461
"350",-3063.397
"351",-2050.216
"352",-1734.712
"353",-1727.079
"354",-2335.642
"355",-2016.468
"356",-1655.646
"357",-5897.075
"358",-2400.101
"359",-3394.312
"360",-1917.364
"361",-4519.806
"362",-744.454
"363",-2176.98
"364",-3996.192
"365",-877.34
"366",-2030.876
"367",-2487.941
"368",-8688.562
"369",-1258.524
"370",-2564.515
"371",-4459.395
"372",-3947.396
"373",-1933.637
"374",-2073.097
"375",-1259.178
"376",-4552.43
"377",-1973.244
"378",-797.587
"379",-927.432
"380",-3003.779
"381",-1032.361
"382",-2656.986
"383",-1581.351
"384",-3554.747
"385",-5430.222
"386",-2311.767
"387",-5292.689
"388",-1744.334
"389",-1538.845
"390",-794.456
"391",-644.412
"392",-1557.801
"393",-1288.597
"394",-2600.12
"395",-5178.447
"396",-4228.995
"397",-2694.064
"398",-2497.52
"399",-1117.274
"400",-1529.211
"401",-2590.868
"402",-2336.017
"403",-1253.896
"404",-2496.714
"405",-1759.257
"406",-12317.03
"407",-2846.881
"408",-3971.451
"409",-5802.097
"410",-3734.701
"411",-4897.906
"412",-2032.545
"413",-2088.578
