"","x"
"1",-1706.116085
"2",-3340.315419
"3",-556.666306
"4",-2557.21421
"5",-1278.638888
"6",-3504.662036
"7",-2531.729927
"8",-629.202259
"9",-1820.387403
"10",-670.130098
"11",-3394.225417
"12",-3093.937338
"13",-5474.093261
"14",-6008.590851
"15",-1996.657443
"16",-791.510486
"17",-2138.415046
"18",-2413.10229
"19",-909.248493
"20",-5623.04192
"21",-1882.158657
"22",-3017.118581
"23",-1178.381369
"24",-2205.257201
"25",-2443.638875
"26",-4004.787951
"27",-888.516656
"28",-3294.74331
"29",-972.196889
"30",-5287.619923
"31",-2427.366205
"32",-551.870706
"33",-3106.549851
"34",-6884.883019
"35",-3693.050625
"36",-1630.980713
"37",-811.582751
"38",-2294.401109
"39",-716.07829
"40",-1447.682493
"41",-2861.340601
"42",-2138.564203
"43",-1228.480495
"44",-1902.23734
"45",-2049.358992
"46",-2931.845257
"47",-5497.091378
"48",-1354.636264
"49",-2211.892015
"50",-1462.737245
"51",-2077.966026
"52",-796.033266
"53",-846.995397
"54",-1369.583779
"55",-2049.12151
"56",-2889.969566
"57",-1383.462446
"58",-10207.24142
"59",-1915.32514
"60",-1132.925402
"61",-1348.233271
"62",-2811.27054
"63",-2907.467592
"64",-6452.301926
"65",-2820.224241
"66",-1724.837099
"67",-659.52058
"68",-1882.598861
"69",-3139.971022
"70",-4121.241957
"71",-1556.402156
"72",-1544.010387
"73",-2139.580402
"74",-3378.703782
"75",-2597.998959
"76",-2176.084203
"77",-1348.788791
"78",-1219.189796
"79",-3135.773565
"80",-6997.55979
"81",-2866.428776
"82",-1111.039668
"83",-3348.433542
"84",-2217.131882
"85",-608.659816
"86",-2069.242913
"87",-2891.285359
"88",-4776.758237
"89",-4797.942896
"90",-1527.879212
"91",-1923.799799
"92",-1226.952314
"93",-1297.687129
"94",-965.701094
"95",-2097.855111
"96",-2542.456311
"97",-1899.682865
"98",-2799.49895
"99",-5643.122037
"100",-2061.310875
"101",-6642.059502
"102",-2081.792148
"103",-1183.820005
"104",-2910.816579
"105",-951.190834
"106",-2835.680556
"107",-2219.194079
"108",-1981.721394
"109",-771.737768
"110",-2656.686517
"111",-3557.528813
"112",-5795.066304
"113",-1747.28391
"114",-830.428413
"115",-3873.260934
"116",-4577.111253
"117",-1002.37468
"118",-3528.998262
"119",-3021.735355
"120",-747.572066
"121",-1023.641786
"122",-8757.151055
"123",-985.490675
"124",-1248.443475
"125",-5813.211098
"126",-1085.829878
"127",-4904.208454
"128",-3737.009245
"129",-1253.292473
"130",-2974.964874
"131",-2275.320501
"132",-9722.539996
"133",-944.102372
"134",-2569.801479
"135",-2590.546073
"136",-1964.487008
"137",-2481.578421
"138",-2662.130323
"139",-1402.035164
"140",-1921.203466
"141",-1233.454381
"142",-2551.802255
"143",-1506.596423
"144",-1103.913667
"145",-587.388808
"146",-1854.759982
"147",-667.322705
"148",-1332.868609
"149",-4817.151708
"150",-1630.000118
"151",-3364.481451
"152",-1258.716845
"153",-3407.221377
"154",-2837.754745
"155",-1145.400907
"156",-3186.871066
"157",-819.987167
"158",-1026.955868
"159",-4231.892914
"160",-1611.744834
"161",-1613.856617
"162",-2397.951654
"163",-5386.226806
"164",-2347.32981
"165",-5064.609767
"166",-1510.637528
"167",-1069.609072
"168",-2796.176377
"169",-6591.470867
"170",-959.92879
"171",-619.672323
"172",-2989.427456
"173",-936.110452
"174",-4994.781267
"175",-2652.494795
"176",-7975.214888
"177",-936.748769
"178",-4686.115435
"179",-790.727979
"180",-3419.432919
"181",-1615.651847
"182",-1331.152193
"183",-4636.164785
"184",-2093.254186
"185",-2760.209893
"186",-1864.922726
"187",-4400.741417
"188",-2159.031549
"189",-2045.49285
"190",-1338.839705
"191",-2229.003356
"192",-1212.803448
"193",-4755.209336
"194",-4808.216113
"195",-2642.749206
"196",-584.669831
"197",-405.710566
"198",-936.154221
"199",-834.805388
"200",-3546.937905
"201",-3522.233685
"202",-6274.464805
"203",-3674.900509
"204",-1963.428992
"205",-1643.107158
"206",-949.429385
"207",-2523.148377
"208",-1875.226342
"209",-1319.787919
"210",-1283.708895
"211",-915.644814
"212",-4871.730046
"213",-737.763114
"214",-2714.524075
"215",-5402.514276
"216",-3762.772532
"217",-597.622742
"218",-5156.185682
"219",-3841.334454
"220",-1396.632313
"221",-1007.657506
"222",-6445.738842
"223",-5000.173176
"224",-2632.277099
"225",-3261.100352
"226",-2162.432085
"227",-1955.029858
"228",-2490.09864
"229",-4287.447251
"230",-2589.525145
"231",-770.521125
"232",-6344.952663
"233",-2902.879705
"234",-1152.154489
"235",-2378.565474
"236",-2995.648327
"237",-2996.779748
"238",-3901.369872
"239",-2964.938302
"240",-2205.158563
"241",-1837.337104
"242",-1195.121698
"243",-2178.997828
"244",-7491.349171
"245",-1545.556747
"246",-2726.074034
"247",-3206.564513
"248",-2005.844752
"249",-7464.392538
"250",-5513.733695
"251",-775.955039
"252",-2412.29181
"253",-7201.894227
"254",-2510.059166
"255",-3097.060015
"256",-3303.90582
"257",-2904.043822
"258",-4757.114965
"259",-1560.83834
"260",-3222.041042
"261",-2663.360577
"262",-1821.335746
"263",-898.435832
"264",-1725.587644
"265",-8577.060492
"266",-2139.957305
"267",-4220.726074
"268",-1003.608839
"269",-3639.189979
"270",-3417.196145
"271",-3892.965953
"272",-3369.937986
"273",-3543.594335
"274",-1904.312574
"275",-1182.646201
"276",-694.350544
"277",-2544.368888
"278",-1162.935187
"279",-5285.021231
"280",-2978.461419
"281",-2328.024242
"282",-4538.374051
"283",-4590.664872
"284",-2015.20448
"285",-1645.920701
"286",-3121.31539
"287",-772.481843
"288",-1439.601702
"289",-6459.622466
"290",-2409.944341
"291",-955.441958
"292",-789.46569
"293",-3936.62931
"294",-2107.349879
"295",-1508.632971
"296",-1694.760054
"297",-2698.244615
"298",-1480.162741
"299",-2185.652187
"300",-2225.73943
"301",-2392.298408
"302",-691.855065
"303",-2017.759581
"304",-1228.260767
"305",-2402.217491
"306",-1995.791865
"307",-2436.103218
"308",-2312.165578
"309",-3025.285037
"310",-756.440346
"311",-2059.146124
"312",-4448.332487
"313",-2580.714529
"314",-4552.880559
"315",-2497.372221
"316",-7001.139819
"317",-3306.989104
"318",-2949.675418
"319",-1791.337024
"320",-4594.597776
"321",-3860.240675
"322",-1541.107118
"323",-783.969501
"324",-1226.884197
"325",-3319.800546
"326",-1635.703805
"327",-379.887242
"328",-1422.914219
"329",-9871.248959
"330",-3028.788449
"331",-3411.823351
"332",-980.332813
"333",-3486.197338
"334",-1390.127828
"335",-1480.592525
"336",-653.884338
"337",-2046.176376
"338",-2516.810721
"339",-3909.665694
"340",-2747.237016
"341",-7417.154353
"342",-3526.753865
"343",-2513.396736
"344",-1082.501357
"345",-3195.238279
"346",-6557.866847
"347",-2477.522658
"348",-2491.946272
"349",-2121.227163
"350",-3280.723152
"351",-2058.631799
"352",-1764.282106
"353",-1772.140935
"354",-2892.338131
"355",-2052.365781
"356",-1658.741521
"357",-5905.420494
"358",-2454.251794
"359",-3487.667798
"360",-1919.022341
"361",-4623.118275
"362",-748.031108
"363",-2225.370448
"364",-4003.335893
"365",-884.347957
"366",-2034.264163
"367",-2498.524589
"368",-8914.615963
"369",-1271.802054
"370",-2573.211808
"371",-4542.894136
"372",-3956.057471
"373",-1932.627871
"374",-2077.664345
"375",-1297.323805
"376",-4559.166596
"377",-1981.440016
"378",-803.499302
"379",-949.980546
"380",-3011.600599
"381",-1038.681422
"382",-2665.811366
"383",-1578.42476
"384",-3684.278123
"385",-5434.79361
"386",-2319.131479
"387",-5491.205479
"388",-1895.038188
"389",-1537.735714
"390",-803.871049
"391",-689.34976
"392",-1564.170754
"393",-1283.717967
"394",-2656.918698
"395",-5263.420037
"396",-4217.369641
"397",-2700.823586
"398",-2510.95999
"399",-1127.236664
"400",-1537.441806
"401",-2673.595059
"402",-2342.465332
"403",-1280.816126
"404",-2502.495921
"405",-1757.965127
"406",-12342.396507
"407",-2855.460534
"408",-3976.259463
"409",-5806.032327
"410",-3736.769483
"411",-4978.28802
"412",-2024.085426
"413",-2096.872898
"414",-7307.247231
"415",-2408.237268
"416",-3463.582939
"417",-5923.397314
"418",-691.534848
"419",-1621.732286
"420",-2277.684437
"421",-1380.43883
"422",-1208.294371
"423",-1102.459601
"424",-968.094967
"425",-6419.632156
"426",-1458.429736
"427",-1537.615418
"428",-1652.490256
"429",-5396.922019
"430",-1314.284981
"431",-2681.893513
"432",-2251.162697
"433",-1569.23637
"434",-1255.456174
"435",-4395.006436
"436",-2800.723428
"437",-2660.457027
"438",-2945.431734
"439",-7300.323444
"440",-4394.635593
"441",-1582.515356
"442",-760.039571
"443",-2260.014844
"444",-6343.54051
"445",-20679.858693
"446",-1674.315889
"447",-2617.358917
"448",-749.279309
"449",-1731.471852
"450",-3529.430048
"451",-4680.96441
"452",-1626.111547
"453",-3909.043202
"454",-4242.474611
"455",-883.569091
"456",-1116.372397
"457",-1697.517493
"458",-618.854127
"459",-2563.752683
"460",-688.729938
"461",-2501.80285
"462",-2940.967307
"463",-2066.374321
"464",-4415.134302
"465",-914.768829
"466",-1231.342002
"467",-2139.110662
"468",-1457.39186
"469",-3557.713314
"470",-2795.74635
"471",-2642.830975
"472",-2944.828339
"473",-1136.580858
"474",-2293.412196
"475",-2669.422601
"476",-933.625523
"477",-3450.745723
"478",-864.030893
"479",-853.146727
"480",-4341.776883
"481",-1778.70938
"482",-5083.097127
"483",-2882.590979
"484",-1052.148536
"485",-1336.33684
"486",-1325.990863
"487",-5312.217964
"488",-2815.677993
"489",-3284.372715
"490",-1279.343513
"491",-2182.027296
"492",-2180.695274
"493",-2169.849173
"494",-1050.956129
"495",-860.137605
"496",-1517.463778
"497",-808.961602
"498",-5463.113058
"499",-3362.674103
"500",-2937.918866
"501",-776.686108
"502",-2809.235073
"503",-1216.129958
"504",-2957.589256
"505",-1933.539625
"506",-2524.844413
"507",-1793.866815
"508",-674.143064
"509",-2058.939417
"510",-4387.738547
"511",-11372.267612
"512",-5973.158745
"513",-2383.631367
"514",-497.421051
"515",-3272.655699
"516",-1922.856183
"517",-1676.628385
"518",-3179.412574
"519",-1093.068069
"520",-2531.089046
"521",-4810.22642
"522",-5101.900304
"523",-5774.622706
"524",-903.8634
"525",-2654.961451
"526",-1898.450464
"527",-4301.4709
"528",-1805.07525
"529",-6115.212019
"530",-4554.214995
"531",-1722.11881
"532",-2378.718056
"533",-6258.774358
"534",-3244.270068
"535",-2119.674726
"536",-1982.28438
"537",-5170.996915
"538",-1669.532566
"539",-6167.304371
"540",-986.925687
"541",-1186.32855
"542",-1558.762455
"543",-1909.606366
"544",-2210.041007
"545",-953.058549
"546",-2765.912415
"547",-2329.77755
"548",-929.321042
"549",-4610.447793
"550",-2238.208826
"551",-760.666814
"552",-2812.791716
"553",-3299.823821
"554",-669.540684
"555",-4042.233706
"556",-6340.220069
"557",-2725.506734
"558",-11126.302544
"559",-2497.668004
"560",-2837.302909
"561",-2199.593669
"562",-2440.544744
"563",-4035.363432
"564",-2791.904177
"565",-1248.886624
"566",-2809.694684
"567",-4879.128932
"568",-4563.526468
"569",-5439.060114
"570",-3750.550127
"571",-1948.067841
"572",-3080.444262
"573",-627.141179
"574",-686.366892
"575",-3560.007191
"576",-2978.861946
"577",-2409.541153
"578",-2967.615339
"579",-1019.836938
"580",-1259.263666
"581",-851.645985
"582",-484.82378
"583",-1051.730465
"584",-2079.748912
"585",-1097.501082
"586",-2597.314764
"587",-2521.822542
"588",-1755.547318
"589",-2849.201504
"590",-3472.795857
"591",-4016.183758
"592",-2050.982777
"593",-2742.953634
"594",-2433.493903
"595",-2629.50306
"596",-4119.989415
"597",-1289.432196
"598",-2141.860613
"599",-3112.286923
"600",-2514.142172
"601",-1011.733237
"602",-1668.01024
"603",-2184.846166
"604",-4124.235751
"605",-2933.178888
"606",-1502.321563
"607",-3735.785007
"608",-4341.312852
"609",-3227.265055
"610",-2588.591947
"611",-757.739938
"612",-7522.948886
"613",-3511.962158
"614",-1338.402541
"615",-3233.717281
"616",-1732.764884
"617",-5935.953666
"618",-5865.315103
"619",-1639.198872
"620",-3865.44786
"621",-1054.85954
"622",-6128.844975
"623",-1787.873636
"624",-5402.756193
"625",-2378.160694
"626",-1648.175284
"627",-1046.818858
"628",-6498.999784
"629",-2486.172534
"630",-2246.412258
"631",-7374.262365
"632",-4971.167035
"633",-1988.821351
"634",-3594.229209
"635",-2503.44332
"636",-1728.665547
"637",-1367.540701
"638",-1951.698235
"639",-1523.391249
"640",-3760.189434
