"","x"
"1",-12506.567
"2",-12474.558
"3",-12773.584
"4",-12547.398
"5",-12805.51
"6",-12421.967
"7",-12558.459
"8",-12884.151
"9",-12536.479
"10",-12622.076
"11",-12574.103
"12",-12737.87
"13",-12525.761
"14",-12409.859
"15",-12380.196
"16",-12603.06
"17",-12579.727
"18",-12540.828
"19",-12392.281
"20",-12492.545
"21",-12607.778
"22",-12813.568
"23",-12545.27
"24",-12600.133
"25",-12202.837
"26",-12370.907
"27",-12782.311
"28",-12538.26
"29",-12523.492
"30",-12501.915
"31",-12332.398
"32",-12579.017
"33",-12525.246
"34",-12633.461
"35",-12588.746
"36",-12443.716
"37",-12785.082
"38",-12416.116
"39",-12633.742
"40",-12313.376
"41",-12588.318
"42",-12507.589
"43",-12549.477
"44",-12520.567
"45",-12303.587
"46",-12330.656
"47",-12450.354
"48",-12697.03
"49",-12330.166
"50",-12667.214
"51",-12637.001
"52",-12485.747
"53",-12343.555
"54",-12891.911
"55",-12788.806
"56",-12517.919
"57",-12608.61
"58",-12681.783
"59",-12588.225
"60",-12467.807
"61",-12504.365
"62",-12536.376
"63",-12492.006
"64",-12714.061
"65",-12343.013
"66",-12628.408
"67",-12575.436
"68",-12739.083
"69",-12649.617
"70",-12266.53
"71",-12696.711
"72",-12502.894
"73",-12285.965
"74",-12755.338
"75",-12684.581
"76",-12730.668
"77",-12783.285
"78",-12413.709
"79",-12557.115
"80",-12654.256
"81",-12791.392
"82",-12647.666
"83",-12608.896
"84",-12560.029
"85",-12624.144
"86",-12393.173
"87",-12455.576
"88",-12567.872
"89",-12860.482
"90",-12678.956
"91",-12423.351
"92",-12439.791
"93",-12410.487
"94",-12800.497
"95",-12712.093
"96",-12737.79
"97",-12185.426
"98",-11999.345
"99",-12241.941
"100",-12732.804
"101",-12519.109
"102",-12764.617
"103",-12780.568
"104",-12453.05
"105",-12404.974
"106",-12551.22
"107",-12281.096
"108",-12483.476
"109",-12434.183
"110",-12669.03
"111",-12508.373
"112",-12690.746
"113",-12729.626
"114",-12778.677
"115",-12568.549
"116",-12460.19
"117",-12455.808
"118",-12672.402
"119",-12798.516
"120",-12611.189
"121",-12578.971
"122",-12633.613
"123",-12434.015
"124",-12581.858
"125",-12702.777
"126",-12082.679
"127",-12533.657
"128",-12647.442
"129",-13067.099
"130",-12634.18
"131",-12486.051
"132",-12545.738
"133",-12682.974
"134",-12468.034
"135",-12640.244
"136",-12598.34
"137",-12529.736
"138",-12778.692
"139",-12792.607
"140",-12656.464
"141",-12365.591
"142",-12658.245
"143",-12641.688
"144",-12815.658
"145",-12428.373
"146",-12728.738
"147",-12680.558
"148",-12587.033
"149",-12893.698
"150",-12602.629
"151",-12819.197
"152",-12833.81
"153",-12598.727
"154",-12682.872
"155",-12730.072
"156",-12724.828
"157",-12571.963
"158",-12746.325
"159",-12610.672
"160",-12473.248
"161",-12314.552
"162",-12402.366
"163",-12820.224
"164",-12435.845
"165",-12967.822
"166",-12833.014
"167",-12649.801
"168",-12380.19
"169",-12736.28
"170",-12672.029
"171",-12545.831
"172",-12704.482
"173",-12376.182
"174",-12577.645
"175",-12691.244
"176",-12668.458
"177",-12576.551
"178",-12417.457
"179",-12384.912
"180",-12589.881
"181",-12521.641
"182",-12649.523
"183",-12395.626
"184",-12871.759
"185",-12730.734
"186",-12655.371
"187",-12640.46
"188",-12807.709
"189",-12574.336
"190",-12313.742
"191",-12318.567
"192",-12777.772
"193",-12524.286
"194",-12776.22
"195",-12526.204
"196",-12146.049
"197",-12597.738
"198",-12778.413
"199",-12600.911
"200",-12173.412
"201",-12452.684
"202",-12429
"203",-12402.123
"204",-12400.577
"205",-12570.235
"206",-12727.568
"207",-12835.376
"208",-12486.884
"209",-12663.176
"210",-12503.958
"211",-12575.414
"212",-12504.032
"213",-12547.92
"214",-12684.113
"215",-12509.312
"216",-12759.858
"217",-12507.799
"218",-12652.075
"219",-12603.359
"220",-12364.081
"221",-12268.784
"222",-12617.836
