"","x"
"1",-14081.175
"2",-14150.805
"3",-14149.602
"4",-13914.119
"5",-13936.635
"6",-14185.081
"7",-14054.825
"8",-14188.427
"9",-14458.703
"10",-14594.223
"11",-13911.744
"12",-14435.692
"13",-14227.923
"14",-13931.31
"15",-14275.79
"16",-14089.495
"17",-13825.529
"18",-14012.107
"19",-14173.607
"20",-14252.697
"21",-14241.597
"22",-14217.778
"23",-14057.337
"24",-14149.957
"25",-14402.674
"26",-14263.531
"27",-14229.942
"28",-14006.542
"29",-14098.543
"30",-14313.198
"31",-14130.291
"32",-14439.932
"33",-14225.884
"34",-14290.572
"35",-14222.033
"36",-14190.184
"37",-14136.207
"38",-13849.698
"39",-14048.946
"40",-14370.442
"41",-13904.537
"42",-14274.757
"43",-14107.213
"44",-14105.147
"45",-14137.755
"46",-13916.337
"47",-14207.203
"48",-14138.426
"49",-14134.556
"50",-14164.145
"51",-14089.433
"52",-14011.947
"53",-14396.619
"54",-14309.958
"55",-14099.425
"56",-14256.092
"57",-14089.043
"58",-14624.801
"59",-14292.253
"60",-14062.202
"61",-14143.365
"62",-14483.903
"63",-14394.809
"64",-14159.83
"65",-13978.963
"66",-14154.62
"67",-14188.154
"68",-14434.424
"69",-13827.7
"70",-14206.153
"71",-14192.138
"72",-14313.149
"73",-14234.387
"74",-14257.916
"75",-14173.711
"76",-14221.311
"77",-14175.978
"78",-13884.031
"79",-14202.325
"80",-14240.937
"81",-13989.677
"82",-13989.771
"83",-14427.792
"84",-13849.268
"85",-13990.08
"86",-14419.583
"87",-14085.264
"88",-14095.131
"89",-14249.377
"90",-14206.474
"91",-14117.173
"92",-13983.931
"93",-14126.055
"94",-14175.902
"95",-14384.698
"96",-14197.597
"97",-14210.922
"98",-14070.795
"99",-14134.68
"100",-13954.369
"101",-14377.128
"102",-14159.761
"103",-14340.258
"104",-14200.305
"105",-14107.16
"106",-14511.841
"107",-14278.541
"108",-14372.755
"109",-14050.15
"110",-14472.367
"111",-14129.2
"112",-14259.596
"113",-14140.157
"114",-14116.06
"115",-14416.051
"116",-14245.788
"117",-14367.652
"118",-14286.827
"119",-14100.185
"120",-14064.137
"121",-14080.573
"122",-13862.105
"123",-14145.903
"124",-14008.271
"125",-14268.206
"126",-14088.182
"127",-14187.536
"128",-14007.628
"129",-14211.251
"130",-14402.99
"131",-14270.613
"132",-14074.267
"133",-14174.345
"134",-14433.019
"135",-14055.61
"136",-13991.536
"137",-14457.742
"138",-14031.157
"139",-14305.412
"140",-14412.532
"141",-14243.279
"142",-14011.008
"143",-14232.967
"144",-14276.581
"145",-14360.655
"146",-14248.203
"147",-13725.484
"148",-14147.485
"149",-14626.423
"150",-14338.277
"151",-14114.109
"152",-14091.992
"153",-14368.44
"154",-14304.365
"155",-14122.693
"156",-14029.025
"157",-13854.715
"158",-13994.416
"159",-14173.92
"160",-14361.88
"161",-14142.187
"162",-14219.598
"163",-14057.515
"164",-14119.125
"165",-14064.748
"166",-14119.075
"167",-14065.769
"168",-14114.955
"169",-14556.178
"170",-13905.951
"171",-14310.684
"172",-14202.189
"173",-14153.07
"174",-14186.45
"175",-14112.665
"176",-14157.411
"177",-14113.67
"178",-14046.76
"179",-14351.706
"180",-13776.776
"181",-14359.535
"182",-14312.081
"183",-14017.78
"184",-14208.634
"185",-14182.508
"186",-14093.423
"187",-14068.075
"188",-14081.082
"189",-14062.123
"190",-14312.278
"191",-14379.9
"192",-13880.306
"193",-14104.114
"194",-14567.2
"195",-13941.123
"196",-14405.514
"197",-14100.5
"198",-14009.88
"199",-14234.145
"200",-13977.7
"201",-14328.645
"202",-14130.926
"203",-14171.481
"204",-14115.872
"205",-14062.866
"206",-13995.462
"207",-14240.522
"208",-14269.818
"209",-14341.259
"210",-14154.036
"211",-14104.533
"212",-14396.82
"213",-14290.437
"214",-14098.763
"215",-13998.527
"216",-14023.157
"217",-14279.774
"218",-14269.389
"219",-14318.64
"220",-14153.089
"221",-14199.563
"222",-13898.394
"223",-14325.247
"224",-14348.236
"225",-14187.051
"226",-14306.396
"227",-14089.271
"228",-14248.124
"229",-14298.372
"230",-14176.157
"231",-14264.922
"232",-14272.68
"233",-14267.099
"234",-14341.638
"235",-14028.001
"236",-14030.433
"237",-14376.805
"238",-14219.294
"239",-14386.69
"240",-14429.342
"241",-14099.685
"242",-14645.448
"243",-14495.747
"244",-14203.842
"245",-14339.509
"246",-14048.009
"247",-14315.1
"248",-14088.583
"249",-14072.477
"250",-14029.083
"251",-14097.295
"252",-13903.689
"253",-13869.919
"254",-14226.594
"255",-14389.573
"256",-14228.449
"257",-14219.851
"258",-13816.966
"259",-14529.135
"260",-14439.904
"261",-14108.959
"262",-13806.153
"263",-14115.096
"264",-13987.711
"265",-14275.983
"266",-14304.079
"267",-14408.221
"268",-14249.45
"269",-14364.627
"270",-14068.703
"271",-13908.335
"272",-13951.657
"273",-14147.051
"274",-14091.7
"275",-13998.726
"276",-14381.023
"277",-14327.628
"278",-14245.83
"279",-14350.436
"280",-14217.122
"281",-14106.158
"282",-14449.665
"283",-14339.342
"284",-14198.157
"285",-14159.676
"286",-14140.163
"287",-14122.729
"288",-14442.317
"289",-14231.895
"290",-14105.819
"291",-13963.219
"292",-14156.215
"293",-13847.316
"294",-14166.125
"295",-14286.438
"296",-14350.076
"297",-13995.109
"298",-14302.424
"299",-14345.67
"300",-14115.567
"301",-14128.659
"302",-14007.686
"303",-14141.935
"304",-14120.84
"305",-14331.208
"306",-14033.504
"307",-14162.299
"308",-14137.725
"309",-14277.073
"310",-14347.438
"311",-14391.152
"312",-13957.123
"313",-14295.854
"314",-14442.179
"315",-14039.027
"316",-14405.839
"317",-14009.72
"318",-14040.044
"319",-14006.388
"320",-14274.185
"321",-14110.599
"322",-13912.535
"323",-13695.731
"324",-14252.2
"325",-14297.454
"326",-14020.963
"327",-14093.713
"328",-14125.644
"329",-13980.137
"330",-14109.056
"331",-13928.178
"332",-14027.456
"333",-14073.301
"334",-14494.941
"335",-14002.108
"336",-14136.341
"337",-14419.506
"338",-14187.666
"339",-13815.745
"340",-14451.72
"341",-14366.38
"342",-14023.742
"343",-14360.029
"344",-14032.1
"345",-14232.884
"346",-14196.539
"347",-14054.503
"348",-13968.315
"349",-14235.023
"350",-14137.178
"351",-14110.157
"352",-13733.655
"353",-13873.769
"354",-14134.523
"355",-14203.254
"356",-14323.421
"357",-14251.111
"358",-14067.984
"359",-14169.594
"360",-13904.73
"361",-14247.222
"362",-14118.623
"363",-14265.635
"364",-14233.198
"365",-13979.641
"366",-14017.224
"367",-13917.251
"368",-14272.516
"369",-14077.421
"370",-14056.217
"371",-14002.611
"372",-13787.353
"373",-14449.697
"374",-14312.782
"375",-14143.816
"376",-14107.325
"377",-14052.561
"378",-14144.694
"379",-14319.312
"380",-14342.975
"381",-14128.839
"382",-14411.834
"383",-14109.866
"384",-14185.282
"385",-14288.772
"386",-13917.578
"387",-14189.801
"388",-14157.776
"389",-14531.506
"390",-14305.808
"391",-14202.612
"392",-13971.828
"393",-14171.471
"394",-13863.336
"395",-14312.347
"396",-14321.128
"397",-14070.353
"398",-14300.415
"399",-14100.673
"400",-14427.266
"401",-14387.348
"402",-14263.063
"403",-14116.748
"404",-14222.741
"405",-13814.684
"406",-14313.554
"407",-14001.875
"408",-14294.114
"409",-14439.579
"410",-14447.411
"411",-14179.994
"412",-14030.153
"413",-14311.906
"414",-13910.587
"415",-14203.439
"416",-14112.748
"417",-14124.384
"418",-14070.254
"419",-14296.057
"420",-14216.094
"421",-14302.969
"422",-14099.59
"423",-14255.464
"424",-13940.284
"425",-14232.519
"426",-14323.189
"427",-14282.931
"428",-14422.715
"429",-14502.817
"430",-14290.407
"431",-14059.7
"432",-13984.678
"433",-14171.158
"434",-14147.373
"435",-13887.023
"436",-14086.702
"437",-14249.276
"438",-13889.064
"439",-14591.416
"440",-14310.438
"441",-14039.675
"442",-14296.295
"443",-14329.443
"444",-14399.819
"445",-14127.21
"446",-13922.494
"447",-14162.68
"448",-14179.31
"449",-14488.681
"450",-13954.166
"451",-14320.896
"452",-14137.874
"453",-14166.903
"454",-13987.391
"455",-13882.694
"456",-14126.801
"457",-14156.889
"458",-14216.668
"459",-14431.234
"460",-14035.311
"461",-14160.338
"462",-14632.125
"463",-14096.729
"464",-14410.1
"465",-13999.631
"466",-14102.25
"467",-13929.53
"468",-14058.364
"469",-14132.604
"470",-13958.358
"471",-14144.652
"472",-14245.639
"473",-14159.662
"474",-14019.073
"475",-14400.758
"476",-14098.574
"477",-13625.531
"478",-13691.91
"479",-14322.031
"480",-14209.158
"481",-14155.928
"482",-14031.982
"483",-14101.256
"484",-14529.567
"485",-14143.553
"486",-14162.293
"487",-14022.268
"488",-14305.266
"489",-14021.773
"490",-14336.072
"491",-14396.854
"492",-14188.683
"493",-13790.664
"494",-14485.136
"495",-13931.114
"496",-13796.483
"497",-14128.585
"498",-14243.919
"499",-13988.375
"500",-14229.92
"501",-14075.348
"502",-14031.566
"503",-14267.629
"504",-14088.223
"505",-13908.633
"506",-14182.153
"507",-14139.414
"508",-14082.19
"509",-13732.245
"510",-14072.591
"511",-14203.242
"512",-14126.75
"513",-14074.126
"514",-14145.705
"515",-14178.665
"516",-14195.438
"517",-14022.06
"518",-14088.102
"519",-13837.171
"520",-14406.771
"521",-14349.123
"522",-14011.484
"523",-13906.527
"524",-13865.432
"525",-14241.245
"526",-14261.425
"527",-14317.623
"528",-14212.525
"529",-14101.738
"530",-14251.16
"531",-14145.477
"532",-14135.046
"533",-14348.402
"534",-14196.431
"535",-13962.545
"536",-14307.641
"537",-14261.714
"538",-14284.624
"539",-14055.878
"540",-14039.184
"541",-14095.22
"542",-13696.234
"543",-14674.589
"544",-14049.145
"545",-14353.279
"546",-14123.207
"547",-14361.495
"548",-13879.575
"549",-14321.45
"550",-13921.865
"551",-14242.382
"552",-14083.152
"553",-14396.612
"554",-13996.133
"555",-14452.357
"556",-14351.543
"557",-14162.557
"558",-14343.099
"559",-14036.65
"560",-13924.175
"561",-13972.793
"562",-14226.488
"563",-14139.457
"564",-13782.852
"565",-14142.215
"566",-14357.318
"567",-14303.007
"568",-14322.954
"569",-14103.332
"570",-14147.768
"571",-14355.352
"572",-13927.737
"573",-14236.056
"574",-14411.707
"575",-14151.84
"576",-14296.593
"577",-14181.577
"578",-14205.653
"579",-13865.149
"580",-14407.872
"581",-14313.886
"582",-14438.272
"583",-14233.535
"584",-14272.959
"585",-14010.672
"586",-13939.369
"587",-14188.981
"588",-14035.303
"589",-14020.793
"590",-14150.574
"591",-14400.891
"592",-14020.309
"593",-14186.243
"594",-14169.936
"595",-14438.215
"596",-14073.991
"597",-14226.782
"598",-14161.96
"599",-14097.766
"600",-14131.536
"601",-14173.183
"602",-14255.345
"603",-14181.919
"604",-14345.112
"605",-13926.034
"606",-14013.775
