"","x"
"1",-8833.895
"2",-9024.003
"3",-9098.21
"4",-8866.749
"5",-8857.754
"6",-8648.039
"7",-8878.753
"8",-8798.763
"9",-9105.526
"10",-8994.308
"11",-8835.297
"12",-9079.671
"13",-8976.847
"14",-9163.296
"15",-8860.961
"16",-8680.436
"17",-9047.155
"18",-8970.261
"19",-9035.298
"20",-8896.282
"21",-8941.523
"22",-8956.938
"23",-8892.096
"24",-8856.602
"25",-8834.17
"26",-8761.671
"27",-8894.584
"28",-9004.02
"29",-9021.123
"30",-8696.979
"31",-9161.368
"32",-8698.178
"33",-9141.857
"34",-9023.325
"35",-8897.108
"36",-8932.508
"37",-8686.446
"38",-9003.47
"39",-8986.495
"40",-9001.659
"41",-9169.338
"42",-9033.673
"43",-8721.981
"44",-8672.451
"45",-9105.798
"46",-8933.208
"47",-9000.219
"48",-8800.058
"49",-8985.232
"50",-8917.278
"51",-8837.415
"52",-9108.327
"53",-8731.579
"54",-8918.338
"55",-8909.33
"56",-8983.779
"57",-8960.159
"58",-8845.598
"59",-8908.863
"60",-8606.517
"61",-9005.437
"62",-8794.819
"63",-9108.778
"64",-8917.84
"65",-9088.24
"66",-9077.109
"67",-8595.875
"68",-8782.348
"69",-8786.961
"70",-9093.889
"71",-8889.817
"72",-8722.492
"73",-8760.234
"74",-8901.212
"75",-9007.532
"76",-9207.281
"77",-8994.469
"78",-8713.364
"79",-8782.656
"80",-9004.428
"81",-8829.622
"82",-8899.964
"83",-8877.937
"84",-8698.051
"85",-8904.892
"86",-8793.131
"87",-8819.714
"88",-8932.421
"89",-9076.68
"90",-8812.139
"91",-9161.786
"92",-8882.657
"93",-8863.423
"94",-8603.547
"95",-8908.658
"96",-9038.124
"97",-9076.737
"98",-8859.81
"99",-8601.697
"100",-8963.275
"101",-8768.833
"102",-8876.913
"103",-9125.704
"104",-9068.083
"105",-8843.059
"106",-8735.317
"107",-8931.039
"108",-8856.34
"109",-9034.859
"110",-8959.642
"111",-8997.845
"112",-8835.039
"113",-9091.54
"114",-8854.167
"115",-8916.435
"116",-9028.153
"117",-8891.872
"118",-8986.811
"119",-9211.964
"120",-8876.845
"121",-9154.76
"122",-8701.506
"123",-8905.835
"124",-8815.033
"125",-8748.822
"126",-8930.001
"127",-8756.955
"128",-8676.666
"129",-8945.299
"130",-9007.962
"131",-9045.44
"132",-8599.416
"133",-8821.886
"134",-9024.833
"135",-9089.24
"136",-8663.912
"137",-8946.826
"138",-8972.571
"139",-8899.504
"140",-8802.108
"141",-8853.469
"142",-8904.497
"143",-8920.705
"144",-8854.222
"145",-9154.213
"146",-9079.415
"147",-8817.021
"148",-8802.696
"149",-8916.414
"150",-8734.788
"151",-9024.485
"152",-8821.373
"153",-9142.544
"154",-8843.986
"155",-8916.477
"156",-8848.01
"157",-8868.038
"158",-8868.007
"159",-8606.287
"160",-9067.905
"161",-8601.872
"162",-9156.247
"163",-8724.22
"164",-8706.758
"165",-9038.44
"166",-9169.506
"167",-8884.472
"168",-8647.026
"169",-8935.529
"170",-8690.876
"171",-9137.858
"172",-9000.799
"173",-8881.359
"174",-8924.945
"175",-8920.462
"176",-8844.773
"177",-9041.327
"178",-8755.246
"179",-9093.923
"180",-9203.626
"181",-8780.618
"182",-8827.939
"183",-8681.848
"184",-9108.075
"185",-8982.173
"186",-9012.471
"187",-9022.756
"188",-8889.974
"189",-9173.947
"190",-9003.961
"191",-8987.794
"192",-8922.125
"193",-8774.889
"194",-9042.891
"195",-9179.746
"196",-8762.228
"197",-8911.585
"198",-8718.647
"199",-8879.632
"200",-8783.921
"201",-8951.907
"202",-8740.97
"203",-8902.342
"204",-9001.019
"205",-9051.255
"206",-8606.43
"207",-8794.274
"208",-8845.708
"209",-9065.582
"210",-8715.153
"211",-9174.357
"212",-8943.166
"213",-8905.367
"214",-8707.931
"215",-8974.545
"216",-8815.81
"217",-9101.616
"218",-8998.243
"219",-8828.994
"220",-8973.356
"221",-8882.85
"222",-9040.223
"223",-8942.917
"224",-8878.235
"225",-9124.445
"226",-8721.936
"227",-9163.475
"228",-8633.17
"229",-9032.544
"230",-8736.85
"231",-9022.064
"232",-8918.188
"233",-9123.794
"234",-8755.186
"235",-8928.115
"236",-8624.44
"237",-8920.709
"238",-8878.73
"239",-9014.122
"240",-8783.999
"241",-8931.793
"242",-8927.357
"243",-8690.932
"244",-8769.409
"245",-8999.328
"246",-9163.734
"247",-8650.609
"248",-8982.274
"249",-8999.048
"250",-8798.128
"251",-8940.272
"252",-8929.693
"253",-8813.256
"254",-8631.906
"255",-8953.153
"256",-9105.312
"257",-8794.551
"258",-9180.477
"259",-8949.378
"260",-8952.61
"261",-8942.902
"262",-8789.281
"263",-8671.546
"264",-8665.312
"265",-8819.843
"266",-8670.655
"267",-8908.322
"268",-8949.364
"269",-9051.84
"270",-8905.19
"271",-8939.936
"272",-9203.405
"273",-9018.101
"274",-9161.62
"275",-8844.068
"276",-9150.103
"277",-8770.65
"278",-9019.91
"279",-8881.718
"280",-9086.351
"281",-8620.428
"282",-8891.686
"283",-8771.528
"284",-8857.548
"285",-9122.604
"286",-8791.678
"287",-8627.692
"288",-8490.445
"289",-8718.769
"290",-9100.075
"291",-8914.347
"292",-8587.532
"293",-9051.885
"294",-9041.779
"295",-9063.108
"296",-9058.215
"297",-8557.192
"298",-8830.45
"299",-8845.048
"300",-8736.979
"301",-8624.821
"302",-8757.544
"303",-9114.479
"304",-8835.834
"305",-8898.822
"306",-8913.805
"307",-8880.372
"308",-9099.835
"309",-8717.737
"310",-8845.099
"311",-8780.203
"312",-8766.972
"313",-8990.466
"314",-8972.706
"315",-8876.376
"316",-9081.783
"317",-8921.48
"318",-8850.487
"319",-9085.089
"320",-9011.686
"321",-8688.908
"322",-8744.514
"323",-8906.564
"324",-8890.206
"325",-8923.967
"326",-8843.287
"327",-9008.326
"328",-9020.28
"329",-8817.067
"330",-8906.468
"331",-8957.669
"332",-8832.308
"333",-8836.138
"334",-8933.718
"335",-8949.909
"336",-8901.173
"337",-9100.491
"338",-8891.245
"339",-8743.944
"340",-9160.144
"341",-8922.759
"342",-8688.928
"343",-8814.848
"344",-8762.886
"345",-8813.78
"346",-8887.66
"347",-9029.054
"348",-9095.195
"349",-9241.117
"350",-9058.177
"351",-8846.599
"352",-8887.463
"353",-8985.553
"354",-8895.31
"355",-9020.89
"356",-8941.698
"357",-8816.82
"358",-8590.979
"359",-8907.778
"360",-8992.009
"361",-8732.23
"362",-8860.601
"363",-8985.695
"364",-9143.392
"365",-8861.291
"366",-8913.425
"367",-9131.583
"368",-8623.532
"369",-8883.329
"370",-8833.803
"371",-8824.452
"372",-8915.785
"373",-8848.256
"374",-8816.6
"375",-8860.809
"376",-8731.506
"377",-9051.63
"378",-9229.744
"379",-9137.76
"380",-8823.993
"381",-8833.711
"382",-8702.299
"383",-8916.097
"384",-8803.732
"385",-8925.419
"386",-8952.656
"387",-8955.232
"388",-8742.892
"389",-9041.182
"390",-9019.781
"391",-9164.379
"392",-9176.363
"393",-8849.722
"394",-8859.115
"395",-8938.356
"396",-8997.772
"397",-9094.319
"398",-8887.071
"399",-8994.474
"400",-8899.515
"401",-9112.302
"402",-9152.043
"403",-9036.205
"404",-9030.758
"405",-8716.101
"406",-8970.749
"407",-9129.323
"408",-9082.002
"409",-8578.034
"410",-9108.396
"411",-9009.132
"412",-9098.536
"413",-8720.85
"414",-8911.917
"415",-9016.73
"416",-8834.847
"417",-8662.319
"418",-9078.243
"419",-9015.576
"420",-8876.577
"421",-8934.354
"422",-9029.767
"423",-8833.051
"424",-8743.224
"425",-8897.266
"426",-9025.112
"427",-8681.308
"428",-9054.55
"429",-8886.802
"430",-9189.029
"431",-8855.092
"432",-8955.98
"433",-9152.963
"434",-9033.44
"435",-9022.124
"436",-8802.955
"437",-8814.333
"438",-8918.376
"439",-8704.294
"440",-8880.238
"441",-9093.839
"442",-8759.699
"443",-9032.896
"444",-9003.362
"445",-8819.134
"446",-8739.741
"447",-8603.258
"448",-8700.834
"449",-8815.892
"450",-8872.178
"451",-9045.349
"452",-8738.626
"453",-9174.14
"454",-8880.398
"455",-8952.409
"456",-8978.068
"457",-8957.409
"458",-9217.815
"459",-8764.827
"460",-9024.057
"461",-8903.5
"462",-8846.9
"463",-9201.952
"464",-8878.394
"465",-8965.858
"466",-9167.423
"467",-8872.881
"468",-8961.425
"469",-9105.606
"470",-8933.111
"471",-8915.858
"472",-8803.85
"473",-8971.704
"474",-8706.359
"475",-9029.904
"476",-8816.065
"477",-8825.84
"478",-9028.256
"479",-8852.046
"480",-9308.725
"481",-8988.216
"482",-8971.753
"483",-8935.554
"484",-8840.986
"485",-8753.282
"486",-9005.97
"487",-9038.359
"488",-8896.738
"489",-8796.202
"490",-8783.917
"491",-8819.868
"492",-8714.874
"493",-8934.698
"494",-8826.11
"495",-8852.311
"496",-9159.355
"497",-8833.489
"498",-8870.846
"499",-9024.936
"500",-8813.024
"501",-8975.634
"502",-9147.688
"503",-8774.736
"504",-8812.855
"505",-8759.217
"506",-8926.307
"507",-9028.788
"508",-8960.267
"509",-8717.534
"510",-9106.258
"511",-8916.401
"512",-8780.885
"513",-8846.135
"514",-8851.521
"515",-8782.525
"516",-8809.253
"517",-8663.033
"518",-9106.979
"519",-8970.854
"520",-8808.882
"521",-9006.217
"522",-9023.458
"523",-8777.421
"524",-8788.029
"525",-8877.143
"526",-9125.809
"527",-8843.347
"528",-8958.979
"529",-9062.568
"530",-9080.79
"531",-8978.111
"532",-8930.711
"533",-8868.293
"534",-8984.216
"535",-8821.858
"536",-8877.289
"537",-8793.172
"538",-9058.996
"539",-8652.224
"540",-8875.612
"541",-8587.994
"542",-9046.875
"543",-8975.062
"544",-9029.248
"545",-8810.394
"546",-8593.592
"547",-8867.518
"548",-8836.158
"549",-9036.307
"550",-8996.259
"551",-8901.764
"552",-8726.615
"553",-8748.428
"554",-9024.941
"555",-8843.043
"556",-8816.144
"557",-8981.496
"558",-8870.821
"559",-8726.81
"560",-8830.373
"561",-8953.727
"562",-8803.571
"563",-9094.567
"564",-8678.433
"565",-8968.327
"566",-8659.886
"567",-8925.171
"568",-8722.303
"569",-9101.238
"570",-8988.713
"571",-8976.041
"572",-9029.074
"573",-9096.837
"574",-8985.659
"575",-8870.927
"576",-8993.344
"577",-8789.087
"578",-8859.719
"579",-8771.018
"580",-8880.757
"581",-8898.316
"582",-8919.507
"583",-9074.814
"584",-8961.707
"585",-8899.099
"586",-8968.693
"587",-9084.883
"588",-9233.878
"589",-8963.874
"590",-8713.024
"591",-9117.213
"592",-8767.035
"593",-8914.599
"594",-9035.821
"595",-8913.813
"596",-8949.849
"597",-8831.941
"598",-8865.45
"599",-8813.885
"600",-9027.577
"601",-9072.288
"602",-8873.188
"603",-8772.129
"604",-8830.747
"605",-8735.954
"606",-8858.76
"607",-9089.151
"608",-8864.38
"609",-8869.77
"610",-8754.325
"611",-9087.334
"612",-9041.544
"613",-8874.13
"614",-8842.185
"615",-8845.104
"616",-8989.35
"617",-8916.623
"618",-8685.704
"619",-8921.791
"620",-8875.601
"621",-9027.31
"622",-8881.44
"623",-8916.898
"624",-9173.514
"625",-9030.503
"626",-9163.519
"627",-8944.319
"628",-8975.826
"629",-9024.558
"630",-8895.022
"631",-8597.335
"632",-8908.88
"633",-8679.716
"634",-8774.334
"635",-8759.088
"636",-8974.437
"637",-8957.775
"638",-8843.75
"639",-8869.916
"640",-8810.42
"641",-8939.2
"642",-8780.519
"643",-9106.853
"644",-8855.298
"645",-8901.639
"646",-9096.519
"647",-8922.724
"648",-8928.69
"649",-9190.939
"650",-8555.965
"651",-8907.032
"652",-8743.775
"653",-8536.128
"654",-9131.217
"655",-8917.591
"656",-9200.824
"657",-8980.71
"658",-9132.3
"659",-8702.977
"660",-8947.686
"661",-9090.151
"662",-8764.434
"663",-8923.16
"664",-8790.609
"665",-8966.95
"666",-8679.906
