"","x"
"1",-7824.278
"2",-7629.058
"3",-7639.193
"4",-7700.05
"5",-7596.279
"6",-7634.79
"7",-7641.597
"8",-7560.221
"9",-7493.925
"10",-7606.704
"11",-7623.77
"12",-7589.915
"13",-7661.762
"14",-7517.656
"15",-7628.903
"16",-7428.429
"17",-7832.94
"18",-7664.864
"19",-7561.239
"20",-7610.451
"21",-7800.75
"22",-7634.707
"23",-7535.018
"24",-7711.914
"25",-7737.272
"26",-7542.473
"27",-7841.671
"28",-7758.815
"29",-7712.817
"30",-7613.464
"31",-7792.836
"32",-7796.563
"33",-7765.23
"34",-7786.393
"35",-7533.69
"36",-7646.849
"37",-7636.606
"38",-7671.675
"39",-7549.992
"40",-7550.794
"41",-7503.491
"42",-7780.441
"43",-7498.797
"44",-7656.807
"45",-7681.568
"46",-7619.993
"47",-7639.922
"48",-7833.851
"49",-7634.407
"50",-7714.729
"51",-7679.891
"52",-7619.737
"53",-7671.58
"54",-7577.968
"55",-7608.496
"56",-7672.354
"57",-7627.535
"58",-7738.612
"59",-7681.075
"60",-7474.64
"61",-7635.379
"62",-7696.035
"63",-7698.075
"64",-7630.259
"65",-7564.531
"66",-7698.956
"67",-7719.647
"68",-7652.402
"69",-7779.87
"70",-7738.012
"71",-7640.899
"72",-7699.394
"73",-7539.538
"74",-7766.441
"75",-7742.253
"76",-7692.668
"77",-7756.446
"78",-7421.362
"79",-7598.393
"80",-7816.846
"81",-7607.179
"82",-7763.885
"83",-7575.565
"84",-7692.976
"85",-7755.613
"86",-7693.265
"87",-7583.776
"88",-7608.665
"89",-7635.786
"90",-7637.691
"91",-7544.173
"92",-7712.17
"93",-7730.157
"94",-7550.822
"95",-7759.412
"96",-7588.847
"97",-7669.879
"98",-7734.079
"99",-7531.311
"100",-7641.534
"101",-7678.448
"102",-7586.016
"103",-7652.019
"104",-7621.761
"105",-7519.542
"106",-7593.371
"107",-7631.09
"108",-7653.227
"109",-7713.757
"110",-7695.927
"111",-7601.746
"112",-7723.121
"113",-7485.379
"114",-7647.609
"115",-7556.959
"116",-7622.477
"117",-7667.727
"118",-7552.548
"119",-7649.151
"120",-7642.781
"121",-7580.098
"122",-7525.816
"123",-7761.119
"124",-7652.191
"125",-7736.688
"126",-7701.012
"127",-7904.874
"128",-7687.235
"129",-7581.762
"130",-7646.876
"131",-7886.23
"132",-7638.673
"133",-7726.404
"134",-7541.401
"135",-7465.826
"136",-7512.963
"137",-7635.294
"138",-7652.344
"139",-7610.522
"140",-7677.472
"141",-7566.519
"142",-7417.697
"143",-7649.364
"144",-7709.613
"145",-7694.958
"146",-7668.207
"147",-7514.323
"148",-7547.75
"149",-7514.124
"150",-7634.997
"151",-7575.275
"152",-7624.667
"153",-7586.943
"154",-7750.581
"155",-7733.75
"156",-7646.425
"157",-7675.805
"158",-7788.986
"159",-7756.346
"160",-7685.786
"161",-7746.246
"162",-7675.556
"163",-7414.229
"164",-7522.403
"165",-7826.519
"166",-7722.182
"167",-7592.018
"168",-7645.707
"169",-7637.429
"170",-7702.027
"171",-7670.644
"172",-7583.074
"173",-7538.197
"174",-7552.032
"175",-7581.885
"176",-7528.21
"177",-7688.851
"178",-7637.716
"179",-7599.021
"180",-7558.304
"181",-7543.522
"182",-7648.999
"183",-7656.521
"184",-7769.443
"185",-7674.736
"186",-7785.092
"187",-7680.389
"188",-7653.514
"189",-7483.116
"190",-7746.572
"191",-7681.114
"192",-7692.995
"193",-7542.475
"194",-7717.763
"195",-7732.617
"196",-7657.085
"197",-7720.051
"198",-7686.759
"199",-7645.158
"200",-7641.16
"201",-7608.815
"202",-7618.57
"203",-7554.261
"204",-7599.749
"205",-7623.064
"206",-7596.502
"207",-7702.576
"208",-7570.958
"209",-7790.205
"210",-7737.061
"211",-7666.674
"212",-7521.853
"213",-7667.478
"214",-7742.981
"215",-7677.768
"216",-7649.632
"217",-7662.845
"218",-7805.024
"219",-7677.27
"220",-7646.982
"221",-7656.319
"222",-7629.698
"223",-7463.578
"224",-7602.905
"225",-7604.349
"226",-7824.412
"227",-7776.835
"228",-7836.691
"229",-7664.066
"230",-7673.348
"231",-7812.978
"232",-7699.603
"233",-7828.964
"234",-7510.826
"235",-7766.749
"236",-7642.523
"237",-7608.371
"238",-7581.833
"239",-7612.637
"240",-7616.625
"241",-7575.177
"242",-7673.914
"243",-7656.627
"244",-7770.598
"245",-7600.375
"246",-7583.737
"247",-7629.404
"248",-7582.826
"249",-7573.508
"250",-7591.015
"251",-7686.438
"252",-7625.867
"253",-7546.724
"254",-7555.632
"255",-7633.339
"256",-7555.937
"257",-7719.922
"258",-7591.262
"259",-7621.711
"260",-7640.137
"261",-7629.871
"262",-7729.961
"263",-7605.359
"264",-7636.194
"265",-7726.978
"266",-7701.105
"267",-7707.242
"268",-7673.419
"269",-7764.432
"270",-7855.473
"271",-7576.44
"272",-7715.036
"273",-7648.39
"274",-7662.644
"275",-7740.49
"276",-7353.311
"277",-7650.34
"278",-7580.676
"279",-7737.614
"280",-7539.843
"281",-7581.636
"282",-7852.09
"283",-7775.695
"284",-7752.499
"285",-7832.998
"286",-7426.252
"287",-7521.759
"288",-7712.557
"289",-7724.419
"290",-7678.406
"291",-7742.961
"292",-7671.388
"293",-7670.963
"294",-7653.842
"295",-7679.762
"296",-7580.333
"297",-7611.364
"298",-7783.733
"299",-7511.406
"300",-7509.912
"301",-7649.418
"302",-7555.797
"303",-7691.958
"304",-7662.838
"305",-7539.877
"306",-7542.848
"307",-7508.014
"308",-7511.249
"309",-7617.211
"310",-7679.057
"311",-7855.526
"312",-7729.029
"313",-7538.458
"314",-7663.948
"315",-7625.62
"316",-7779.315
"317",-7675.613
"318",-7773.022
"319",-7620.321
"320",-7588.254
"321",-7644.216
"322",-7548.772
"323",-7605.299
"324",-7604.25
"325",-7688.578
"326",-7681.106
"327",-7682.102
"328",-7752.916
"329",-7673.271
"330",-7754.005
"331",-7528.046
"332",-7705.799
"333",-7618.934
"334",-7715.815
"335",-7637.274
"336",-7784.885
"337",-7590.753
"338",-7733.286
"339",-7593.887
"340",-7830.048
"341",-7662.717
"342",-7536.85
"343",-7592.893
"344",-7712.534
"345",-7765.743
"346",-7619.242
"347",-7678.369
"348",-7655.008
"349",-7479.312
"350",-7591.63
"351",-7668.115
"352",-7666.631
"353",-7635.028
"354",-7771.451
"355",-7629.945
"356",-7718.694
"357",-7642.602
"358",-7603.772
"359",-7766.227
"360",-7646.225
"361",-7633.694
"362",-7800.189
"363",-7722.37
"364",-7627.803
"365",-7678.258
"366",-7653.653
"367",-7702.679
"368",-7566.967
"369",-7746.016
"370",-7599.058
"371",-7742.636
"372",-7725.224
"373",-7738.086
"374",-7615.812
"375",-7711.789
"376",-7501.026
"377",-7730.268
"378",-7672.467
"379",-7633.842
"380",-7721.814
"381",-7720.065
"382",-7596.376
"383",-7665.322
"384",-7720.329
"385",-7761.961
"386",-7703.178
"387",-7663.527
"388",-7610.707
"389",-7620.251
"390",-7782.82
"391",-7550.166
"392",-7520.354
"393",-7559.514
"394",-7595.523
"395",-7648.093
"396",-7771.688
"397",-7728.279
"398",-7738.821
"399",-7687.727
"400",-7568.647
"401",-7685.612
"402",-7713.897
"403",-7813.094
"404",-7600.101
"405",-7687.795
"406",-7542.375
"407",-7717.353
"408",-7556.053
"409",-7747.612
"410",-7612.911
"411",-7674.772
"412",-7737.251
"413",-7446.859
"414",-7647.241
"415",-7583.682
"416",-7682.158
"417",-7574.027
"418",-7655.393
"419",-7706.081
"420",-7788.016
"421",-7481.062
"422",-7674.815
"423",-7570.907
"424",-7706.017
"425",-7748.22
"426",-7736.646
"427",-7701.447
"428",-7674.321
"429",-7446.619
"430",-7627.033
"431",-7754.271
"432",-7560.32
"433",-7789.817
"434",-7618.416
"435",-7625.694
"436",-7579.988
"437",-7460.145
"438",-7829.902
"439",-7747.497
"440",-7682.916
"441",-7786.141
"442",-7644.535
"443",-7412.392
"444",-7734.188
"445",-7643.092
"446",-7697.51
"447",-7624.785
"448",-7707.786
"449",-7585.244
"450",-7656.076
"451",-7549.632
"452",-7836.546
"453",-7584.123
"454",-7676.468
"455",-7565.478
"456",-7765.744
"457",-7708.529
"458",-7796.834
"459",-7466.343
"460",-7606.357
"461",-7565.721
"462",-7637.578
"463",-7571.005
"464",-7586.711
"465",-7769.344
"466",-7781.158
"467",-7513.864
"468",-7800.692
"469",-7480.15
"470",-7622.052
"471",-7623.448
"472",-7612.328
"473",-7728.758
"474",-7652.815
"475",-7801.782
"476",-7517.354
"477",-7792.547
"478",-7842.015
"479",-7861.331
"480",-7563.259
"481",-7757.511
"482",-7381.832
"483",-7595.747
"484",-7579.672
"485",-7741.945
"486",-7448.105
"487",-7649.831
"488",-7398.373
"489",-7686.901
"490",-7761.585
"491",-7883.262
"492",-7644.29
"493",-7347.61
"494",-7588.782
"495",-7750.461
