"","x"
"1",-1708.08598
"2",-3341.713004
"3",-557.661455
"4",-2557.21421
"5",-1278.638888
"6",-3504.662036
"7",-2531.729927
"8",-629.202259
"9",-1820.394736
"10",-670.130098
"11",-3394.225417
"12",-3094.449849
"13",-5474.169422
"14",-6008.590851
"15",-1996.70673
"16",-791.510486
"17",-2138.415875
"18",-2413.104513
"19",-909.248493
"20",-5623.04474
"21",-1882.158657
"22",-3017.121025
"23",-1178.573927
"24",-2205.257201
"25",-2445.718793
"26",-4004.787951
"27",-888.516656
"28",-3294.743587
"29",-972.196889
"30",-5287.676192
"31",-2428.77614
"32",-551.870706
"33",-3106.576981
"34",-6886.188464
"35",-3693.050625
"36",-1632.148864
"37",-811.582751
"38",-2294.401109
"39",-716.078319
"40",-1447.699814
"41",-2861.340724
"42",-2138.564523
"43",-1228.480495
"44",-1902.237804
"45",-2052.130302
"46",-2931.845257
"47",-5497.377829
"48",-1354.636264
"49",-2211.892015
"50",-1462.737264
"51",-2077.966026
"52",-796.033266
"53",-846.995718
"54",-1369.583779
"55",-2049.121511
"56",-2889.969566
"57",-1383.462446
"58",-10207.243902
"59",-1915.366801
"60",-1132.925402
"61",-1348.233271
"62",-2811.270878
"63",-2907.467592
"64",-6452.301926
"65",-2820.224241
"66",-1724.837099
"67",-659.52058
"68",-1883.217841
"69",-3141.559464
"70",-4121.244757
"71",-1556.411243
"72",-1544.010387
"73",-2139.580402
"74",-3378.703782
"75",-2598.000252
"76",-2176.084203
"77",-1348.788882
"78",-1219.201055
"79",-3135.773565
"80",-6997.55979
"81",-2866.43082
"82",-1111.039668
"83",-3348.433542
"84",-2220.607389
"85",-608.659816
"86",-2069.876295
"87",-2891.296597
"88",-4776.857265
"89",-4797.942896
"90",-1527.879212
"91",-1925.408233
"92",-1226.955962
"93",-1297.68713
"94",-965.701094
"95",-2097.855111
"96",-2542.456311
"97",-1899.683815
"98",-2799.49895
"99",-5643.122038
"100",-2061.310875
"101",-6642.059502
"102",-2081.792596
"103",-1183.820267
"104",-2910.816579
"105",-951.190834
"106",-2835.972768
"107",-2220.029379
"108",-1981.721394
"109",-771.738199
"110",-2656.686517
"111",-3557.528813
"112",-5795.066304
"113",-1748.472132
"114",-830.428413
"115",-3873.260934
"116",-4577.111253
"117",-1002.37468
"118",-3528.999168
"119",-3021.735355
"120",-747.572357
"121",-1023.641935
"122",-8757.707091
"123",-985.490675
"124",-1248.443475
"125",-5813.211299
"126",-1085.829878
"127",-4904.208454
"128",-3737.009245
"129",-1253.292473
"130",-2974.965096
"131",-2275.320501
"132",-9722.539996
"133",-944.102372
"134",-2571.130066
"135",-2590.5488
"136",-1964.489099
"137",-2481.578421
"138",-2662.130496
"139",-1402.035164
"140",-1921.203466
"141",-1233.454381
"142",-2552.24013
"143",-1506.596423
"144",-1103.934887
"145",-587.393711
"146",-1854.759982
"147",-667.322705
"148",-1332.868881
"149",-4817.151708
"150",-1630.000118
"151",-3364.481451
"152",-1258.716858
"153",-3407.669202
"154",-2837.754745
"155",-1150.998906
"156",-3186.871066
"157",-819.987167
"158",-1028.701564
"159",-4232.865831
"160",-1611.744834
"161",-1613.856754
"162",-2397.970546
"163",-5386.226806
"164",-2347.329824
"165",-5064.620875
"166",-1510.637528
"167",-1069.609072
"168",-2796.176377
"169",-6591.470867
"170",-959.93907
"171",-619.720032
"172",-2989.427456
"173",-936.110452
"174",-4994.781267
"175",-2653.033
"176",-7975.214888
"177",-936.749036
"178",-4686.115435
"179",-790.727979
"180",-3419.432941
"181",-1615.651847
"182",-1331.152193
"183",-4639.835621
"184",-2093.254187
"185",-2760.209893
"186",-1864.922726
