"","x"
"1",-1663.55
"2",-3256.604
"3",-547.42
"4",-2472.897
"5",-1268.531
"6",-3484.865
"7",-2521.187
"8",-626.478
"9",-1758.438
"10",-662.84
"11",-3385.08
"12",-3088.248
"13",-5502.466
"14",-6030.089
"15",-1797.39
"16",-788.774
"17",-2141.544
"18",-2406.15
"19",-897.681
"20",-5617.1
"21",-1874.994
"22",-3028.287
"23",-1169.951
"24",-2200.684
"25",-2397.793
"26",-4019.9
"27",-881.472
"28",-3294.608
"29",-928.131
"30",-4947.268
"31",-2431.387
"32",-547.233
"33",-2874.064
"34",-6877.014
"35",-3687.997
"36",-1589.15
"37",-783.51
"38",-2288.284
"39",-683.483
"40",-1442.595
"41",-2773.254
"42",-2130.24
"43",-1221.251
"44",-1896.616
"45",-1995.596
"46",-2932.293
"47",-5468.634
"48",-1347.358
"49",-2198.309
"50",-1459.48
"51",-2033.122
"52",-787.957
"53",-833.89
"54",-1362.072
"55",-2004.019
"56",-2883.797
"57",-1378.615
"58",-9997.058
"59",-1864.843
"60",-1127.037
"61",-1347.952
"62",-2803.95
"63",-2838.19
"64",-5936.024
"65",-2814.433
"66",-1717.671
"67",-640.974
"68",-1878.134
"69",-3140.171
"70",-3820.064
"71",-1535.488
"72",-1538.222
"73",-2102.173
"74",-3353.855
"75",-2585.001
"76",-2159.522
"77",-1344.466
"78",-1212.242
"79",-3130.794
"80",-6981.818
"81",-2864.01
"82",-1102.524
"83",-3336.023
"84",-2188.619
"85",-600.428
"86",-2065.805
"87",-2868.9
"88",-4768.815
"89",-4763.434
"90",-1500.396
"91",-1912.535
"92",-1212.923
"93",-1277.941
"94",-949.894
"95",-2097.422
"96",-2538.726
"97",-1888.585
"98",-2789.645
"99",-5644.288
"100",-2014.288
"101",-6649.044
"102",-2069.97
"103",-1174.941
"104",-2901.808
"105",-944.113
"106",-2827.135
"107",-2211.465
"108",-1975.33
"109",-767.185
"110",-2646.446
"111",-3556.072
"112",-5682.815
"113",-1737.775
"114",-824.67
"115",-3854.06
"116",-4573.156
"117",-996.895
"118",-3524.104
"119",-3018.909
"120",-733.189
"121",-1021.108
"122",-8748.599
"123",-965.876
"124",-1248.163
"125",-5663.413
"126",-1080.636
"127",-4892.102
"128",-3732.808
"129",-1228.59
"130",-2970.939
"131",-2260.132
"132",-9447.526
"133",-929.528
"134",-2561.863
"135",-2579.457
"136",-1965.243
"137",-2473.098
"138",-2605.641
"139",-1395.349
"140",-1860.662
"141",-1230.345
"142",-2563.262
"143",-1504.079
"144",-1094.242
"145",-571.969
"146",-1849.634
"147",-658.979
"148",-1327.396
"149",-4808.885
"150",-1627.288
"151",-3349.877
"152",-1249.436
"153",-3405.255
"154",-2831.917
"155",-1135.917
"156",-3181.941
"157",-817.243
"158",-1017.044
"159",-4244.834
"160",-1600.677
"161",-1601.832
"162",-2407.652
"163",-5388.289
"164",-2340.238
"165",-5044.299
"166",-1505.084
"167",-1057.636
"168",-2746.083
"169",-6582.186
"170",-956.543
"171",-613.338
"172",-2889.493
"173",-932.31
"174",-4986.058
"175",-2645.854
"176",-7969.032
"177",-933.668
"178",-4680.622
"179",-784.885
"180",-3414.805
"181",-1606.841
"182",-1306.077
"183",-4628.375
"184",-2034.179
"185",-2748.525
"186",-1855.338
"187",-4387.538
"188",-2152.284
"189",-1950.522
"190",-1305.7
"191",-2232.528
"192",-1199.948
"193",-4746.724
"194",-4805.56
"195",-2576.854
"196",-552.907
"197",-393.559
"198",-913.617
"199",-832.504
"200",-3535.226
"201",-3517.279
"202",-6276.447
"203",-3672.245
"204",-1954.986
"205",-1637.899
"206",-950.327
"207",-2518.186
"208",-1822.184
"209",-1327.424
"210",-1260.492
"211",-917.05
"212",-4885.887
"213",-730.827
"214",-2644.983
"215",-5311.454
"216",-3744.169
"217",-592.557
"218",-5152.128
"219",-3842.379
"220",-1391.246
"221",-1002.094
"222",-6436.3
"223",-4879.407
"224",-2625.343
"225",-3257.857
"226",-2163.212
"227",-1944.643
"228",-2471.717
"229",-4282.135
"230",-2534.356
"231",-763.994
"232",-6327.336
"233",-2894.435
"234",-1143.385
"235",-2357.207
"236",-2991.988
"237",-2990.349
"238",-3885.582
"239",-2962.468
"240",-2134.111
"241",-1804.61
"242",-1190.958
"243",-2172.898
"244",-7476.593
"245",-1535.551
"246",-2720.974
"247",-3195.689
"248",-1968.664
"249",-7467.665
"250",-5404.829
"251",-749.211
"252",-2408.253
"253",-7193.24
"254",-2500.314
"255",-3088.307
"256",-3303.079
"257",-2885.735
"258",-4755.029
"259",-1551.974
"260",-3221.339
"261",-2657.928
"262",-1799.827
"263",-895.765
"264",-1718.877
"265",-8583.728
"266",-2128.426
"267",-4158.029
"268",-1001.4
"269",-3563.913
"270",-3306.266
"271",-3895.56
"272",-3360.479
"273",-3567.675
"274",-1859.797
"275",-1175.955
"276",-691.099
"277",-2534.841
"278",-1152.727
"279",-5170.594
"280",-2975.371
"281",-2301.524
"282",-4560.921
"283",-4583.25
"284",-2005.533
"285",-1642.138
"286",-3113.056
"287",-770.662
"288",-1435.735
"289",-6448.938
"290",-2404.714
"291",-946.01
"292",-780.826
"293",-3930.751
"294",-2094.079
"295",-1503.415
"296",-1641.613
"297",-2691.517
"298",-1440.481
"299",-2174.342
"300",-2198.121
"301",-2386.056
"302",-671.307
"303",-1986.166
"304",-1196.032
"305",-2208.969
"306",-1947.061
"307",-2380.938
"308",-2303.59
"309",-3021.318
"310",-753.127
"311",-2051.308
"312",-4436.199
"313",-2567.391
"314",-4546.972
