"","x"
"1",0.0235783319469011
"2",0.0472743692416369
"3",0.0791548621619446
"4",1
"5",1
"6",1
"7",1
"8",1
"9",0.451804622855938
"10",1
"11",1
"12",0.155665365648381
"13",0.348163087483869
"14",1
"15",0.376773823616477
"16",1
"17",0.483760138085552
"18",0.473418892110114
"19",1
"20",0.470067600395911
"21",1
"22",0.47213096221077
"23",0.267438938706563
"24",1
"25",0.0206967058619976
"26",1
"27",1
"28",0.490610880860877
"29",1
"30",0.368636477806951
"31",0.046551971884046
"32",1
"33",0.407904868318185
"34",0.0530660917878208
"35",1
"36",0.0631946376945206
"37",1
"38",1
"39",0.496961775483494
"40",0.426173911754916
"41",0.493743091354875
"42",0.489908546343521
"43",1
"44",0.48784886384277
"45",0.00927938878439395
"46",1
"47",0.224554018925191
"48",1
"49",1
"50",0.497540770191196
"51",1
"52",1
"53",0.489892794117257
"54",1
"55",0.499435810637298
"56",1
"57",1
"58",0.471915495573336
"59",0.386422508224119
"60",1
"61",1
"62",0.48962866922862
"63",1
"64",1
"65",1
"66",1
"67",1
"68",0.132932287035546
"69",0.0373435158327647
"70",0.470173733834501
"71",0.446380662635766
"72",1
"73",1
"74",1
"75",0.479721436950116
"76",1
"77",0.494618137639256
"78",0.440358643707956
"79",1
"80",1
"81",0.474510008497371
"82",1
"83",1
"84",0.00418858686243264
"85",1
"86",0.130187315117307
"87",0.440413874585571
"88",0.328147291842958
"89",1
"90",1
"91",0.0364414785449942
"92",0.46596508790844
"93",0.499435810573157
"94",1
"95",1
"96",1
"97",0.482616014256361
"98",1
"99",0.499435810509016
"100",1
"101",1
"102",0.488060140405722
"103",0.490868591277445
"104",1
"105",1
"106",0.222291730011152
"107",0.0980890943436511
"108",1
"109",0.488288802401993
"110",1
"111",1
"112",1
"113",0.0615888261419956
"114",1
"115",1
"116",1
"117",1
"118",0.483023114431133
"119",1
"120",0.490376580157103
"121",0.493113530501102
"122",0.145815992432113
"123",1
"124",1
"125",0.492001768038145
"126",1
"127",1
"128",1
"129",1
"130",0.491594386550329
"131",1
"132",1
"133",1
"134",0.0515418674551446
"135",0.47056439255888
"136",0.474219017672092
"137",1
"138",0.492579672527057
"139",1
"140",1
"141",1
"142",0.174684184211623
"143",1
"144",0.418391663836371
"145",0.460559111291627
"146",1
"147",1
"148",0.490695990587884
"149",1
"150",1
"151",1
"152",0.497965794336004
"153",0.171975395059828
"154",1
"155",0.000409869683864596
"156",1
"157",1
"158",0.0308443465693729
"159",0.0815182425612832
"160",1
"161",0.493396631787128
"162",0.422938755967739
"163",1
"164",0.497889005748296
"165",0.440756960600029
"166",1
"167",1
"168",1
"169",1
"170",0.442992043052589
"171",0.378699543356726
"172",1
"173",1
"174",1
"175",0.149751026952027
"176",1
"177",0.490781886662514
"178",1
"179",1
"180",0.497353735681418
"181",1
"182",1
"183",0.0033687072287406
"184",0.499435810637298
"185",1
"186",1
"187",1
"188",0.314362396860912
"189",1
"190",0.0230346876524489
"191",0.479973728985107
"192",1
"193",0.482753716104544
"194",0.310163584359538
"195",0.46311659228051
"196",0.0454158318998183
"197",1
"198",0.460715777045656
"199",1
"200",0.208221732524298
"201",1
"202",0.390827009384157
"203",1
"204",1
"205",1
"206",1
"207",1
"208",0.107370397740947
"209",1
"210",0.490903504686375
"211",0.139507438701241
"212",0.0271902269761244
"213",1
"214",1
"215",1
"216",1
"217",1
"218",1
"219",0.0977480012861187
"220",1
"221",0.292365623652165
"222",1
"223",1
"224",1
"225",1
"226",1
"227",1
"228",0.476901797693425
"229",0.478802158994459
"230",1
"231",1
"232",1
"233",1
"234",0.435755092039869
"235",1
"236",0.496431799348271
"237",0.48246126237759
"238",1
"239",1
"240",1
"241",1
"242",0.496614903113508
"243",1
"244",1
"245",1
"246",1
"247",1
"248",1
"249",0.0286745638001638
"250",0.48271688806288
"251",0.497179075593545
"252",1
"253",1
"254",1
"255",0.485129798148584
"256",1
"257",1
"258",0.415527191754616
"259",0.468544011747119
"260",1
"261",1
"262",0.469052011175253
"263",1
"264",1
"265",0.480717509974604
"266",1
