"","x"
"1",0.144959226971297
"2",0.123340785973823
"3",0.249749668005993
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",0.0313213097106855
"13",1
"14",1
"15",0.156973233100899
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",0.243308022882042
"24",1
"25",0.0351929049677431
"26",1
"27",0.446636415071063
"28",0.441043549731225
"29",0.0926873329205234
"30",1
"31",0.0541792476639685
"32",1
"33",1
"34",0.0275344250603911
"35",1
"36",0.144529388975517
"37",1
"38",1
"39",1
"40",0.3391702134777
"41",1
"42",1
"43",1
"44",1
"45",0.0104087879813215
"46",1
"47",0.151152323733442
"48",1
"49",1
"50",0.109264867498123
"51",1
"52",1
"53",0.194830439057306
"54",1
"55",1
"56",1
"57",1
"58",1
"59",0.196117838925776
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",0.110028460450999
"69",0.0178225827667242
"70",1
"71",1
"72",0.24196365222302
"73",1
"74",1
"75",1
"76",1
"77",1
"78",0.464365037281811
"79",0.131967405245177
"80",1
"81",1
"82",1
"83",1
"84",0.00068788337452314
"85",1
"86",0.102668636162115
"87",1
"88",1
"89",1
"90",1
"91",0.134288538246041
"92",1
"93",1
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",1
"106",1
"107",0.0790659593965674
"108",1
"109",1
"110",1
"111",1
"112",1
"113",0.0367741385382785
"114",1
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",0.116373071566469
"123",1
"124",1
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",1
"133",0.320284030821553
"134",0.0755059265447844
"135",1
"136",1
"137",1
"138",0.418809886142355
"139",1
"140",0.0647703520116553
"141",0.380824901214279
"142",0.0627219284447855
"143",1
"144",1
"145",0.349267679151735
"146",0.27819310701316
"147",1
"148",1
"149",1
"150",1
"151",0.401681167346118
"152",1
"153",0.0748159209944401
"154",1
"155",0.000494512592715175
"156",0.198071954575995
"157",1
"158",0.0190337902837464
"159",0.0812934253631383
"160",0.0743274240829964
"161",1
"162",0.192291609285815
"163",0.354140506144687
"164",1
"165",1
"166",1
"167",1
"168",1
"169",0.403247970252635
"170",1
"171",0.255504603534238
"172",1
"173",1
"174",1
"175",0.0673275243620565
"176",1
"177",1
"178",1
"179",1
"180",0.240190112717702
"181",1
"182",1
"183",0.00221815274940052
"184",1
"185",1
"186",1
"187",1
"188",1
"189",1
"190",0.0588373582496378
"191",1
"192",1
"193",0.382088577810955
"194",0.293200498357251
"195",1
"196",1
"197",0.193555091134588
"198",1
"199",1
"200",1
"201",1
"202",0.415087899083676
"203",0.359216019455113
"204",1
"205",1
"206",1
"207",1
"208",0.103377787536711
"209",1
"210",1
"211",1
"212",0.0123556834159112
"213",1
"214",0.0732653579921756
"215",0.104813533174891
"216",1
"217",1
"218",1
"219",0.100989949976289
"220",1
"221",0.307835161742458
"222",1
"223",0.344578258389743
"224",0.321825073898703
"225",1
"226",1
"227",1
"228",1
"229",1
"230",1
"231",1
"232",1
"233",1
"234",1
"235",0.390013134777269
"236",0.364517244769461
"237",1
"238",1
"239",1
"240",1
"241",1
"242",0.324960396513364
"243",1
"244",1
"245",1
"246",1
"247",0.403247970253354
"248",1
"249",0.0108604772111558
"250",1
"251",1
"252",1
"253",1
"254",1
"255",1
"256",1
"257",1
"258",0.0900984142928964
"259",1
"260",1
"261",1
"262",1
"263",1
"264",1
"265",1
"266",0.464365037282821
"267",1
"268",1
"269",0.00110765143325913
"270",0.0576511264100976
"271",0.383367653477089
"272",1
"273",0.00440732745210746
"274",1
"275",1
"276",1
"277",1
"278",0.231631387588991
"279",0.00174478015344883
"280",1
"281",0.00431944124915964
"282",1
"283",1
"284",0.201056240115102
"285",0.363437685253918
"286",1
"287",1
"288",0.318004437980376
"289",1
"290",1
"291",1
"292",1
"293",0.482164704137397
"294",0.435950158938505
"295",0.403247970253713
"296",0.443768541990883
"297",1
"298",1
"299",1
"300",0.27762373540252
"301",1
"302",0.331458308758031
"303",0.00633719623042386
"304",1
"305",0.32338370200272
"306",1
"307",0.0361945224947709
"308",1
"309",1
"310",1
"311",1
"312",0.037916981278191
"313",0.156496942472881
"314",0.443768541990248
"315",0.383367653477089
"316",1
"317",1
"318",0.401681167346118
"319",1
"320",1
"321",0.065188914712233
"322",0.147133052152491
"323",1
"324",1
"325",1
"326",1
"327",1
"328",1
"329",1
"330",0.372372430586173
"331",1
"332",1
"333",1
"334",1
"335",0.180271642214912
"336",1
"337",1
"338",1
"339",1
"340",1
"341",1
"342",1
"343",1
"344",1
"345",1
"346",1
"347",1
"348",1
"349",0.0429387790297409
"350",1
"351",0.429013828493593
"352",1
"353",0.0216455304447232
"354",0.116866436963385
"355",0.16234008944918
"356",1
"357",1
"358",1
"359",0.232047600097801
"360",1
"361",1
"362",0.268267404542312
"363",1
"364",1
"365",0.0603582527988261
"366",1
"367",0.145607043630225
"368",0.181425744045219
"369",1
"370",1
"371",0.0756050852059823
"372",1
"373",1
"374",1
"375",1
"376",1
"377",1
"378",1
"379",1
"380",1
"381",1
"382",1
"383",1
"384",1
"385",1
"386",0.0345556990665771
"387",0.207224837435248
"388",0.349267679151626
"389",1
"390",1
"391",1
"392",1
"393",1
"394",0.223156160465986
"395",0.366706984909802
"396",0.0592891272600457
"397",0.0065114367543663
"398",1
"399",1
"400",1
"401",0.0688265663766751
"402",1
"403",1
"404",1
"405",0.00260653535794018
"406",1
"407",1
"408",0.113624304956546
"409",0.119880384089647
"410",1
"411",0.0132277434138364
"412",0.00526784191471728
"413",1
"414",0.0592891272599771
"415",1
"416",1
"417",1
"418",1
"419",0.39139655465201
"420",1
"421",1
"422",1
"423",1
"424",1
"425",1
"426",0.0139195820607649
"427",0.122814032007571
"428",0.00139802174604214
"429",1
"430",1
"431",0.118697225373385
"432",0.181715863387552
"433",0.212217977675762
"434",1
"435",1
"436",1
"437",1
"438",1
"439",0.0563480618840573
"440",1
"441",1
"442",0.109722261220504
"443",1
"444",1
"445",1
"446",1
"447",1
"448",1
"449",1
"450",1
"451",1
"452",1
"453",0.0979954324909511
"454",0.305748761434054
"455",1
"456",1
"457",0.452906423363665
"458",1
"459",0.0718445566701584
"460",1
"461",0.183470142931783
"462",1
"463",1
"464",1
"465",1
"466",1
"467",1
"468",1
"469",1
"470",1
"471",1
"472",1
"473",1
"474",1
"475",0.469128937981615
"476",1
"477",0.00516814571422734
"478",1
"479",1
"480",0.303692661493968
"481",1
"482",0.192921878385182
"483",1
"484",1
"485",1
"486",1
"487",1
"488",1
"489",1
"490",1
"491",0.449671594279852
"492",0.0205486298771832
"493",0.00297068381449447
"494",1
"495",1
"496",1
"497",1
"498",1
"499",1
"500",1
"501",1
"502",1
"503",0.0266577858265641
"504",1
"505",1
"506",1
"507",1
"508",1
"509",0.334830038154361
"510",0.482164704133345
"511",1
"512",0.241518252090999
"513",1
"514",1
"515",0.469128937981615
"516",1
"517",1
"518",1
"519",1
"520",1
"521",1
"522",1
"523",1
"524",0.31650539001273
