"","x"
"1","knownGene.uc001ats.1.1"
"2","knownGene.uc002jon.1.1.inc"
"3","knownGene.uc002jpv.1.1"
"4","knownGene.uc002jql.1.1"
"5","knownGene.uc002jqu.1.1.inc"
"6","knownGene.uc002jtj.1.1.inc"
"7","knownGene.uc002kaf.1.1"
"8","knownGene.uc001doj.1.1"
"9","knownGene.uc002ker.1.1.inc"
"10","knownGene.uc002kfl.1.1.inc"
"11","knownGene.uc002kgb.1.1.inc"
"12","knownGene.uc002kkl.1.1.inc"
"13","knownGene.uc002klm.1.1.inc"
"14","knownGene.uc002kmu.1.1"
"15","knownGene.uc002knc.1.1.inc"
"16","knownGene.uc001dpg.1.1.inc"
"17","knownGene.uc002knl.1.1"
"18","knownGene.uc002kqq.1.1.inc"
"19","knownGene.uc002krv.1.1.inc"
"20","knownGene.uc002ktk.1.1"
"21","knownGene.uc002kuc.1.1"
"22","knownGene.uc002kwc.1.1"
"23","knownGene.uc001dpr.1.1.inc"
"24","knownGene.uc002kyn.1.1.inc"
"25","knownGene.uc002kza.1.1"
"26","knownGene.uc002kzd.1.1.inc"
"27","knownGene.uc002lab.1.1.inc"
"28","knownGene.uc002lah.1.1"
"29","knownGene.uc002laq.1.1"
"30","knownGene.uc002lbb.1.1"
"31","knownGene.uc002lby.1.1"
"32","knownGene.uc002lce.1.1"
"33","knownGene.uc001drn.1.1"
"34","knownGene.uc002ldi.1.1"
"35","knownGene.uc002lec.1.1.inc"
"36","knownGene.uc002ler.1.1"
"37","knownGene.uc002lfk.1.1"
"38","knownGene.uc002lfo.1.1"
"39","knownGene.uc002ljj.1.1.inc"
"40","knownGene.uc002lkd.1.1.inc"
"41","knownGene.uc002llu.1.1.inc"
"42","knownGene.uc001drw.1.1.inc"
"43","knownGene.uc002lsl.1.1.inc"
"44","knownGene.uc002lsy.1.1.inc"
"45","knownGene.uc002lui.1.1.inc"
"46","knownGene.uc002lxa.1.1.inc"
"47","knownGene.uc002lyi.1.1"
"48","knownGene.uc002maq.1.1"
"49","knownGene.uc002mbb.1.1.inc"
"50","knownGene.uc001duf.1.1"
"51","knownGene.uc002mio.1.1"
"52","knownGene.uc002mjl.1.1.inc"
"53","knownGene.uc002moo.1.1.inc"
"54","knownGene.uc002mos.1.1"
"55","knownGene.uc002mpg.1.1"
"56","knownGene.uc002mqe.1.1.inc"
"57","knownGene.uc001dvl.1.1.inc"
"58","knownGene.uc002mrh.1.1.inc"
"59","knownGene.uc002mun.1.1.inc"
"60","knownGene.uc002mus.1.1.inc"
"61","knownGene.uc002mwa.1.1.inc"
"62","knownGene.uc002mxn.1.1.inc"
"63","knownGene.uc002myr.1.1"
"64","knownGene.uc002nat.1.1.inc"
"65","knownGene.uc002ndk.1.1.inc"
"66","knownGene.uc001dwl.1.1.inc"
"67","knownGene.uc002new.1.1"
"68","knownGene.uc002nfl.1.1.inc"
"69","knownGene.uc002ngv.1.1"
"70","knownGene.uc002nhi.1.1.inc"
"71","knownGene.uc002nlr.1.1"
"72","knownGene.uc001dxq.1.1.inc"
"73","knownGene.uc002nmi.1.1"
"74","knownGene.uc002nst.1.1"
"75","knownGene.uc002nsy.1.1"
"76","knownGene.uc002ntj.1.1"
"77","knownGene.uc002nur.1.1"
"78","knownGene.uc002nuw.1.1"
"79","knownGene.uc002nxn.1.1.inc"
"80","knownGene.uc002nyu.1.1"
"81","knownGene.uc002nzc.1.1"
"82","knownGene.uc001aty.1.1.inc"
"83","knownGene.uc001dyy.1.1"
"84","knownGene.uc002nzl.1.1.inc"
"85","knownGene.uc002obb.1.1.inc"
"86","knownGene.uc002ocd.1.1"
"87","knownGene.uc002ocj.1.1"
"88","knownGene.uc002oct.1.1.inc"
"89","knownGene.uc002oid.1.1"
"90","knownGene.uc002ois.1.1.inc"
"91","knownGene.uc002ojb.1.1"
"92","knownGene.uc001dyz.1.1.inc"
"93","knownGene.uc002ols.1.1.inc"
"94","knownGene.uc002ooe.1.1.inc"
"95","knownGene.uc002ooj.1.1.inc"
"96","knownGene.uc002oop.1.1.inc"
"97","knownGene.uc002oqp.1.1.inc"
"98","knownGene.uc002ots.1.1.inc"
"99","knownGene.uc002pat.1.1"
"100","knownGene.uc002paz.1.1"
"101","knownGene.uc002pbw.1.1.inc"
"102","knownGene.uc002pfb.1.1.inc"
"103","knownGene.uc002pfd.1.1"
"104","knownGene.uc002pge.1.1.inc"
"105","knownGene.uc001dzp.1.1.inc"
"106","knownGene.uc002phh.1.1.inc"
"107","knownGene.uc002pku.1.1.inc"
"108","knownGene.uc002pmu.1.1.inc"
"109","knownGene.uc002pnl.1.1.inc"
"110","knownGene.uc002ppr.1.1"
"111","knownGene.uc002prs.1.1"
"112","knownGene.uc002pud.1.1.inc"
"113","knownGene.uc001eag.1.1.inc"
"114","knownGene.uc002pwm.1.1"
"115","knownGene.uc002qjv.1.1.inc"
"116","knownGene.uc002qlw.1.1"
"117","knownGene.uc002qmn.1.1.inc"
"118","knownGene.uc002qxe.1.1"
"119","knownGene.uc002qzb.1.1"
"120","knownGene.uc001ebu.1.1"
"121","knownGene.uc002raq.1.1"
"122","knownGene.uc002rbo.1.1.inc"
"123","knownGene.uc002rcb.1.1"
"124","knownGene.uc002rcr.1.1.inc"
"125","knownGene.uc002rdk.1.1.inc"
"126","knownGene.uc002rdx.1.1.inc"
"127","knownGene.uc002reg.1.1"
"128","knownGene.uc002rej.1.1"
"129","knownGene.uc002rgn.1.1.inc"
"130","knownGene.uc001efi.1.1"
"131","knownGene.uc002rhl.1.1"
"132","knownGene.uc002rii.1.1"
"133","knownGene.uc002rkh.1.1.inc"
"134","knownGene.uc002rme.1.1.inc"
"135","knownGene.uc002rmo.1.1"
"136","knownGene.uc002rmr.1.1.inc"
"137","knownGene.uc002rou.1.1"
"138","knownGene.uc002rpx.1.1"
"139","knownGene.uc001egh.1.1"
"140","knownGene.uc002rqv.1.1"
"141","knownGene.uc002rrh.1.1"
"142","knownGene.uc002rrj.1.1"
"143","knownGene.uc002rue.1.1"
"144","knownGene.uc002rup.1.1"
"145","knownGene.uc002ruw.1.1"
"146","knownGene.uc002rxa.1.1"
"147","knownGene.uc001egs.1.1.inc"
"148","knownGene.uc002ryh.1.1"
"149","knownGene.uc002ryt.1.1"
"150","knownGene.uc002rzd.1.1"
"151","knownGene.uc002sbg.1.1"
"152","knownGene.uc002sby.1.1.inc"
"153","knownGene.uc002sci.1.1.inc"
"154","knownGene.uc002scn.1.1.inc"
"155","knownGene.uc002sdc.1.1.inc"
"156","knownGene.uc002sdh.1.1"
"157","knownGene.uc001eie.1.1"
"158","knownGene.uc002ser.1.1.inc"
"159","knownGene.uc002sey.1.1"
"160","knownGene.uc002sgv.1.1.inc"
"161","knownGene.uc002shu.1.1"
"162","knownGene.uc002sic.1.1.inc"
"163","knownGene.uc002skb.1.1"
"164","knownGene.uc002slr.1.1.inc"
"165","knownGene.uc002slv.1.1"
"166","knownGene.uc002smc.1.1"
"167","knownGene.uc001aug.1.1"
"168","knownGene.uc001esi.1.1"
"169","knownGene.uc002smz.1.1.inc"
"170","knownGene.uc002snb.1.1"
"171","knownGene.uc002snj.1.1"
"172","knownGene.uc002snr.1.1"
"173","knownGene.uc002soq.1.1.inc"
"174","knownGene.uc001eto.1.1.inc"
"175","knownGene.uc002sqv.1.1.inc"
"176","knownGene.uc002ssq.1.1.inc"
"177","knownGene.uc002suj.1.1.inc"
"178","knownGene.uc002svt.1.1"
"179","knownGene.uc002swo.1.1.inc"
"180","knownGene.uc002swv.1.1"
"181","knownGene.uc002sxf.1.1"
"182","knownGene.uc002sxi.1.1.inc"
"183","knownGene.uc002syg.1.1.inc"
"184","knownGene.uc001evu.1.1"
"185","knownGene.uc002syi.1.1.inc"
"186","knownGene.uc002syy.1.1"
"187","knownGene.uc002tai.1.1.inc"
"188","knownGene.uc002tbt.1.1.inc"
"189","knownGene.uc002tet.1.1.inc"
"190","knownGene.uc002tez.1.1"
"191","knownGene.uc002tgd.1.1"
"192","knownGene.uc002tjg.1.1"
"193","knownGene.uc002tmj.1.1"
"194","knownGene.uc002tmw.1.1.inc"
"195","knownGene.uc002tpb.1.1"
"196","knownGene.uc002tpd.1.1"
"197","knownGene.uc002tsc.1.1"
"198","knownGene.uc002tts.1.1.inc"
"199","knownGene.uc001ewt.1.1"
"200","knownGene.uc002tui.1.1.inc"
"201","knownGene.uc002tvq.1.1"
"202","knownGene.uc002two.1.1"
"203","knownGene.uc002twt.1.1.inc"
"204","knownGene.uc002txt.1.1.inc"
"205","knownGene.uc002tyc.1.1"
"206","knownGene.uc002tyh.1.1"
"207","knownGene.uc002tyi.1.1.inc"
"208","knownGene.uc002uas.1.1.inc"
"209","knownGene.uc002ubb.1.1.inc"
"210","knownGene.uc002ubx.1.1"
"211","knownGene.uc002ucv.1.1.inc"
"212","knownGene.uc002udi.1.1.inc"
"213","knownGene.uc002udv.1.1.inc"
"214","knownGene.uc002uey.1.1.inc"
"215","knownGene.uc001exb.1.1"
"216","knownGene.uc002ufv.1.1.inc"
"217","knownGene.uc002ugg.1.1.inc"
"218","knownGene.uc002ugr.1.1"
"219","knownGene.uc002uis.1.1"
"220","knownGene.uc002ujf.1.1"
"221","knownGene.uc002ukh.1.1.inc"
"222","knownGene.uc002ukn.1.1"
"223","knownGene.uc002uld.1.1.inc"
"224","knownGene.uc001ext.1.1"
"225","knownGene.uc002umq.1.1"
"226","knownGene.uc002uod.1.1.inc"
"227","knownGene.uc002upj.1.1.inc"
"228","knownGene.uc002urf.1.1"
"229","knownGene.uc002ush.1.1.inc"
"230","knownGene.uc002usu.1.1"
"231","knownGene.uc002usw.1.1"
"232","knownGene.uc002uto.1.1.inc"
"233","knownGene.uc002uvu.1.1.inc"
"234","knownGene.uc002uwm.1.1"
"235","knownGene.uc002uxg.1.1"
"236","knownGene.uc002uyc.1.1.inc"
"237","knownGene.uc002uze.1.1.inc"
