"","x"
"1","knownGene.uc001akw.1.1.inc"
"2","knownGene.uc001aml.1.1"
"3","knownGene.uc001aoj.1.1.inc"
"4","knownGene.uc001aon.1.1.inc"
"5","knownGene.uc001aqa.1.1.inc"
"6","knownGene.uc001ats.1.1"
"7","knownGene.uc001aty.1.1.inc"
"8","knownGene.uc001aug.1.1"
"9","knownGene.uc001awe.1.1"
"10","knownGene.uc001awy.1.1"
"11","knownGene.uc001ayj.1.1"
"12","knownGene.uc001azv.1.1.inc"
"13","knownGene.uc001bag.1.1.inc"
"14","knownGene.uc001bbd.1.1"
"15","knownGene.uc001bbg.1.1"
"16","knownGene.uc001bcq.1.1.inc"
"17","knownGene.uc001bcs.1.1"
"18","knownGene.uc001bct.1.1"
"19","knownGene.uc001bdq.1.1"
"20","knownGene.uc001beh.1.1"
"21","knownGene.uc001bel.1.1.inc"
"22","knownGene.uc001bfv.1.1.inc"
"23","knownGene.uc001bjc.1.1.inc"
"24","knownGene.uc001bkn.1.1.inc"
"25","knownGene.uc001bmx.1.1"
"26","knownGene.uc001bnz.1.1"
"27","knownGene.uc001bsz.1.1"
"28","knownGene.uc001bti.1.1"
"29","knownGene.uc001bvj.1.1.inc"
"30","knownGene.uc001bvx.1.1"
"31","knownGene.uc001bwm.1.1.inc"
"32","knownGene.uc001bxk.1.1.inc"
"33","knownGene.uc001byo.1.1.inc"
"34","knownGene.uc001bzn.1.1"
"35","knownGene.uc001bzs.1.1.inc"
"36","knownGene.uc001bzu.1.1"
"37","knownGene.uc001cbd.1.1.inc"
"38","knownGene.uc001cbq.1.1.inc"
"39","knownGene.uc001ccr.1.1.inc"
"40","knownGene.uc001cex.1.1"
"41","knownGene.uc001chu.1.1.inc"
"42","knownGene.uc001chy.1.1.inc"
"43","knownGene.uc001cjl.1.1.inc"
"44","knownGene.uc001cno.1.1.inc"
"45","knownGene.uc001cpz.1.1.inc"
"46","knownGene.uc001cqj.1.1"
"47","knownGene.uc001cqs.1.1.inc"
"48","knownGene.uc001csh.1.1.inc"
"49","knownGene.uc001csj.1.1"
"50","knownGene.uc001cuk.1.1.inc"
"51","knownGene.uc001cvh.1.1.inc"
"52","knownGene.uc001cwq.1.1"
"53","knownGene.uc001cwy.1.1"
"54","knownGene.uc001cxk.1.1.inc"
"55","knownGene.uc001cyb.1.1.inc"
"56","knownGene.uc001cyh.1.1.inc"
"57","knownGene.uc001dai.1.1"
"58","knownGene.uc001dcc.1.1.inc"
"59","knownGene.uc001dda.1.1"
"60","knownGene.uc001ddt.1.1"
"61","knownGene.uc001dem.1.1.inc"
"62","knownGene.uc001deq.1.1"
"63","knownGene.uc001dfy.1.1.inc"
"64","knownGene.uc001dga.1.1.inc"
"65","knownGene.uc001dhg.1.1.inc"
"66","knownGene.uc001dib.1.1.inc"
"67","knownGene.uc001dis.1.1"
"68","knownGene.uc001dkc.1.1.inc"
"69","knownGene.uc001dkk.1.1.inc"
"70","knownGene.uc001dku.1.1.inc"
"71","knownGene.uc001doj.1.1"
"72","knownGene.uc001dpg.1.1.inc"
"73","knownGene.uc001dpr.1.1.inc"
"74","knownGene.uc001drn.1.1"
"75","knownGene.uc001drw.1.1.inc"
"76","knownGene.uc001duf.1.1"
"77","knownGene.uc001dvl.1.1.inc"
"78","knownGene.uc001dwl.1.1.inc"
"79","knownGene.uc001dxq.1.1.inc"
"80","knownGene.uc001dyy.1.1"
"81","knownGene.uc001dyz.1.1.inc"
"82","knownGene.uc001dzp.1.1.inc"
"83","knownGene.uc001eag.1.1.inc"
"84","knownGene.uc001ebu.1.1"
"85","knownGene.uc001efi.1.1"
"86","knownGene.uc001egh.1.1"
"87","knownGene.uc001egs.1.1.inc"
"88","knownGene.uc001eie.1.1"
"89","knownGene.uc001esi.1.1"
"90","knownGene.uc001eto.1.1.inc"
"91","knownGene.uc001evu.1.1"
"92","knownGene.uc001ewt.1.1"
"93","knownGene.uc001exb.1.1"
"94","knownGene.uc001fiy.1.1"
"95","knownGene.uc001fkm.1.1.inc"
"96","knownGene.uc001fqp.1.1.inc"
"97","knownGene.uc001fsq.1.1"
"98","knownGene.uc001fss.1.1"
"99","knownGene.uc001fsx.1.1.inc"
"100","knownGene.uc001fsy.1.1"
"101","knownGene.uc001fvp.1.1.inc"
"102","knownGene.uc001fwm.1.1.inc"
"103","knownGene.uc001fws.1.1"
"104","knownGene.uc001fyn.1.1"
"105","knownGene.uc001fyo.1.1"
"106","knownGene.uc001gbg.1.1.inc"
"107","knownGene.uc001gdv.1.1"
"108","knownGene.uc001gef.1.1"
"109","knownGene.uc001gga.1.1.inc"
"110","knownGene.uc001ggo.1.1"
"111","knownGene.uc001ghr.1.1.inc"
"112","knownGene.uc001gid.1.1.inc"
"113","knownGene.uc001giv.1.1.inc"
"114","knownGene.uc001gjr.1.1"
"115","knownGene.uc001gkn.1.1"
"116","knownGene.uc001gkq.1.1.inc"
"117","knownGene.uc001gll.1.1.inc"
"118","knownGene.uc001glw.1.1.inc"
"119","knownGene.uc001gme.1.1"
"120","knownGene.uc001gox.1.1.inc"
"121","knownGene.uc001grb.1.1.inc"
"122","knownGene.uc001gsi.1.1"
"123","knownGene.uc001gss.1.1.inc"
"124","knownGene.uc001gub.1.1.inc"
"125","knownGene.uc001gvz.1.1.inc"
"126","knownGene.uc001gwk.1.1.inc"
"127","knownGene.uc001hat.1.1"
"128","knownGene.uc001hax.1.1"
"129","knownGene.uc001hbb.1.1"
"130","knownGene.uc001hbj.1.1"
"131","knownGene.uc001hby.1.1.inc"
"132","knownGene.uc001hdy.1.1.inc"
"133","knownGene.uc001heg.1.1.inc"
"134","knownGene.uc001hfc.1.1.inc"
"135","knownGene.uc001hff.1.1.inc"
"136","knownGene.uc001hix.1.1.inc"
"137","knownGene.uc001hln.1.1"
"138","knownGene.uc001hmh.1.1.inc"
"139","knownGene.uc001hra.1.1"
"140","knownGene.uc001hum.1.1.inc"
"141","knownGene.uc001hut.1.1.inc"
"142","knownGene.uc001hvf.1.1.inc"
"143","knownGene.uc001hvk.1.1.inc"
"144","knownGene.uc001hxn.1.1.inc"
"145","knownGene.uc001hye.1.1"
"146","knownGene.uc001hyh.1.1"
"147","knownGene.uc001hzn.1.1"
"148","knownGene.uc001hzv.1.1"
"149","knownGene.uc001hzx.1.1"
"150","knownGene.uc001ibb.1.1"
"151","knownGene.uc001ibj.1.1"
"152","knownGene.uc001icq.1.1.inc"
"153","knownGene.uc001icy.1.1"
"154","knownGene.uc001iez.1.1.inc"
"155","knownGene.uc001ija.1.1.inc"
"156","knownGene.uc001ily.1.1"
"157","knownGene.uc001imn.1.1"
"158","knownGene.uc001ind.1.1"
"159","knownGene.uc001ira.1.1"
"160","knownGene.uc001irn.1.1.inc"
"161","knownGene.uc001isc.1.1.inc"
"162","knownGene.uc001isk.1.1.inc"
"163","knownGene.uc001ism.1.1.inc"
"164","knownGene.uc001iuy.1.1"
"165","knownGene.uc001ivr.1.1"
"166","knownGene.uc001izf.1.1.inc"
"167","knownGene.uc001jao.1.1"
"168","knownGene.uc001jbn.1.1"
"169","knownGene.uc001jcl.1.1"
"170","knownGene.uc001jeb.1.1"
"171","knownGene.uc001jgy.1.1.inc"
"172","knownGene.uc001jjk.1.1"
"173","knownGene.uc001jjv.1.1"
"174","knownGene.uc001jlc.1.1.inc"
"175","knownGene.uc001jlu.1.1.inc"
"176","knownGene.uc001jlv.1.1"
"177","knownGene.uc001jmx.1.1.inc"
"178","knownGene.uc001jne.1.1"
"179","knownGene.uc001jnl.1.1.inc"
"180","knownGene.uc001jom.1.1.inc"
"181","knownGene.uc001jre.1.1"
"182","knownGene.uc001jru.1.1.inc"
