"","x"
"1","knownGene.uc002kfl.1.1.inc"
"2","knownGene.uc002knl.1.1"
"3","knownGene.uc002lsy.1.1.inc"
"4","knownGene.uc002mjl.1.1.inc"
"5","knownGene.uc002nsy.1.1"
"6","knownGene.uc002ocd.1.1"
"7","knownGene.uc002ooj.1.1.inc"
"8","knownGene.uc002qlw.1.1"
"9","knownGene.uc002rmo.1.1"
"10","knownGene.uc002sgv.1.1.inc"
"11","knownGene.uc002syy.1.1"
"12","knownGene.uc001ext.1.1"
"13","knownGene.uc002urf.1.1"
"14","knownGene.uc002ush.1.1.inc"
"15","knownGene.uc002usw.1.1"
"16","knownGene.uc002uto.1.1.inc"
"17","knownGene.uc002viw.1.1.inc"
"18","knownGene.uc002vlp.1.1.inc"
"19","knownGene.uc002vxn.1.1.inc"
"20","knownGene.uc002wet.1.1"
"21","knownGene.uc002yqe.1.1.inc"
"22","knownGene.uc002zma.1.1"
"23","knownGene.uc002zra.1.1.inc"
"24","knownGene.uc003czk.1.1"
"25","knownGene.uc001gfv.1.1.inc"
"26","knownGene.uc003dkd.1.1.inc"
"27","knownGene.uc003dqj.1.1"
"28","knownGene.uc003dzz.1.1.inc"
"29","knownGene.uc003ecr.1.1.inc"
"30","knownGene.uc003erd.1.1"
"31","knownGene.uc003fse.1.1.inc"
"32","knownGene.uc001gom.1.1.inc"
"33","knownGene.uc003gpg.1.1"
"34","knownGene.uc003grq.1.1"
"35","knownGene.uc003gtd.1.1"
"36","knownGene.uc001grf.1.1"
"37","knownGene.uc003hmj.1.1.inc"
"38","knownGene.uc003ict.1.1"
"39","knownGene.uc003ikn.1.1"
"40","knownGene.uc003kxp.1.1.inc"
"41","knownGene.uc003lbk.1.1.inc"
"42","knownGene.uc003lle.1.1.inc"
"43","knownGene.uc003lqi.1.1"
"44","knownGene.uc003ltg.1.1.inc"
"45","knownGene.uc003mex.1.1.inc"
"46","knownGene.uc003mfn.1.1"
"47","knownGene.uc003mjs.1.1.inc"
"48","knownGene.uc003nec.1.1"
"49","knownGene.uc003njb.1.1.inc"
"50","knownGene.uc003pbn.1.1"
"51","knownGene.uc001hmo.1.1"
"52","knownGene.uc003pzh.1.1.inc"
"53","knownGene.uc003tos.1.1.inc"
"54","knownGene.uc003tya.1.1"
"55","knownGene.uc003ual.1.1.inc"
"56","knownGene.uc003ufd.1.1"
"57","knownGene.uc003ugt.1.1"
"58","knownGene.uc003ulw.1.1"
"59","knownGene.uc003unw.1.1"
"60","knownGene.uc003upt.1.1"
"61","knownGene.uc003uro.1.1"
"62","knownGene.uc003vzm.1.1.inc"
"63","knownGene.uc003vzo.1.1.inc"
"64","knownGene.uc003wbr.1.1"
"65","knownGene.uc003xxg.1.1.inc"
"66","knownGene.uc003ycu.1.1"
"67","knownGene.uc003ykq.1.1"
"68","knownGene.uc003zns.1.1"
"69","knownGene.uc004blx.1.1"
"70","knownGene.uc004bww.1.1"
"71","knownGene.uc004cvk.1.1"
"72","refGene.NM_000088.1"
"73","refGene.NM_000098.1"
"74","refGene.NM_000129.1"
"75","refGene.NM_000139.1"
"76","refGene.NM_000217.1"
"77","refGene.NM_000266.1"
"78","refGene.NM_000443.1.inc"
"79","refGene.NM_000463.1"
"80","refGene.NM_000714.1"
"81","refGene.NM_000740.1"
"82","knownGene.uc001kgt.1.1.inc"
"83","refGene.NM_000796.1"
"84","refGene.NM_000805.1"
"85","refGene.NM_000815.1.inc"
"86","refGene.NM_000818.1"
"87","refGene.NM_000834.1.inc"
"88","refGene.NM_000860.1"
"89","refGene.NM_000876.1.inc"
"90","refGene.NM_000905.1"
"91","refGene.NM_000963.1"
"92","refGene.NM_001001317.1"
"93","refGene.NM_001001974.1"
"94","refGene.NM_001003800.1"
"95","refGene.NM_001004308.1.inc"
"96","refGene.NM_001004312.1"
"97","refGene.NM_001004342.1"
"98","refGene.NM_001004470.1"
"99","refGene.NM_001005281.1.inc"
"100","refGene.NM_001007075.1"
"101","refGene.NM_001007088.1.inc"
"102","refGene.NM_001007257.1"
"103","refGene.NM_001008408.1"
"104","refGene.NM_001009960.1.inc"
"105","refGene.NM_001009993.1"
"106","refGene.NM_001010983.1"
"107","refGene.NM_001013661.1.inc"
"108","refGene.NM_001013693.1.inc"
"109","refGene.NM_001018067.1"
"110","refGene.NM_001018089.1"
"111","refGene.NM_001024847.1.inc"
"112","refGene.NM_001025295.1.inc"
"113","refGene.NM_001031623.1"
"114","refGene.NM_001031696.1"
"115","knownGene.uc001lzp.1.1.inc"
"116","refGene.NM_001037293.1.inc"
"117","refGene.NM_001038633.1"
