"","x"
"1",-3244.664
"2",-1423.158
"3",-1978.093
"4",-5272.787
"5",-2039.65
"6",-2900.144
"7",-5389.407
"8",-4801.517
"9",-7637.878
"10",-2627.098
"11",-2144.625
"12",-1884.275
"13",-10244.248
"14",-3125.541
"15",-2525.78
"16",-2034.613
"17",-4183.019
"18",-2134.678
"19",-1671.955
"20",-3855.325
"21",-1208.979
"22",-3509.075
"23",-2820.214
"24",-3188.209
"25",-4850.495
"26",-1241.929
"27",-3315.761
"28",-7832.598
"29",-2065.238
"30",-2081.007
"31",-2284.811
"32",-6826.015
"33",-2834.6
"34",-4026.871
"35",-4142.969
"36",-658.88
"37",-3765.699
"38",-2331.696
"39",-1542.1
"40",-13126.598
"41",-2982.334
"42",-2070.727
"43",-2383.121
"44",-1847.95
"45",-5457.273
"46",-1078.617
"47",-2586.361
"48",-6353.277
"49",-1711.699
"50",-3286.164
"51",-4332.633
"52",-5414.229
"53",-1285.173
"54",-6607.409
"55",-1052.107
"56",-1990.954
"57",-1243.692
"58",-2694.984
"59",-3501.877
"60",-1421.544
"61",-2608.664
"62",-4301.651
"63",-1941.083
"64",-1944.155
"65",-2297.13
"66",-2911.699
"67",-2809.935
"68",-2945.521
"69",-7238.616
"70",-1992.269
"71",-1344.275
"72",-1758.139
"73",-2134.378
"74",-2312.291
"75",-1814.125
"76",-2934.802
"77",-3222.498
"78",-7380.745
"79",-3748.013
"80",-2624.753
"81",-2020.139
"82",-3058.867
"83",-3876.12
"84",-1982.075
"85",-1779.745
"86",-2386.792
"87",-2798.012
"88",-2275.452
"89",-2519.023
"90",-2617.278
"91",-7160.587
"92",-3064.857
"93",-1893.949
"94",-4714.509
"95",-5432.187
"96",-7465.399
"97",-2261.936
"98",-2409.028
"99",-3082.578
"100",-1451.769
"101",-1399.477
"102",-7682.533
"103",-5779.953
"104",-1654.194
"105",-2130.222
"106",-6501.514
"107",-2479.599
"108",-3075.944
"109",-3724.886
"110",-9554.762
"111",-5610.216
"112",-6263.738
"113",-3084.645
"114",-3000.866
"115",-1160.02
"116",-7792.602
"117",-5165.035
"118",-1826.487
"119",-4672.775
"120",-3261.893
"121",-1308.258
"122",-3062.243
"123",-4289.786
"124",-7569.353
"125",-2285.247
"126",-17508.135
"127",-1077.941
"128",-4995.616
"129",-2834.059
"130",-3113.291
"131",-6201.734
"132",-3017.321
"133",-2257.856
"134",-5786.566
"135",-3886.57
"136",-2167.715
"137",-4876.502
"138",-3638.355
"139",-12566.295
"140",-1129.464
"141",-3359.24
"142",-1521.673
"143",-2902.6
"144",-2796.45
"145",-2701.411
"146",-2468.494
"147",-6957.731
"148",-3823.823
"149",-1361.326
"150",-8926.806
"151",-3624.97
"152",-2397.005
"153",-2337.589
"154",-4577.025
"155",-2136.537
"156",-4250.755
"157",-3968.392
"158",-2627.667
"159",-6961.039
"160",-4022.142
"161",-2833.267
"162",-5560.765
"163",-2142.052
"164",-2180.714
"165",-8230.039
"166",-1487.9
"167",-5387.446
"168",-6006.631
"169",-2388.282
"170",-2170.954
"171",-4127.862
"172",-2297.425
"173",-4043.438
"174",-1339.17
"175",-2564.755
"176",-3381.788
"177",-1362.694
"178",-1245.425
"179",-1209.646
"180",-3037.879
"181",-2054.578
"182",-1635.727
"183",-4758.787
"184",-2647.811
"185",-3680.084
"186",-6592.498
"187",-2308.537
"188",-2916.7
"189",-1177.114
"190",-2900.039
"191",-1819.831
"192",-5912.511
"193",-1658.132
"194",-2292.534
"195",-1427.205
"196",-4365.395
"197",-1672.111
"198",-2471.365
"199",-1839.164
"200",-7155.466
"201",-1478.523
"202",-3885.886
"203",-2737.402
"204",-3262.496
"205",-1601.291
"206",-1196.384
"207",-2275.368
"208",-1983.824
"209",-1619.032
"210",-5894.266
"211",-7043.029
"212",-3430.345
"213",-2427.725
"214",-2780.907
"215",-4210.012
"216",-2467.976
"217",-2418.263
"218",-3336.286
"219",-1562.553
"220",-2451.106
"221",-3327.445
"222",-2329.72
"223",-2335.079
"224",-1374.46
"225",-3458.959
"226",-4921.521
"227",-10646.428
"228",-1744.348
"229",-5060.022
"230",-4142.158
"231",-5783.108
"232",-2789.161
"233",-3663.074
"234",-6166.272
"235",-3057.747
"236",-2931.67
"237",-2835.06
"238",-2492.29
"239",-2306.105
"240",-1065.008
"241",-1246.744
"242",-1788.101
"243",-5428.278
"244",-4459.453
"245",-3632.11
"246",-1672.637
"247",-2982.764
"248",-3022.908
"249",-4475.884
"250",-2360.306
"251",-1294.322
"252",-1681.753
"253",-2335.699
"254",-4122.071
"255",-3858.981
"256",-2414.641
"257",-3661.63
"258",-4303.904
"259",-3546.37
"260",-2321.927
"261",-3116.371
"262",-3078.432
"263",-1777.611
"264",-2216.971
"265",-3174.675
"266",-2950.574
"267",-4200.239
"268",-2577.17
"269",-4955.935
"270",-1112.404
"271",-3162.919
"272",-3440.427
"273",-3412.023
"274",-2497.761
"275",-2101.128
"276",-4255.458
"277",-1517.552
"278",-1624.827
"279",-4674.885
"280",-8541.47
"281",-3541.823
"282",-5020.806
"283",-3875.543
"284",-4542.118
"285",-756.765
"286",-2829.113
"287",-2284.207
"288",-4794.856
"289",-3948.78
"290",-2816.892
"291",-6665.67
"292",-13791.3
"293",-5143.491
"294",-4500.715
"295",-4050.656
"296",-4456.537
"297",-3813.898
"298",-7419.213
"299",-3059.669
"300",-4710.527
"301",-1417.414
"302",-3880.133
"303",-6277.147
"304",-3682.184
"305",-2552.696
"306",-2515.45
"307",-1888.086
"308",-8748.879
"309",-2855.502
"310",-1577.544
"311",-2278.313
"312",-2891.604
"313",-2799.617
"314",-2288.676
"315",-2297.125
"316",-2197.83
"317",-2170.166
"318",-2795.12
"319",-3749.377
"320",-4297.222
"321",-2652.937
"322",-1778.532
"323",-3825.036
"324",-2414.789
"325",-6566.907
"326",-6002.804
"327",-3115.233
"328",-3407.606
"329",-3063.854
"330",-3878.368
"331",-5288.219
"332",-1866.691
"333",-1953.809
"334",-4539.112
"335",-5212.492
"336",-5107.493
"337",-5918.51
"338",-1072.275
"339",-5926.501
"340",-706.209
"341",-1402.399
"342",-2286.453
"343",-1510.356
"344",-3738.209
"345",-3536.928
"346",-1329.033
"347",-2749.24
"348",-1865.751
"349",-8151.035
"350",-4920.956
"351",-4686.67
"352",-1842.401
"353",-1301.534
"354",-1808.224
"355",-6216.906
"356",-2794.039
"357",-2136.611
"358",-3619.574
"359",-2755.129
"360",-2272.362
"361",-3786.724
"362",-1386.148
"363",-3967.619
"364",-7435.107
"365",-2591.225
"366",-1949.636
"367",-2647.891
"368",-5054.622
"369",-2625.612
"370",-3621.211
"371",-2571.064
"372",-4553.713
"373",-1340.013
"374",-2069.102
"375",-2128.18
"376",-5770.838
"377",-3020.642
"378",-3982.265
"379",-2246.471
"380",-8744.374
"381",-967.357
"382",-1638.985
"383",-2556.601
"384",-3067.113
"385",-4018.693
"386",-4239.323
"387",-2000.645
"388",-4906.933
"389",-3539.175
"390",-3764.578
"391",-2465.663
"392",-3557.27
"393",-3750.634
"394",-2202.456
"395",-2206.425
"396",-1728.215
"397",-3577.929
"398",-2320.653
"399",-2118.915
"400",-3343.387
"401",-4092.595
"402",-1515.524
"403",-4276.172
"404",-2138.837
"405",-2593.548
"406",-1660.054
"407",-4254.247
"408",-7306.487
"409",-2032.16
"410",-8534.153
"411",-4356.482
"412",-3345.362
"413",-2997.361
"414",-7746.045
"415",-3960.003
"416",-3563.481
"417",-3075.37
"418",-4064.022
"419",-2349.741
"420",-7774.402
"421",-2467.411
"422",-2857.287
"423",-2958.616
"424",-2127.167
"425",-1899.463
"426",-3336.286
"427",-14356.462
"428",-3645.78
"429",-2060.194
"430",-2562.951
"431",-3901.772
"432",-2828.169
"433",-2931.579
"434",-2723.496
"435",-5593.278
"436",-3993.028
"437",-3104.318
"438",-1010.33
"439",-2818.236
"440",-3555.474
"441",-3449.122
"442",-2256.473
"443",-2169.689
"444",-2232.582
"445",-1552.762
"446",-3849.791
"447",-2403.608
"448",-2015.974
"449",-1554.122
"450",-2128.737
"451",-3901.48
"452",-2624.829
"453",-2203.258
"454",-2964.182
"455",-2705.06
"456",-2043.175
"457",-6126.357
"458",-5070.814
"459",-3329.643
"460",-2102.721
"461",-1608.236
"462",-2611.355
"463",-2239.929
"464",-1625.352
"465",-7683.877
"466",-2066.221
"467",-2801.783
"468",-2151.103
"469",-3644.165
"470",-3824.31
"471",-3486.714
"472",-2391.637
"473",-3467.106
"474",-3758.963
"475",-2727.612
"476",-2940.279
"477",-1094.712
"478",-1249.072
"479",-7811.716
"480",-1015.66
"481",-1776.24
"482",-4420.41
"483",-1927.33
"484",-10435.823
"485",-1582.209
"486",-1449.03
"487",-3446.951
"488",-1659.151
"489",-1600.865
"490",-1176.131
"491",-1270.963
"492",-4971.536
"493",-1291.796
"494",-627.663
"495",-1808.719
"496",-2637.046
"497",-1350.191
"498",-2534.833
"499",-1693.739
"500",-2839.599
