"","x"
"1",-3267.005
"2",-1471.467
"3",-1944.926
"4",-5257.903
"5",-2066.152
"6",-2880.207
"7",-5405.557
"8",-4806.706
"9",-7652.564
"10",-2707.314
"11",-2229.738
"12",-1880.114
"13",-10297.918
"14",-3095.415
"15",-2538.534
"16",-2020.972
"17",-4183.069
"18",-2094.809
"19",-1575.678
"20",-3904.589
"21",-1173.248
"22",-3534.43
"23",-2771.997
"24",-3088.685
"25",-4876.171
"26",-1223.392
"27",-3303.283
"28",-7821.61
"29",-2095.491
"30",-2049.668
"31",-2306.589
"32",-6806.203
"33",-2821.444
"34",-3998.329
"35",-4059.024
"36",-651.739
"37",-3755.85
"38",-2307.405
"39",-1552.279
"40",-13163.224
"41",-3047.519
"42",-2073.969
"43",-2328.964
"44",-1807.28
"45",-5530.627
"46",-1041.349
"47",-2618.792
"48",-6326.747
"49",-1723.081
"50",-3362.064
"51",-4396.814
"52",-5469.898
"53",-1288.696
"54",-6588.64
"55",-1067.003
"56",-1988.703
"57",-1298.461
"58",-2718.237
"59",-3512.785
"60",-1404.691
"61",-2657.062
"62",-4274.499
"63",-1951.581
"64",-1897.072
"65",-2255.808
"66",-2914.93
"67",-2753.198
"68",-2973.692
"69",-7199.147
"70",-2013.067
"71",-1371.661
"72",-1806.812
"73",-2268.641
"74",-2367.778
"75",-1814.643
"76",-2855.333
"77",-3234.365
"78",-7366.277
"79",-3801.732
"80",-2646.505
"81",-2021.318
"82",-3067.795
"83",-3956.445
"84",-1973.076
"85",-1790.047
"86",-2362.328
"87",-2812.507
"88",-2325.4
"89",-2512.749
"90",-2657.924
"91",-7093.354
"92",-3088.784
"93",-1909.177
"94",-4730.531
"95",-5395.073
"96",-7472.299
"97",-2268.319
"98",-2450.595
"99",-3094.424
"100",-1448.411
"101",-1417.589
"102",-7651.975
"103",-5791.352
"104",-1689.455
"105",-2166.495
"106",-6532.142
"107",-2463.912
"108",-3154.572
"109",-3705.553
"110",-9510.206
"111",-5575.837
"112",-6217.448
"113",-3036.582
"114",-3011.935
"115",-1182.56
"116",-7754.837
"117",-5171.913
"118",-1783.834
"119",-4617.31
"120",-3333.011
"121",-1288.524
"122",-3127.274
"123",-4272.96
"124",-7562.748
"125",-2280.825
"126",-17472.16
"127",-1078.88
"128",-5033.871
"129",-2874.762
"130",-3111.032
"131",-6246.298
"132",-2946.894
"133",-2314.571
"134",-5823.507
"135",-3882.111
"136",-2113.297
"137",-4889.08
"138",-3614.197
"139",-12578.487
"140",-1119.358
"141",-3343.473
"142",-1501.937
"143",-2962.407
"144",-2813.37
"145",-2644.198
"146",-2514.586
"147",-6941.656
"148",-3804.253
"149",-1341.714
"150",-8962.208
"151",-3595.975
"152",-2462.808
"153",-2293.491
"154",-4606.049
"155",-2165.954
"156",-4283.18
"157",-4011.219
"158",-2682.184
"159",-7007.81
"160",-4056.779
"161",-2841.07
"162",-5573.45
"163",-2126.209
"164",-2198.136
"165",-8229.702
"166",-1590.532
"167",-5341.455
"168",-6009.094
"169",-2382.823
"170",-2164.312
"171",-4163.31
"172",-2246.614
"173",-4058.994
"174",-1337.337
"175",-2584.339
"176",-3383.503
"177",-1397.506
"178",-1341.025
"179",-1299.235
"180",-3020.906
"181",-2056.681
"182",-1584.198
"183",-4752.138
"184",-2633.053
"185",-3755.731
"186",-6591.637
"187",-2373.588
"188",-2895.142
"189",-1183.093
"190",-2941.21
"191",-1842.522
"192",-5981.187
"193",-1632.894
"194",-2262.609
"195",-1460.595
"196",-4435.82
"197",-1645.181
"198",-2382.442
"199",-1808.203
"200",-7195.842
"201",-1462.064
"202",-3857.763
"203",-2806.386
"204",-3284.29
"205",-1611.175
"206",-1133.961
"207",-2282.008
"208",-1846.025
"209",-1647.502
"210",-5938.857
"211",-7046.146
"212",-3451.363
"213",-2486.363
"214",-2762.907
"215",-4108.71
"216",-2530.387
"217",-2455.533
"218",-3371.563
"219",-1584.482
"220",-2424.063
"221",-3307.481
"222",-2314.918
"223",-2357.695
"224",-1418.022
"225",-3429.641
"226",-4931.645
"227",-10584.4
"228",-1811.844
"229",-4976.662
"230",-4130.709
"231",-5802.521
"232",-2831.524
"233",-3684.358
"234",-6179.448
"235",-3019.356
"236",-2889.704
"237",-2859.973
"238",-2475.42
"239",-2342.82
"240",-1087.294
"241",-1252.89
"242",-1786.379
"243",-5512.265
"244",-4429.412
"245",-3622.998
"246",-1687.821
"247",-2968.297
"248",-3062.861
"249",-4478.085
"250",-2413.39
"251",-1159.333
"252",-1691.512
"253",-2348.553
