"","x"
"1",-547.648
"2",-1268.531
"3",-3484.865
"4",-2521.187
"5",-626.478
"6",-662.84
"7",-3385.08
"8",-3089.981
"9",-5502.466
"10",-6030.089
"11",-788.774
"12",-2141.544
"13",-2406.15
"14",-897.681
"15",-5617.1
"16",-1874.994
"17",-3028.287
"18",-1170.193
"19",-2200.684
"20",-4019.9
"21",-881.481
"22",-3294.619
"23",-2432.676
"24",-547.233
"25",-6878.854
"26",-3687.997
"27",-2288.284
"28",-1442.681
"29",-2130.24
"30",-1221.251
"31",-1896.616
"32",-2932.293
"33",-5469.166
"34",-1347.358
"35",-2198.309
"36",-1460.237
"37",-787.957
"38",-834.26
"39",-1362.072
"40",-1378.615
"41",-1127.037
"42",-1347.952
"43",-2803.95
"44",-2814.433
"45",-1717.671
"46",-1878.886
"47",-3142.378
"48",-1535.488
"49",-1538.467
"50",-3353.855
"51",-2585.001
"52",-2159.522
"53",-1344.466
"54",-1212.246
"55",-3131.418
"56",-6981.818
"57",-2864.01
"58",-3336.023
"59",-600.428
"60",-2066.607
"61",-4768.815
"62",-4763.434
"63",-1913.147
"64",-1212.923
"65",-1277.941
"66",-2097.422
"67",-2538.726
"68",-1888.585
"69",-2789.645
"70",-5644.288
"71",-6649.044
"72",-2069.97
"73",-1174.941
"74",-2901.808
"75",-944.113
"76",-2827.135
"77",-2212.461
"78",-1975.33
"79",-767.185
"80",-2646.446
"81",-3556.072
"82",-1739.376
"83",-824.67
"84",-3854.06
"85",-4573.156
"86",-996.895
"87",-3524.104
"88",-3018.909
"89",-733.189
"90",-1021.108
"91",-8749.311
"92",-1248.163
"93",-1080.636
"94",-2970.939
"95",-2260.132
"96",-929.637
"97",-2562.894
"98",-2579.457
"99",-1965.243
"100",-2473.098
"101",-1395.349
"102",-1230.391
"103",-2564.436
"104",-1504.079
"105",-1094.242
"106",-1849.807
"107",-1327.396
"108",-4808.885
"109",-3349.908
"110",-1249.436
"111",-3406.293
"112",-2831.917
"113",-1141.341
"114",-3182.301
"115",-817.243
"116",-1019.195
"117",-4245.809
"118",-1601.72
"119",-1601.832
"120",-5388.359
"121",-2340.238
"122",-1505.084
"123",-1057.636
"124",-6582.216
"125",-956.543
"126",-613.554
"127",-932.31
"128",-4986.058
"129",-2646.973
"130",-7969.032
"131",-933.668
"132",-4680.622
"133",-784.885
"134",-3415.054
"135",-1606.841
"136",-4632.423
"137",-2748.525
"138",-1855.338
"139",-2152.284
"140",-2232.528
"141",-1199.948
"142",-4746.769
"143",-4805.708
"144",-393.933
"145",-832.504
"146",-3535.226
"147",-3517.279
"148",-6276.47
"149",-3672.31
"150",-1954.986
"151",-1637.899
"152",-950.327
"153",-2518.186
"154",-1327.424
"155",-917.05
"156",-4888.409
"157",-730.827
"158",-2646.037
"159",-3744.169
"160",-592.557
"161",-5152.128
"162",-3843.193
"163",-1391.246
"164",-1002.22
"165",-6436.3
"166",-2625.45
"167",-3257.857
"168",-2163.212
