"","x"
"1",-3391.856
"2",-1520.629
"3",-2007.489
"4",-5350.116
"5",-2114.012
"6",-3044.608
"7",-5467.709
"8",-4919.037
"9",-7768.02
"10",-2768.171
"11",-2252.167
"12",-1919.082
"13",-10390.622
"14",-3251.668
"15",-2586.68
"16",-2179.791
"17",-4318.075
"18",-2117.542
"19",-1631.934
"20",-3983.031
"21",-1142.057
"22",-3685.345
"23",-2891.732
"24",-3236.483
"25",-4919.326
"26",-1355.615
"27",-3330.076
"28",-7925.205
"29",-2191.456
"30",-2131.166
"31",-2396.324
"32",-6886.11
"33",-2828.673
"34",-4037.704
"35",-4219.001
"36",-652.243
"37",-3815.884
"38",-2457.666
"39",-1629.914
"40",-13311.616
"41",-3061.666
"42",-2089.453
"43",-2376.78
"44",-1951.927
"45",-5499.804
"46",-1158.592
"47",-2662.847
"48",-6512.968
"49",-1756.775
"50",-3442.47
"51",-4457.252
"52",-5533.986
"53",-1281.446
"54",-6607.405
"55",-1068.889
"56",-2061.206
"57",-1387.64
"58",-2757.828
"59",-3611.08
"60",-1424.396
"61",-2777.714
"62",-4383.566
"63",-2032.652
"64",-2031.959
"65",-2352.343
"66",-3005.313
"67",-2850.16
"68",-3082.093
"69",-7271.276
"70",-2081.042
"71",-1417.307
"72",-1857.645
"73",-2308.199
"74",-2388.102
"75",-1823.771
"76",-2933.498
"77",-3429.393
"78",-7345.893
"79",-3852.066
"80",-2618.69
"81",-2130.271
"82",-3225.197
"83",-4037.532
"84",-2097.146
"85",-1850.705
"86",-2534.169
"87",-2866.132
"88",-2420.768
"89",-2568.305
"90",-2697.849
"91",-7175.983
"92",-3135.295
"93",-1859.494
"94",-4855.771
"95",-5528.049
"96",-7514.82
"97",-2313.062
"98",-2443.618
"99",-3235.528
"100",-1524.002
"101",-1539.111
"102",-7727.74
"103",-5892.444
"104",-1747.104
"105",-2249.556
"106",-6597.734
"107",-2528.965
"108",-3222.048
"109",-3807.661
"110",-9610.771
"111",-5726.155
"112",-6308.827
"113",-3208.594
"114",-3028.631
"115",-1305.753
"116",-7959.447
"117",-5304.155
"118",-1896.142
"119",-4781.933
"120",-3336.629
"121",-1430.475
"122",-3161.438
"123",-4412.656
"124",-7677.639
"125",-2345.621
"126",-17516.361
"127",-1079.322
"128",-5102.543
"129",-2949.272
"130",-3203.605
"131",-6363.805
"132",-3092.974
"133",-2321.096
"134",-5927.126
"135",-3979.912
"136",-2255.102
"137",-5027.969
"138",-3720.415
"139",-12714.296
"140",-1231.077
"141",-3473.519
"142",-1555.352
"143",-2991.263
"144",-2906.592
"145",-2808.847
"146",-2557.279
"147",-7053.364
"148",-3869.696
"149",-1450.425
"150",-8995.92
"151",-3648.58
"152",-2465.991
"153",-2366.051
"154",-4603.771
"155",-2217.717
"156",-4382.616
"157",-4049.092
"158",-2678.514
"159",-7089.235
"160",-4148.465
"161",-2888.797
"162",-5654.588
"163",-2315.53
"164",-2198.906
"165",-8216.676
"166",-1664.409
"167",-5498.645
"168",-6090.959
"169",-2524.111
"170",-2331.855
"171",-4288.157
"172",-2350.06
"173",-4138.567
"174",-1404.785
"175",-2708.91
"176",-3489.964
"177",-1447.695
"178",-1375.967
"179",-1360.282
"180",-3045.733
"181",-2153.299
"182",-1662.538
"183",-4873.327
"184",-2661.139
"185",-3842.83
"186",-6732.934
"187",-2364.678
"188",-2996.582
"189",-1260.733
"190",-3005.164
"191",-1850.245
"192",-5995.887
"193",-1710.292
"194",-2420.982
"195",-1566.121
"196",-4575.627
"197",-1738.122
"198",-2529.114
"199",-1853.59
"200",-7298.366
"201",-1609.132
"202",-4009.449
"203",-2852.342
"204",-3362.82
"205",-1598.421
"206",-1264.151
"207",-2334.189
"208",-2005.671
"209",-1715.129
"210",-5977.235
"211",-7117.813
"212",-3590.811
"213",-2608.508
"214",-2863.902
"215",-4271.276
"216",-2654.395
"217",-2598.381
"218",-3471.747
"219",-1591.776
"220",-2569.037
"221",-3488.014
"222",-2464.086
"223",-2381.562
"224",-1525.8
"225",-3568.706
"226",-5033.42
"227",-10724.073
"228",-1894.313
"229",-5058.049
"230",-4251.045
"231",-5958.039
"232",-2883.146
"233",-3708.417
"234",-6267.341
"235",-3052.864
"236",-2953.405
"237",-2903.772
"238",-2642.513
"239",-2416.792
"240",-1208.259
"241",-1387.991
"242",-1763.468
"243",-5570.771
"244",-4554.127
"245",-3650.653
"246",-1672.147
"247",-2917.399
"248",-3176.261
"249",-4641.435
"250",-2386.389
"251",-1173.787
"252",-1753.968
"253",-2462.234
"254",-4243.247
"255",-3946.524
"256",-2590.893
"257",-3811.53
"258",-4378.476
"259",-3692.646
"260",-2462.038
"261",-3184.32
"262",-3152.17
"263",-1900.946
"264",-2305.724
"265",-3304.529
"266",-3042.76
"267",-4324.056
"268",-2668.262
"269",-5078.03
"270",-1230.667
"271",-3185.168
"272",-3586.322
"273",-3472.512
"274",-2676.249
"275",-2223.851
"276",-4383.404
"277",-1572.753
"278",-1591.011
"279",-4748.281
"280",-8713.689
"281",-3622.797
"282",-5192.352
"283",-3810.584
"284",-4567.551
"285",-804.373
"286",-2920.264
"287",-2386.758
"288",-4913.217
"289",-4093.699
"290",-2916.609
"291",-6720.083
"292",-13920.766
"293",-5282.439
"294",-4565.98
"295",-4198.54
"296",-4543.368
"297",-3946.157
"298",-7451.338
"299",-3029.268
"300",-4824.041
"301",-1567.903
"302",-4018.459
"303",-6386.249
"304",-3720.547
"305",-2659.797
"306",-2597.079
"307",-1964.213
"308",-8845.616
"309",-2922.291
"310",-1757.521
"311",-2356.627
"312",-2904.795
"313",-2877.22
"314",-2365.902
"315",-2293.294
"316",-2294.259
"317",-2291.583
"318",-2920.455
"319",-3859.198
"320",-4453.379
"321",-2766.17
"322",-1868.021
"323",-3932.803
"324",-2529.929
"325",-6637.282
"326",-6117.116
"327",-3203.795
"328",-3448.622
"329",-3129.06
"330",-3944.653
"331",-5396.654
"332",-1906.8
"333",-2038.754
"334",-4687.744
"335",-5310.757
"336",-5272.071
"337",-6085.188
"338",-1090.997
"339",-6069.543
"340",-805.664
"341",-1413.534
"342",-2388.49
"343",-1610.549
"344",-3865.344
"345",-3672.457
"346",-1394.557
"347",-2855.39
"348",-1969.098
"349",-8235.875
"350",-5011.378
"351",-4767.597
"352",-1857.534
"353",-1380.852
"354",-1917.133
"355",-6280.692
"356",-2806.721
"357",-2309.12
"358",-3716.278
"359",-2822.106
"360",-2415.093
"361",-3902.619
"362",-1477.739
"363",-4027.128
"364",-7503.78
"365",-2673.303
"366",-2002.478
"367",-2702.533
"368",-5239.08
"369",-2685.968
"370",-3816.517
"371",-2481.538
"372",-4658.405
"373",-1378.186
"374",-2128.685
"375",-2158.75
"376",-5871.676
"377",-3106.289
"378",-4133.525
"379",-2242.013
"380",-8890.312
"381",-1013.308
"382",-1739.027
"383",-2638.348
"384",-3194.992
"385",-3980.389
"386",-4369.178
"387",-2018.457
"388",-5068.73
"389",-3670.529
"390",-3862.836
"391",-2504.256
"392",-3620.014
"393",-3775.146
"394",-2236.312
"395",-2330.884
"396",-1720.069
"397",-3668.45
"398",-2481.148
"399",-2222.342
"400",-3449.52
"401",-4245.934
"402",-1647.034
"403",-4418.291
"404",-2181.525
"405",-2676.566
"406",-1694.164
"407",-4370.658
"408",-7371.804
"409",-2082.246
"410",-8698.49
"411",-4441.947
"412",-3460.458
"413",-3104.122
"414",-7727.451
"415",-4064.533
"416",-3695.75
"417",-3151.668
"418",-4206.982
"419",-2473.018
"420",-7849.176
"421",-2451.59
"422",-2902.021
"423",-3108.91
"424",-2280.177
"425",-2012.758
"426",-3551.938
"427",-14550.532
"428",-3640.374
"429",-2099.599
"430",-2619.549
"431",-4001.879
"432",-2991.503
"433",-3066.023
"434",-2817.399
"435",-5717.463
"436",-4025.702
"437",-3290.29
"438",-1015.016
"439",-2918.147
"440",-3672.25
"441",-3540.249
"442",-2378.975
"443",-2314.863
"444",-2411.819
"445",-1578.417
"446",-3993.676
"447",-2527.587
"448",-2176.06
"449",-1616.358
"450",-2203.563
"451",-4039.987
"452",-2806.491
"453",-2318.649
"454",-3057.027
"455",-2689.399
"456",-2249.55
"457",-6171.095
"458",-5199.162
"459",-3466.374
"460",-2168.317
"461",-1795.432
"462",-2727.837
"463",-2316.404
"464",-1775.788
"465",-7831.99
"466",-2112.333
"467",-2944.561
"468",-2201.201
"469",-3686.475
"470",-3894.763
"471",-3535.935
"472",-2496.492
"473",-3594.48
"474",-3913.64
"475",-2831.161
"476",-3070.167
"477",-1196.54
"478",-1261.305
"479",-7849.62
"480",-1109.9
"481",-1827.701
"482",-4502.116
"483",-2027.971
"484",-10594.106
"485",-1610.542
"486",-1528.173
"487",-3523.102
"488",-1697.735
"489",-1672.469
"490",-1194.164
"491",-1301.572
"492",-5079.635
"493",-1346.636
"494",-699.674
"495",-1920.885
"496",-2754.552
"497",-1380.791
"498",-2663.329
"499",-1763.41
"500",-3048.816
