"","x"
"1",-547.648
"2",-1268.531
"3",-3484.865
"4",-2521.187
"5",-626.478
"6",-662.84
"7",-3385.08
"8",-3088.248
"9",-5502.707
"10",-6030.089
"11",-788.774
"12",-2141.544
"13",-2406.15
"14",-897.681
"15",-5617.1
"16",-1874.994
"17",-3028.287
"18",-1169.951
"19",-2200.684
"20",-4029.444
"21",-881.472
"22",-3294.608
"23",-2431.387
"24",-547.771
"25",-6877.014
"26",-3687.997
"27",-2288.467
"28",-1442.595
"29",-2130.24
"30",-1221.251
"31",-1896.616
"32",-2932.293
"33",-5468.634
"34",-1347.358
"35",-2198.309
"36",-1459.48
"37",-788.095
"38",-833.89
"39",-1362.072
"40",-1386.027
"41",-1127.037
"42",-1347.952
"43",-2803.95
"44",-2814.433
"45",-1717.671
"46",-1878.134
"47",-3140.171
"48",-1535.488
"49",-1538.222
"50",-3353.855
"51",-2585.001
"52",-2159.522
"53",-1344.466
"54",-1212.242
"55",-3130.794
"56",-6981.818
"57",-2875.858
"58",-3336.023
"59",-600.428
"60",-2065.805
"61",-4768.815
"62",-4766.418
"63",-1912.535
"64",-1212.923
"65",-1277.941
"66",-2097.422
"67",-2538.726
"68",-1888.585
"69",-2789.651
"70",-5644.288
"71",-6649.044
"72",-2069.97
"73",-1174.941
"74",-2901.808
"75",-944.113
"76",-2827.135
"77",-2211.465
"78",-1975.33
"79",-771.378
"80",-2646.446
"81",-3556.072
"82",-1737.775
"83",-824.67
"84",-3854.06
"85",-4573.157
"86",-1001.583
"87",-3524.105
"88",-3018.909
"89",-733.189
"90",-1021.108
"91",-8748.599
"92",-1248.163
"93",-1080.877
"94",-2970.939
"95",-2260.132
"96",-929.528
"97",-2561.863
"98",-2579.457
"99",-1965.243
"100",-2473.098
"101",-1395.349
"102",-1230.858
"103",-2564.436
"104",-1504.079
"105",-1094.242
"106",-1849.807
"107",-1327.396
"108",-4808.885
"109",-3349.877
"110",-1249.436
"111",-3405.255
"112",-2831.917
"113",-1135.917
"114",-3181.941
"115",-819.452
"116",-1019.679
"117",-4245.809
"118",-1601.72
"119",-1601.832
"120",-5416.144
"121",-2344.289
"122",-1509.393
"123",-1062.094
"124",-6582.186
"125",-956.543
"126",-613.338
"127",-932.31
"128",-4986.058
"129",-2645.854
"130",-7969.032
"131",-933.668
"132",-4680.634
"133",-784.965
"134",-3414.805
"135",-1606.841
"136",-4633.079
"137",-2748.525
"138",-1855.338
"139",-2152.284
"140",-2232.528
"141",-1199.957
"142",-4746.724
"143",-4805.56
"144",-393.583
"145",-839.279
"146",-3535.226
"147",-3530.658
"148",-6299.944
"149",-3672.245
"150",-1954.986
"151",-1637.899
"152",-950.327
"153",-2518.186
"154",-1327.424
"155",-917.05
"156",-4885.887
"157",-730.827
"158",-2644.983
"159",-3760.871
"160",-593.378
"161",-5152.128
"162",-3842.379
"163",-1391.246
"164",-1002.094
"165",-6436.3
"166",-2625.343
"167",-3257.857
