"","x"
"1",-8815.693
"2",-8674.242
"3",-9219.14
"4",-9068.1
"5",-8704.014
"6",-8875.765
"7",-9028.865
"8",-8796.163
"9",-8845.986
"10",-8852.948
"11",-8791.47
"12",-8926.349
"13",-8944.907
"14",-8786.118
"15",-8718.975
"16",-8914.947
"17",-8927.097
"18",-8883.928
"19",-9035.231
"20",-9262.632
"21",-8939.884
"22",-9032.274
"23",-8648.976
"24",-8879.796
"25",-8732.353
"26",-8653.429
"27",-9098.943
"28",-8726.198
"29",-8891.564
"30",-8873.719
"31",-8670.852
"32",-8880.909
"33",-8847.859
"34",-8800.498
"35",-8959.572
"36",-8781.169
"37",-8980.212
"38",-9314.035
"39",-9081.987
"40",-8764.46
"41",-8803.505
"42",-8839.668
"43",-8857.557
"44",-8800.394
"45",-9020.5
"46",-8964.016
"47",-9036.105
"48",-8903.486
"49",-8710.077
"50",-8865.117
"51",-9039.169
"52",-8572.355
"53",-8988.172
"54",-9045.435
"55",-8994.158
"56",-9026.249
"57",-8788.399
"58",-8944.738
"59",-8770.168
"60",-8827.747
"61",-8699.943
"62",-9126.24
"63",-9116.869
"64",-9211.002
"65",-8754.353
"66",-8853.085
"67",-8622.939
"68",-8777.117
"69",-9000.694
"70",-9031.26
"71",-8843.939
"72",-9155.609
"73",-9045.076
"74",-8843.973
"75",-8982.765
"76",-8913.568
"77",-8803.108
"78",-9092.541
"79",-8956.82
"80",-8839.538
"81",-9043.253
"82",-8824.478
"83",-8897.712
"84",-8860.929
"85",-8907.845
"86",-8691.867
"87",-8887.926
"88",-8935.765
"89",-8622.356
"90",-8967.977
"91",-8956.39
"92",-8946.907
"93",-8690.172
"94",-8941.242
"95",-8956.475
"96",-8869.223
"97",-8968.902
"98",-9102.427
"99",-9000.222
"100",-8665.382
"101",-9112.529
"102",-9085.385
"103",-9132.407
"104",-9115.827
"105",-8658.961
"106",-8947.925
"107",-9027.252
"108",-8826.205
"109",-8906.916
"110",-8884.925
"111",-8791.386
"112",-8933.068
"113",-8774.721
"114",-8900.363
"115",-8589.993
"116",-8939.514
"117",-8760.724
"118",-8957.872
"119",-8871.633
"120",-8942.889
"121",-8968.596
"122",-8785.75
"123",-8792.865
"124",-9028.81
"125",-8903.675
"126",-8989.649
"127",-8579.788
"128",-8752.182
"129",-8968.329
"130",-8747.07
"131",-9088.065
"132",-8802.098
"133",-8841.911
"134",-8954.246
"135",-8937.019
"136",-8758.315
"137",-9011.947
"138",-9113.184
"139",-9113.406
"140",-9053.196
"141",-8954.449
"142",-8953.25
"143",-8874.968
"144",-9003.902
"145",-9251.777
"146",-8827.049
"147",-8826.203
"148",-8852.925
"149",-8956.685
"150",-9017.976
"151",-8780.444
"152",-9059.105
"153",-9090.63
"154",-8983.334
"155",-8990.409
"156",-8915.774
"157",-8864.942
"158",-8818.914
"159",-9185.7
"160",-8920.058
"161",-8810.311
"162",-9068.39
"163",-8873.138
"164",-8661.345
"165",-8972.538
"166",-9062.567
"167",-9016.203
"168",-8909.939
"169",-9256.42
"170",-8854.75
"171",-9017.228
"172",-8983.831
"173",-9267.278
"174",-8878.432
"175",-9127.622
"176",-8845.81
