"","lnL0","lnL1A","lnL1B","lnL1C","our_LRT","our_results.qvals.bh.pvalues","our_results.qvals.bh.qvalues"
"knownGene.uc001ada.1.1",-1664.11,-1663.55,-1663.949,-1663.949,1.11999999999989,0.144959226971297,1
"knownGene.uc001ady.1.1.inc",-3257.275,-3257.275,-3256.604,-3256.604,1.34200000000055,0.123340785973823,0.956916430353281
"knownGene.uc001akw.1.1.inc",-547.648,-547.648,-547.42,-547.42,0.456000000000131,0.249749668005993,1
"knownGene.uc001aly.1.1",-2472.897,-2472.897,-2491.877,-2491.876,0,1,1
"knownGene.uc001aml.1.1",-1268.531,-1268.531,-1277.882,-1277.882,0,1,1
"knownGene.uc001aoj.1.1.inc",-3484.865,-3484.865,-3484.865,-3484.865,0,1,1
"knownGene.uc001aon.1.1.inc",-2521.187,-2521.187,-2521.187,-2521.187,0,1,1
"knownGene.uc001aqa.1.1.inc",-626.478,-626.478,-626.478,-626.478,0,1,1
"knownGene.uc001arq.1.1.inc",-1758.438,-1758.438,-1758.438,-1758.438,0,1,1
"knownGene.uc001ats.1.1",-662.84,-662.84,-662.84,-662.84,0,1,1
"knownGene.uc001aty.1.1.inc",-3385.08,-3385.08,-3385.08,-3385.08,0,1,1
"knownGene.uc001aug.1.1",-3089.981,-3088.248,-3088.248,-3088.248,3.46600000000035,0.0313213097106855,0.558991881889146
"knownGene.uc001awe.1.1",-5502.466,-5502.707,-5502.466,-5502.466,0,1,1
"knownGene.uc001awy.1.1",-6030.089,-6030.089,-6030.089,-6030.089,0,1,1
"knownGene.uc001ayb.1.1",-1797.897,-1797.39,-1797.39,-1797.39,1.01399999999967,0.156973233100899,1
"knownGene.uc001ayj.1.1",-788.774,-788.774,-788.774,-788.774,0,1,1
"knownGene.uc001azv.1.1.inc",-2141.544,-2141.544,-2141.544,-2141.544,0,1,1
"knownGene.uc001bag.1.1.inc",-2406.15,-2406.15,-2406.15,-2406.15,0,1,1
"knownGene.uc001bbd.1.1",-897.681,-897.681,-897.681,-897.681,0,1,1
"knownGene.uc001bbg.1.1",-5617.1,-5617.1,-5617.1,-5617.1,0,1,1
"knownGene.uc001bcq.1.1.inc",-1874.994,-1874.994,-1874.994,-1874.994,0,1,1
"knownGene.uc001bcs.1.1",-3028.287,-3028.287,-3028.287,-3028.287,0,1,1
"knownGene.uc001bct.1.1",-1170.193,-1169.951,-1169.951,-1169.951,0.483999999999924,0.243308022882042,1
"knownGene.uc001bdq.1.1",-2200.684,-2200.684,-2200.684,-2200.684,0,1,1
"knownGene.uc001bdt.1.1",-2399.43,-2397.793,-2397.793,-2397.793,3.27399999999943,0.0351929049677431,0.584471057155261
"knownGene.uc001beh.1.1",-4019.9,-4029.444,-4029.444,-4029.444,0,1,1
"knownGene.uc001bel.1.1.inc",-881.481,-881.472,-882.818,-881.472,0.0180000000000291,0.446636415071063,1
"knownGene.uc001bfv.1.1.inc",-3294.619,-3294.608,-3294.619,-3294.619,0.0219999999999345,0.441043549731225,1
"knownGene.uc001bgh.1.1.inc",-929.008,-928.131,-928.131,-928.131,1.75400000000013,0.0926873329205234,0.874304279997273
"knownGene.uc001bgj.1.1",-4947.268,-4947.268,-4947.268,-4947.268,0,1,1
"knownGene.uc001bjc.1.1.inc",-2432.676,-2431.387,-2431.387,-2431.387,2.57799999999952,0.0541792476639685,0.711921268068025
"knownGene.uc001bkn.1.1.inc",-547.233,-547.771,-547.771,-547.771,0,1,1
"knownGene.uc001blp.1.1.inc",-2874.064,-2874.064,-2874.064,-2874.064,0,1,1
"knownGene.uc001bmx.1.1",-6878.854,-6877.014,-6877.014,-6877.015,3.68000000000029,0.0275344250603911,0.543081051809693
"knownGene.uc001bnz.1.1",-3687.997,-3687.997,-3687.997,-3687.997,0,1,1
"knownGene.uc001boi.1.1",-1589.712,-1589.15,-1589.15,-1589.15,1.1239999999998,0.144529388975517,1
