"","transcriptid","loglikelihoodratio","lnlNull","muNull","p0Null","p1Null","lnlAlt","muAlt","omega0Alt","omega2Alt","p0Alt","p1Alt","p2Alt","pval","isfdrsignificant"
"knownGene.uc001ada.1.1","knownGene.uc001ada.1.1",1.969894,-1708.08598,10.05187,0.637597,0.362403,-1706.116085,9.784152,0.1518628,515.0282,0.6404921,0.3362047,-1,0.0235783599792346,0
"knownGene.uc001ady.1.1.inc","knownGene.uc001ady.1.1.inc",1.397585,-3341.713004,10.61563,0.950664,0.049336,-3340.315419,10.51564,0.02806371,1232.961,0.944873,0.04956446,-1,0.0472743692416465,0
"knownGene.uc001akw.1.1.inc","knownGene.uc001akw.1.1.inc",0.995149,-557.661455,8.162541,0.72225,0.27775,-556.666306,7.501113,0.07367875,1336.036,0.6962617,0.2632265,-1,0.0791548621619532,0
"knownGene.uc001aly.1.1","knownGene.uc001aly.1.1",0,-2557.21421,6.719027,1,2.96091e-08,-2557.21421,6.719027,0.01268467,1,0.9970478,2.952165e-08,-1,1,0
"knownGene.uc001aml.1.1","knownGene.uc001aml.1.1",0,-1278.638888,9.59514,0.973341,0.0266586,-1278.638888,9.59514,0.02085472,1,0.9508941,0.0260438,-1,1,0
"knownGene.uc001aoj.1.1.inc","knownGene.uc001aoj.1.1.inc",0,-3504.662036,7.452072,0.911641,0.0883593,-3504.662036,7.452072,0.04955828,1,0.8624356,0.08359015,-1,1,0
"knownGene.uc001aon.1.1.inc","knownGene.uc001aon.1.1.inc",0,-2531.729927,10.35953,0.919593,0.0804072,-2531.729927,10.35952,0.1635023,1,0.7960676,0.06960643,-1,1,0
"knownGene.uc001aqa.1.1.inc","knownGene.uc001aqa.1.1.inc",0,-629.202259,9.89052,0.98663,0.0133699,-629.202259,9.89052,0.01071404,1,0.8879986,0.01203336,-1,1,0
"knownGene.uc001arq.1.1.inc","knownGene.uc001arq.1.1.inc",0.007332,-1820.394736,8.153298,0.988456,0.0115437,-1820.387403,8.188892,0.06079192,1,0.9920491,0.007940013,-1,0.451807893133206,0
"knownGene.uc001ats.1.1","knownGene.uc001ats.1.1",0,-670.130098,9.363681,0.882851,0.117149,-670.130098,9.363681,0.1156748,1,0.7260867,0.09634701,-1,1,0
"knownGene.uc001aty.1.1.inc","knownGene.uc001aty.1.1.inc",0,-3394.225417,8.424767,0.923815,0.0761855,-3394.225417,8.42477,0.0400494,1,0.8698223,0.07173284,-1,1,0
"knownGene.uc001aug.1.1","knownGene.uc001aug.1.1",0.512511,-3094.449849,15.21001,0.552542,0.447458,-3093.937338,15.10088,0.06352427,10.52673,0.5462807,0.4444632,-1,0.155665365648358,0
"knownGene.uc001awe.1.1","knownGene.uc001awe.1.1",0.076161,-5474.169422,9.936424,0.78217,0.21783,-5474.093261,9.922063,0.1089512,7.814595,0.7794092,0.2145386,-1,0.348163087483828,0
"knownGene.uc001awy.1.1","knownGene.uc001awy.1.1",0,-6008.590851,9.071256,0.45488,0.54512,-6008.590851,9.071255,0.2458221,1,0.4548775,0.5451171,-1,1,0
"knownGene.uc001ayb.1.1","knownGene.uc001ayb.1.1",0.049287,-1996.70673,7.644606,0.906104,0.0938957,-1996.657443,7.665161,0.04245867,3.842782,0.9076689,0.08898779,-1,0.376773823616536,0
"knownGene.uc001ayj.1.1","knownGene.uc001ayj.1.1",0,-791.510486,2.919009,0.999999,1.16826e-06,-791.510486,2.919009,0.0199867,1,0.8953936,1.046053e-06,-1,1,0
"knownGene.uc001azv.1.1.inc","knownGene.uc001azv.1.1.inc",0.00083,-2138.415875,9.053775,0.930036,0.0699636,-2138.415046,9.058833,0.05829862,1,0.9305692,0.06941098,-1,0.483750351603225,0
"knownGene.uc001bag.1.1.inc","knownGene.uc001bag.1.1.inc",0.002223,-2413.104513,8.990223,0.937937,0.0620628,-2413.10229,8.999371,0.01633315,1,0.9389538,0.06103983,-1,0.473418892112579,0
"knownGene.uc001bbd.1.1","knownGene.uc001bbd.1.1",0,-909.248493,6.528091,1,3.39657e-11,-909.248493,6.528091,0.008880234,1,0.9999966,3.396555e-11,-1,1,0
"knownGene.uc001bbg.1.1","knownGene.uc001bbg.1.1",0.00282,-5623.04474,8.076132,0.992128,0.00787187,-5623.04192,8.074789,0.01572563,1,0.9919229,0.00806544,-1,0.470067600399147,0
"knownGene.uc001bcq.1.1.inc","knownGene.uc001bcq.1.1.inc",0,-1882.158657,9.479144,0.945388,0.0546119,-1882.158657,9.479142,0.1036075,1,0.9400829,0.05430545,-1,1,0
"knownGene.uc001bcs.1.1","knownGene.uc001bcs.1.1",0.002444,-3017.121025,8.024112,0.88509,0.11491,-3017.118581,8.018718,0.08788365,1,0.8842059,0.1157916,-1,0.472130962209297,0
"knownGene.uc001bct.1.1","knownGene.uc001bct.1.1",0.192559,-1178.573927,12.94854,0.899315,0.100685,-1178.381369,12.90339,0.04515266,3.006688,0.8846378,0.09806933,-1,0.267438408449279,0
"knownGene.uc001bdq.1.1","knownGene.uc001bdq.1.1",0,-2205.257201,9.6678,0.975475,0.0245247,-2205.257201,9.667802,0.05119385,1,0.9394317,0.02361861,-1,1,0
"knownGene.uc001bdt.1.1","knownGene.uc001bdt.1.1",2.079918,-2445.718793,7.291607,0.924091,0.0759092,-2443.638875,7.260017,0.07788925,1855.237,0.9284148,0.06586576,-1,0.0206967058619952,0
"knownGene.uc001beh.1.1","knownGene.uc001beh.1.1",0,-4004.787951,6.604797,0.715433,0.284567,-4004.787951,6.604792,0.1227,1,0.6893954,0.2742103,-1,1,0
"knownGene.uc001bel.1.1.inc","knownGene.uc001bel.1.1.inc",0,-888.516656,8.422632,0.973817,0.0261831,-888.516656,8.422632,0.03057366,1,0.8728587,0.02346869,-1,1,0
"knownGene.uc001bfv.1.1.inc","knownGene.uc001bfv.1.1.inc",0.000277,-3294.743587,7.875452,0.706129,0.293871,-3294.74331,7.870154,0.2286543,1,0.7047949,0.2952004,-1,0.490610880862511,0
"knownGene.uc001bgh.1.1.inc","knownGene.uc001bgh.1.1.inc",0,-972.196889,9.911299,0.815235,0.184765,-972.196889,9.911326,0.24875,1,0.5926989,0.1343279,-1,1,0
"knownGene.uc001bgj.1.1","knownGene.uc001bgj.1.1",0.056268,-5287.676192,7.621303,0.990071,0.00992942,-5287.619923,7.618998,0.009139568,7.711301,0.9882508,0.009837876,-1,0.368637601959295,0
"knownGene.uc001bjc.1.1.inc","knownGene.uc001bjc.1.1.inc",1.409935,-2428.77614,12.17151,0.796026,0.203974,-2427.366205,11.97667,0.1203142,52.25324,0.7930245,0.197175,-1,0.0465519718840537,0
"knownGene.uc001bkn.1.1.inc","knownGene.uc001bkn.1.1.inc",0,-551.870706,8.204684,1,2.81196e-07,-551.870706,8.204682,0.05940859,1,0.9726492,2.735049e-07,-1,1,0
"knownGene.uc001blp.1.1.inc","knownGene.uc001blp.1.1.inc",0.02713,-3106.576981,6.978325,0.679717,0.320283,-3106.549851,6.963219,0.02923048,1.984116,0.6539805,0.305391,-1,0.407904868318089,0
"knownGene.uc001bmx.1.1","knownGene.uc001bmx.1.1",1.305445,-6886.188464,5.50257,0.961652,0.0383482,-6884.883019,5.496678,0.03493808,45.718,0.9625507,0.03607899,-1,0.0530660917878179,0
"knownGene.uc001bnz.1.1","knownGene.uc001bnz.1.1",0,-3693.050625,8.698365,0.928359,0.0716411,-3693.050625,8.698116,0.0443002,1,0.9283545,0.07164077,-1,1,0
"knownGene.uc001boi.1.1","knownGene.uc001boi.1.1",1.168151,-1632.148864,7.497701,0.925834,0.0741655,-1630.980713,7.409918,0.03322826,12.46184,0.9181308,0.06780524,-1,0.0631946376945266,0
"knownGene.uc001bqj.1.1.inc","knownGene.uc001bqj.1.1.inc",0,-811.582751,7.10542,0.969835,0.0301652,-811.582751,7.105317,1e-05,1,0.9698186,0.03018043,-1,1,0
"knownGene.uc001bsz.1.1","knownGene.uc001bsz.1.1",0,-2294.401109,9.037695,0.946517,0.0534827,-2294.401109,9.037696,0.03408018,1,0.9415856,0.05320398,-1,1,0
"knownGene.uc001btf.1.1","knownGene.uc001btf.1.1",2.9e-05,-716.078319,5.295485,0.930816,0.0691836,-716.07829,5.297493,0.01314592,1,0.9311829,0.06881083,-1,0.496961775479659,0
"knownGene.uc001bti.1.1","knownGene.uc001bti.1.1",0.017322,-1447.699814,7.107615,0.978031,0.0219693,-1447.682493,7.106256,0.04370959,6.658351,0.9742918,0.0218801,-1,0.426171805166603,0
"knownGene.uc001bue.1.1","knownGene.uc001bue.1.1",0.000123,-2861.340724,4.503584,0.991887,0.00811284,-2861.340601,4.503649,0.03225464,1,0.9918877,0.008103122,-1,0.493743091361434,0
"knownGene.uc001bvj.1.1.inc","knownGene.uc001bvj.1.1.inc",0.00032,-2138.564523,6.548727,0.717785,0.282215,-2138.564203,6.544261,1e-05,1,0.7168645,0.2831348,-1,0.489908546345122,0
"knownGene.uc001bvx.1.1","knownGene.uc001bvx.1.1",0,-1228.480495,6.638903,0.942509,0.0574908,-1228.480495,6.638903,0.06853019,1,0.9424778,0.05748887,-1,1,0
"knownGene.uc001bwm.1.1.inc","knownGene.uc001bwm.1.1.inc",0.000463,-1902.237804,7.854701,1,1.37158e-10,-1902.23734,7.854822,0.002131092,1,0.9999949,5.11421e-11,-1,0.487861960759013,0
"knownGene.uc001bwu.1.1.inc","knownGene.uc001bwu.1.1.inc",2.77131,-2052.130302,5.342047,0.914453,0.0855468,-2049.358992,5.263606,0.1849587,61.9415,0.9172171,0.07308757,-1,0.00927938878439484,0
"knownGene.uc001bxk.1.1.inc","knownGene.uc001bxk.1.1.inc",0,-2931.845257,7.926141,0.723639,0.276361,-2931.845257,7.926141,0.103134,1,0.7236359,0.2763599,-1,1,0
"knownGene.uc001byo.1.1.inc","knownGene.uc001byo.1.1.inc",0.286451,-5497.377829,11.60791,0.808624,0.191376,-5497.091378,11.60092,0.1585547,3.178101,0.7981165,0.1851005,-1,0.224554018925168,0
"knownGene.uc001bzn.1.1","knownGene.uc001bzn.1.1",0,-1354.636264,5.118437,0.977573,0.0224274,-1354.636264,5.118437,0.03609997,1,0.9775609,0.02242708,-1,1,0
"knownGene.uc001bzs.1.1.inc","knownGene.uc001bzs.1.1.inc",0,-2211.892015,9.611998,0.922733,0.0772669,-2211.892015,9.611998,0.100616,1,0.9227282,0.0772665,-1,1,0
"knownGene.uc001bzu.1.1","knownGene.uc001bzu.1.1",1.9e-05,-1462.737264,8.583703,1,1.46705e-10,-1462.737245,8.583733,0.05569512,1,0.999989,1.099174e-10,-1,0.497540770195449,0
"knownGene.uc001cau.1.1","knownGene.uc001cau.1.1",0,-2077.966026,8.717525,0.822613,0.177387,-2077.966026,8.717525,0.229164,1,0.8226066,0.1773861,-1,1,0
"knownGene.uc001cbd.1.1.inc","knownGene.uc001cbd.1.1.inc",0,-796.033266,8.456106,0.990686,0.00931446,-796.033266,8.456106,1e-05,1,0.9906846,0.009314448,-1,1,0
"knownGene.uc001cbq.1.1.inc","knownGene.uc001cbq.1.1.inc",0.00032,-846.995718,9.641955,0.901529,0.0984706,-846.995397,9.626727,0.2110875,1,0.8989591,0.1010343,-1,0.489908546345122,0
"knownGene.uc001ccr.1.1.inc","knownGene.uc001ccr.1.1.inc",0,-1369.583779,4.837211,1,1e-11,-1369.583779,4.837211,1e-05,1,0.999999,9.99999e-12,-1,1,0
"knownGene.uc001cde.1.1","knownGene.uc001cde.1.1",2e-06,-2049.121511,7.864653,0.974886,0.0251142,-2049.12151,7.86325,0.02271538,1,0.9746648,0.02531368,-1,0.49920211597112,0
"knownGene.uc001cem.1.1","knownGene.uc001cem.1.1",0,-2889.969566,7.473322,0.781351,0.21865,-2889.969566,7.473322,0.04297328,1,0.7813401,0.2186466,-1,1,0
"knownGene.uc001cex.1.1","knownGene.uc001cex.1.1",0,-1383.462446,7.479692,0.956471,0.0435295,-1383.462446,7.479692,0.05969132,1,0.9244403,0.04207174,-1,1,0
"knownGene.uc001cfd.1.1","knownGene.uc001cfd.1.1",0.002483,-10207.243902,8.935622,0.930055,0.069945,-10207.24142,8.944777,0.06601409,1,0.9311271,0.06885446,-1,0.471909847863693,0
"knownGene.uc001chp.1.1.inc","knownGene.uc001chp.1.1.inc",0.041661,-1915.366801,11.0461,0.694875,0.305125,-1915.32514,11.0342,0.1682249,5.30556,0.6924775,0.296573,-1,0.386422508224088,0
"knownGene.uc001chu.1.1.inc","knownGene.uc001chu.1.1.inc",0,-1132.925402,9.247565,0.999999,5.71668e-07,-1132.925402,9.247565,0.01518352,1,0.945924,5.407549e-07,-1,1,0
"knownGene.uc001chy.1.1.inc","knownGene.uc001chy.1.1.inc",0,-1348.233271,8.43596,0.9039,0.0961004,-1348.233271,8.435967,0.06085921,1,0.8786193,0.09341519,-1,1,0
"knownGene.uc001cjl.1.1.inc","knownGene.uc001cjl.1.1.inc",0.000338,-2811.270878,7.642145,0.980552,0.0194479,-2811.27054,7.642983,0.03257397,1,0.9806786,0.01931626,-1,0.489628669225993,0
"knownGene.uc001cmf.1.1","knownGene.uc001cmf.1.1",0,-2907.467592,6.477395,0.659466,0.340534,-2907.467592,6.477644,0.09802431,1,0.6594608,0.3405317,-1,1,0
"knownGene.uc001cms.1.1.inc","knownGene.uc001cms.1.1.inc",0,-6452.301926,4.80877,0.93022,0.0697797,-6452.301926,4.80877,0.06673525,1,0.9302169,0.06977945,-1,1,0
"knownGene.uc001cno.1.1.inc","knownGene.uc001cno.1.1.inc",0,-2820.224241,7.496651,0.723176,0.276824,-2820.224241,7.496651,0.05917968,1,0.7231725,0.2768225,-1,1,0
"knownGene.uc001cpz.1.1.inc","knownGene.uc001cpz.1.1.inc",0,-1724.837099,8.480443,0.964894,0.0351059,-1724.837099,8.480444,0.02010353,1,0.9428754,0.03430471,-1,1,0
"knownGene.uc001cqg.1.1","knownGene.uc001cqg.1.1",0,-659.52058,6.054489,0.974063,0.0259367,-659.52058,6.054489,0.08387929,1,0.804766,0.02142874,-1,1,0
"knownGene.uc001cqj.1.1","knownGene.uc001cqj.1.1",0.61898,-1883.217841,7.090158,0.624034,0.375966,-1882.598861,7.007197,0.1713268,6.756441,0.6119351,0.3496331,-1,0.132932287035539,0
"knownGene.uc001cqs.1.1.inc","knownGene.uc001cqs.1.1.inc",1.588442,-3141.559464,7.926015,0.662422,0.337578,-3139.971022,7.788522,0.1644276,4.526211,0.5899754,0.2847488,-1,0.0373435158327537,0
"knownGene.uc001cro.1.1.inc","knownGene.uc001cro.1.1.inc",0.0028,-4121.244757,7.022625,0.850152,0.149848,-4121.241957,7.037016,0.05211484,1,0.8527244,0.1472573,-1,0.4701737338356,0
"knownGene.uc001csh.1.1.inc","knownGene.uc001csh.1.1.inc",0.009087,-1556.411243,9.841931,0.530141,0.469859,-1556.402156,9.758839,0.2073699,1,0.5150059,0.4849891,-1,0.446380662635498,0
"knownGene.uc001csj.1.1","knownGene.uc001csj.1.1",0,-1544.010387,7.505884,0.913421,0.0865788,-1544.010387,7.505884,0.07039033,1,0.9134151,0.08657827,-1,1,0
"knownGene.uc001ctr.1.1.inc","knownGene.uc001ctr.1.1.inc",0,-2139.580402,7.547423,0.908836,0.0911639,-2139.580402,7.547423,0.05491228,1,0.908828,0.09116303,-1,1,0
"knownGene.uc001cuk.1.1.inc","knownGene.uc001cuk.1.1.inc",0,-3378.703782,8.713124,0.710361,0.289639,-3378.703782,8.713124,0.1040612,1,0.7103602,0.2896382,-1,1,0
"knownGene.uc001cvh.1.1.inc","knownGene.uc001cvh.1.1.inc",0.001293,-2598.000252,7.204437,0.918005,0.081995,-2597.998959,7.209524,0.08279477,1,0.9188188,0.0811744,-1,0.479721436948589,0
"knownGene.uc001cwq.1.1","knownGene.uc001cwq.1.1",0,-2176.084203,8.483761,0.996845,0.00315526,-2176.084203,8.483761,0.07473144,1,0.9967911,0.003155095,-1,1,0
"knownGene.uc001cwy.1.1","knownGene.uc001cwy.1.1",9e-05,-1348.788882,8.854056,0.883001,0.116999,-1348.788791,8.849177,0.1032773,1,0.8822974,0.1176979,-1,0.494647788218377,0
"knownGene.uc001cxk.1.1.inc","knownGene.uc001cxk.1.1.inc",0.011259,-1219.201055,8.855346,0.957746,0.042254,-1219.189796,8.84486,0.03829985,2.319117,0.953387,0.0421984,-1,0.440358643708243,0
"knownGene.uc001cyb.1.1.inc","knownGene.uc001cyb.1.1.inc",0,-3135.773565,10.05197,0.723063,0.276937,-3135.773565,10.05197,0.09630797,1,0.7230581,0.2769346,-1,1,0
"knownGene.uc001cyh.1.1.inc","knownGene.uc001cyh.1.1.inc",0,-6997.55979,10.00855,1,1.35358e-08,-6997.55979,10.00855,0.01890992,1,0.9986485,1.351508e-08,-1,1,0
"knownGene.uc001dai.1.1","knownGene.uc001dai.1.1",0.002044,-2866.43082,7.944897,0.853221,0.146779,-2866.428776,7.960144,0.09198347,1,0.8556102,0.1443773,-1,0.474510008496385,0
"knownGene.uc001dar.1.1.inc","knownGene.uc001dar.1.1.inc",0,-1111.039668,7.256439,1,1.36106e-11,-1111.039668,7.256439,0.00777913,1,0.9999986,1.36106e-11,-1,1,0
"knownGene.uc001dcc.1.1.inc","knownGene.uc001dcc.1.1.inc",0,-3348.433542,8.902518,0.942121,0.0578794,-3348.433542,8.902518,0.03372667,1,0.942112,0.05787884,-1,1,0
"knownGene.uc001dcz.1.1.inc","knownGene.uc001dcz.1.1.inc",3.475507,-2220.607389,13.02639,0.6518,0.3482,-2217.131882,12.54801,0.1038102,9.586144,0.6305634,0.3108175,-1,0.00418858686243101,0
